Year,Actor,Character,Film
2020,Chadwick Boseman (posthumous),Levee Green,Ma Rainey's Black Bottom
2020,Ben Affleck,Jack Cunningham,The Way Back
2020,Riz Ahmed,Ruben Stone,Sound of Metal
2020,Tom Hanks,Captain Jefferson Kyle Kidd,News of the World
2020,Anthony Hopkins,Anthony,The Father
2020,Delroy Lindo,Paul,Da 5 Bloods
2020,Gary Oldman,Herman J. Mankiewicz,Mank
2020,Steven Yeun,Jacob Yi,Minari
2021,Will Smith,Richard Williams,King Richard
2021,Nicolas Cage,Robin Feld,Pig
2021,Benedict Cumberbatch,Phil Burbank,The Power of the Dog
2021,Peter Dinklage,Cyrano de Bergerac,Cyrano
2021,Andrew Garfield,Jonathan Larson,"tick, tick... BOOM!"
2021,Denzel Washington,Lord Macbeth,The Tragedy of Macbeth
2022,Brendan Fraser,Charlie,The Whale
2022,Austin Butler,Elvis Presley,Elvis
2022,Tom Cruise,"Pete ""Maverick"" Mitchell",Top Gun: Maverick
2022,Colin Farrell,Pádraic Súilleabháin,The Banshees of Inisherin
2022,Paul Mescal,Calum,Aftersun
2022,Bill Nighy,Mr. Williams,Living
2023,Bradley Cooper,Leonard Bernstein,Maestro
2023,Leonardo DiCaprio,Ernest Burkhart,Killers of the Flower Moon
2023,Colman Domingo,Bayard Rustin,Rustin
2023,Paul Giamatti,Paul Hunham,The Holdovers
2023,Cillian Murphy,J. Robert Oppenheimer,Oppenheimer
2023,Jeffrey Wright,"Thelonious ""Monk"" Ellison",American Fiction
