Year,Actor,Character,Film
1995,Kevin Bacon,Henri Young,Murder in the First
1996,Geoffrey Rush,David Helfgott,Shine
1997,Jack Nicholson,Melvin Udall,As Good as It Gets
1998,Ian McKellen,James Whale,Gods and Monsters
1999,Russell Crowe,Jeffrey Wigand,The Insider
