Year,Actor,Character,Film
2020,Daniel Kaluuya,Fred Hampton,Judas and the Black Messiah
2020,Sacha Baron Cohen,Abbie Hoffman,The Trial of the Chicago 7
2020,Chadwick Boseman,"""Stormin'"" Norman Earl Holloway",Da 5 Bloods
2020,Bill Murray,Felix Keane,On the Rocks
2020,Leslie Odom Jr.,Sam Cooke,One Night in Miami...
2020,Paul Raci,Joe,Sound of Metal
2021,Troy Kotsur,Frank Rossi,CODA
2021,Jamie Dornan,Pa,Belfast
2021,Ciarán Hinds,Pop,Belfast
2021,Jared Leto,Paolo Gucci,House of Gucci
2021,J. K. Simmons,William Frawley,Being the Ricardos
2021,Kodi Smit-McPhee,Peter Gordon,The Power of the Dog
2022,Ke Huy Quan,Waymond Wang,Everything Everywhere All at Once
2022,Judd Hirsch,Boris Podgorny,The Fabelmans
2022,Paul Dano,Burt Fabelman,The Fabelmans
2022,Brendan Gleeson,Colm Doherty,The Banshees of Inisherin
2022,Barry Keoghan,Dominic Kearney,The Banshees of Inisherin
2022,Brian Tyree Henry,James,Causeway
2023,Sterling K. Brown,"Clifford ""Cliff"" Ellison",American Fiction
2023,Robert De Niro,William King Hale,Killers of the Flower Moon
2023,Robert Downey Jr.,Lewis Strauss,Oppenheimer
2023,Ryan Gosling,Ken,Barbie
2023,Charles Melton,Joe Yoo,May December
2023,Mark Ruffalo,Duncan Wedderburn,Poor Things
