Year,Actress,Character,Film
2020,Maria Bakalova,Tutar Sagdiyev,Borat Subsequent Moviefilm
2020,Ellen Burstyn,Elizabeth Weiss,Pieces of a Woman
2020,Glenn Close,"Bonnie ""Mamaw"" Vance",Hillbilly Elegy
2020,Amanda Seyfried,Marion Davies,Mank
2020,Olivia Colman,Anne,The Father
2020,Youn Yuh-jung,Soon-ja,Minari
2021,Ariana DeBose,Anita,West Side Story
2021,Caitríona Balfe,Ma,Belfast
2021,Kirsten Dunst,Rose Gordon,The Power of the Dog
2021,Ann Dowd,Linda,Mass
2021,Aunjanue Ellis,"Oracene ""Brandy"" Price",King Richard
2021,Rita Moreno,Valentina,West Side Story
2022,Angela Bassett,Queen Ramonda,Black Panther: Wakanda Forever
2022,Jessie Buckley,Mariche,Women Talking
2022,Kerry Condon,Siobhán Súilleabháin,The Banshees of Inisherin
2022,Jamie Lee Curtis,Deirdre Beaubeirdre,Everything Everywhere All at Once
2022,Stephanie Hsu,Joy Wang / Jobu Tupaki,Everything Everywhere All at Once
2022,Janelle Monáe,"Cassandra ""Andi"" Brand / Helen Brand",Glass Onion: A Knives Out Mystery
2023,Emily Blunt,"Katherine ""Kitty"" Oppenheimer",Oppenheimer
2023,Danielle Brooks,Sofia Johnson,The Color Purple
2023,America Ferrera,Gloria,Barbie
2023,Jodie Foster,Bonnie Stoll,Nyad
2023,Julianne Moore,Gracie Atherton-Yoo,May December
2023,Da'Vine Joy Randolph,Mary Lamb,The Holdovers
