Year,Actor,Character,Film
1995,Ed Harris (TIE),Gene Kranz,Apollo 13
1995,Kevin Spacey (TIE),"Roger ""Verbal"" Kint / Keyser Söze",The Usual Suspects
1996,Cuba Gooding Jr.,"Rodney ""Rod"" Tidwell",Jerry Maguire
1997,Anthony Hopkins,John Quincy Adams,Amistad
1998,Billy Bob Thornton,Jacob Mitchell,A Simple Plan
1999,Michael Clarke Duncan,John Coffey,The Green Mile
