,name,gender,genres,career_length,number_of_movies,avg_revenue_0,avg_budget_0,std_budget_0,avg_imdb_rating_0,avg_order_0,std_order_0,avg_popularity_0
7,Aaron Abrams,2,"[""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]"", ""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]"", ""[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"", ""[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 10770, 'name': 'TV Movie'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}]"", ""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]""]",17,32,9727649.84375,7656250.0,19035918.96750719,6.059374999999999,9.03125,14.092294825098572,9.07059375
10,Aaron Dean Eisenberg,2,"[""[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 80, 'name': 'Crime'}]""]",8,2,0.0,0.0,0.0,5.15,2.5,2.5,15.179
11,Aaron Dessner,2,"[""[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]"", ""[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]"", ""[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]""]",14,4,34365.0,0.0,0.0,8.025,1.25,0.82915619758885,8.354000000000001
14,Aaron Hill,2,"[""[{'id': 27, 'name': 'Horror'}]"", ""[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"", ""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 10751, 'name': 'Family'}, {'id': 10770, 'name': 'TV Movie'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]""]",8,11,80839356.72727273,21772727.272727273,56801633.953916416,5.072727272727272,8.909090909090908,6.598271749681475,18.326818181818183
15,Aaron Himelstein,2,"[""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]"", ""[{'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]"", '[]', ""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 99, 'name': 'Documentary'}]"", ""[{'id': 35, 'name': 'Comedy'}]""]",16,16,154181026.375,41140625.0,93664960.12842461,5.91875,15.6875,15.994994334165924,17.487375
18,Aaron Monaghan,2,"[""[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 80, 'name': 'Crime'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}]""]",14,13,43609458.615384616,26369230.769230768,48702288.44118399,6.053846153846154,12.384615384615385,14.312654226450004,7.1690000000000005
21,Aaron Pierre,2,"[""[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]"", ""[{'id': 18, 'name': 'Drama'}]"", '[]', ""[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]""]",2,4,22536627.5,4500000.0,7794228.634059948,6.5,3.5,3.2015621187164243,8.036249999999999
23,Aaron Staton,2,"[""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"", ""[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]"", ""[{'id': 99, 'name': 'Documentary'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"", '[]', ""[{'id': 18, 'name': 'Drama'}]""]",11,8,14242380.75,5625000.0,9822646.02843857,5.5375000000000005,12.75,11.562331079847178,10.733125000000001
25,Aaron Tveit,2,"[""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 35, 'name': 'Comedy'}]"", '[]', ""[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]"", ""[{'id': 10770, 'name': 'TV Movie'}, {'id': 10402, 'name': 'Music'}]"", '[]', ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 99, 'name': 'Documentary'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]"", ""[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]""]",14,17,29481204.411764707,7647058.823529412,16138886.820969692,6.5,10.058823529411764,20.70086837688442,20.939764705882354
26,Aaron Yoo,2,"[""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 27, 'name': 'Horror'}]"", ""[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"", ""[{'id': 35, 'name': 'Comedy'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]"", ""[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"", ""[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]"", ""[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"", ""[{'id': 18, 'name': 'Drama'}]"", ""[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"", ""[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]""]",14,20,34361469.9,11450000.0,14437711.03741864,6.075,7.45,7.526453348025218,14.093250000000001
