name,genre_mean_weighted,number_of_movies,popularity_0,vote_average_0,budget_0,revenue_0,popularity_1,vote_average_1,budget_1,revenue_1,popularity_2,vote_average_2,budget_2,revenue_2
Gary Oldman,['Crime'],32.0,23.073699999999995,6.912699999999999,14250012.0,53345061.0,52.007099999999994,6.988899999999999,80200000.0,284616417.2,51.81383333333332,6.760333333333334,98416666.66666667,437720604.5
Jason Statham,['Science Fiction'],20.0,26.61916666666667,6.770666666666666,28225000.0,69768853.5,26.384500000000003,6.3051666666666675,31833333.333333332,60451454.333333336,41.027875,6.25,47125000.0,135719634.625
Jackie Chan,['Crime'],36.0,20.357499999999998,6.56625,5743599.916666667,14413202.75,25.05575,6.389833333333335,29492861.666666668,80794032.66666667,26.463083333333334,6.341,39083333.333333336,75775155.25
Scarlett Johansson,['Science Fiction'],23.0,16.639000000000003,5.8991428571428575,20642857.14285714,39781113.0,30.243285714285715,6.814285714285715,30000000.0,71715742.0,25.635444444444445,6.471,34888888.88888889,83427560.0
Josh Hutcherson,['Science Fiction'],13.0,36.7145,6.523249999999999,68846343.25,108225377.75,36.286500000000004,6.2684999999999995,38750000.0,86050430.0,34.813,6.2934,40260000.0,222592601.0
Brie Larson,['Science Fiction'],5.0,40.625,6.737,37000000.0,96455697.0,16.165,5.999,10000000.0,10143022.0,18.64,6.079000000000001,18000000.0,69633984.0
Nicolas Cage,['Family'],51.0,14.156823529411767,6.184588235294118,13432352.94117647,20938407.0,23.877235294117646,6.551882352941177,52741176.47058824,113483330.70588236,29.627588235294116,5.777411764705882,64235294.11764706,123702224.1764706
Michael Fassbender,['Mystery'],11.0,39.85633333333333,7.425,27616996.666666668,109388963.33333333,16.082666666666668,6.800999999999999,5000000.0,14668453.0,25.196199999999997,6.5652,66900000.0,164344448.4
Kevin Costner,['Science Fiction'],30.0,18.461599999999997,6.657299999999999,10260000.0,31127244.4,23.7862,6.6918999999999995,50600000.0,151848181.9,19.147799999999997,6.4049,38900000.0,55447816.5
Jennifer Connelly,['Romance'],25.0,22.753500000000003,6.712375,13353928.75,9749723.25,23.054125,6.6693750000000005,29375000.0,81603895.5,22.186666666666667,6.239333333333334,44666666.666666664,86562579.33333333
