name,popularity,popularity_0,vote_avg_0,year_of_release_0,budget_0,revenue_0,popularity_1,vote_avg_1,year_of_release_1,budget_1,revenue_1,popularity_2,vote_avg_2,year_of_release_2,budget_2,revenue_2,number_of_movies,popularity_beginning,vote_average_beginning,budget_beginning,revenue_beginning,popularity_middle,vote_average_middle,budget_middle,revenue_middle,popularity_end,vote_average_end,budget_end,revenue_end,Popularity (%)
Michael Moriarty,20.398,9.382,5.719,1982.0,0.0,0.0,11.5,5.926,1985.0,1700000.0,0.0,28.212,7.149,1985.0,6900000.0,41410568.0,8.0,12.312,6.475,2000000.0,5000000.0,20.929,6.024,4000000.0,23430691.5,13.35275,6.2955,29500000.0,51512656.25,71.9717596903918
Rachael Leigh Cook,24.075,19.347,6.33,1999.0,10000000.0,103166989.0,14.773,6.802,2003.0,6000000.0,0.0,11.37,6.417,2020.0,0.0,0.0,14.0,8.740499999999999,5.7225,4625000.0,6364984.75,13.9285,5.8420000000000005,28900000.0,38419595.5,8.895333333333332,5.721,12233333.333333334,5254592.0,71.96793507084666
Alexa PenaVega,25.429,34.129,5.79,2001.0,35000000.0,147934180.0,33.887,5.601,2002.0,38000000.0,119723358.0,32.815,5.108,2003.0,38000000.0,197011982.0,17.0,18.3226,6.1338,42200000.0,138955199.6,24.6742,5.7596,26100000.0,94962508.4,13.847857142857142,5.711,8428571.42857143,15107113.857142856,71.96667571973468
Julian Morris,14.692,13.7,5.8,2005.0,1000000.0,10047674.0,13.831,5.466,2009.0,12500000.0,27206120.0,22.31,5.395,2015.0,0.0,0.0,3.0,13.7,5.8,1000000.0,10047674.0,29.528,6.916,75000000.0,200276000.0,10.525,5.466,12500000.0,27206120.0,71.96583879787758
Robert Powell,22.459,4.8,6.017,1973.0,0.0,0.0,49.662,7.759,0.0,0.0,0.0,13.699,7.6,0.0,0.0,0.0,3.0,20.718,6.976,3000000.0,0.0,34.03,4.334,125000000.0,238207122.0,32.035,6.779,80000000.0,157107755.0,71.96376394738395
Caroline Aaron,17.813,53.421,7.718,1990.0,20000000.0,53000000.0,28.157,6.878,2012.0,42000000.0,201585328.0,36.209,6.841,2014.0,50000000.0,331333876.0,21.0,12.353285714285716,6.235857142857142,14428571.42857143,59042287.571428575,12.465571428571426,6.131285714285715,38871428.571428575,18604018.285714287,18.17814285714286,6.263571428571429,28814285.714285713,64804324.0,71.96029039404465
Chris Mulkey,18.129,63.685,7.481,1982.0,15000000.0,125212904.0,57.116,6.258,2013.0,3000000.0,89328627.0,74.249,8.383,2014.0,3300000.0,13092000.0,18.0,19.478166666666667,6.273833333333333,7500000.0,41465392.833333336,15.733000000000002,6.305,20333333.333333332,91565271.0,16.015666666666664,6.415,18416666.666666668,42194206.5,71.94317752301235
Wu Jing,23.331,31.201,5.472,2008.0,145000000.0,403449830.0,21.014,6.6,2017.0,29700000.0,870322670.0,820.047,6.77,2023.0,129000000.0,384056482.0,4.0,7.408,5.2,0.0,35000000.0,16.31,6.744,0.0,6599143.0,26.1025,5.2745,81000000.0,208650631.0,71.93252396271942
Ed Quinn,21.376,17.621,5.948,2012.0,5000000.0,0.0,10.418,4.97,2015.0,1181389.0,56191.0,54.483,8.205,0.0,0.0,0.0,3.0,22.04,7.171,40000000.0,132440069.0,19.167,4.291,7000000.0,0.0,14.403,4.6,6000000.0,0.0,71.93112385054718
Brant von Hoffman,18.486,34.528,6.665,1984.0,4500000.0,81198894.0,23.45,5.771,1986.0,12000000.0,107600000.0,13.463,5.965,1994.0,20000000.0,27058304.0,5.0,32.187,6.665,4500000.0,81198894.0,17.998,5.772,12000000.0,107600000.0,9.123666666666669,5.421666666666667,30333333.333333332,9019434.666666666,71.92312352644096
Thomas Ian Nicholas,19.56,52.402,6.574,1999.0,11000000.0,235483004.0,39.92,6.226,2001.0,30000000.0,287553595.0,46.24,6.287,2012.0,50000000.0,234989584.0,11.0,28.729,6.581333333333333,25666666.666666668,98878579.66666669,19.955,5.968666666666667,11333336.333333334,99795484.66666669,19.4586,5.3668,22215000.0,93287757.4,71.91586187914723
Jonathan Bennett,31.591,92.428,7.192,2004.0,17000000.0,130126277.0,21.697,6.183,2007.0,5000000.0,0.0,22.511,5.456,2009.0,6000000.0,20543.0,3.0,89.515,7.19,17000000.0,130126277.0,25.331,6.142,60000000.0,129181830.0,23.393,5.4,6000000.0,20543.0,71.90543785761302
Byron Mann,21.284,28.821,4.587,2004.0,100000000.0,82102379.0,30.507,7.35,2015.0,28000000.0,133346506.0,26.972,6.314,2018.0,125000000.0,292351275.0,6.0,17.962,5.452,20550000.0,49711760.5,23.2175,6.172499999999999,36500000.0,18788100.0,18.625,4.8934999999999995,57000000.0,41051189.5,71.90219781172553
Dick Durock,14.431,21.585,5.408,1982.0,10000000.0,0.0,31.134,7.853,1986.0,8000000.0,52287414.0,12.026,5.646,1989.0,4000000.0,192816.0,10.0,18.30633333333333,5.993333333333333,11333333.333333334,38974448.0,25.948666666666668,5.959333333333333,10500000.0,21765569.0,13.723,5.93825,7500000.0,14812105.75,71.89226115392437
Elya Baskin,26.656,21.864,7.473,1986.0,18000000.0,77200000.0,32.997,7.3,2004.0,200000000.0,788976453.0,93.908,6.401,2007.0,258000000.0,894983373.0,18.0,16.528833333333335,6.462333333333333,15000000.0,31336898.833333332,15.5475,6.299833333333333,34083333.333333336,78432384.5,35.690666666666665,6.659166666666667,147500000.0,554708577.8333334,71.88798389399396
Rondi Reed,23.587,12.532,5.233,1997.0,32000000.0,59927618.0,20.773,5.565,1999.0,75000000.0,19598588.0,50.47,6.76,0.0,0.0,0.0,5.0,8.425,5.448,17000000.0,40227006.0,6.027,5.295,0.0,17952857.0,14.293666666666669,6.1593333333333335,28000000.0,8864630.0,71.88401692954248
Mindy Sterling,14.908,34.155,6.277,1999.0,33000000.0,312016928.0,176.568,6.739,2000.0,123000000.0,345823040.0,31.282,5.997,2002.0,63000000.0,296938801.0,17.0,15.3904,6.1331999999999995,11960000.0,18888538.0,51.750600000000006,6.400799999999999,50800000.0,197229404.8,30.344,6.015857142857143,93571428.57142857,376891740.4285714,71.876764224523
Steve-O,21.975,19.881,6.304,2002.0,5000000.0,64282312.0,15.017,6.532,2006.0,11000000.0,72778712.0,24.907,6.9,2022.0,10000000.0,80340218.0,4.0,10.483,5.682,5000000.0,0.0,3.109,4.071,2500000.0,0.0,14.866,6.5715,15500000.0,95001491.5,71.87507075564831
Khary Payton,20.718,535.021,7.757,2023.0,100000000.0,1355725263.0,449.777,8.12,0.0,55000000.0,307077295.0,213.343,8.459,0.0,15000000.0,76196538.0,4.0,10.724,5.634,3200000.0,0.0,17.745,4.766,5000000.0,0.0,16.104,5.854,25000000.0,16530952.5,71.87452485490675
Darrell Hammond,15.405,15.404,5.467,2003.0,28000000.0,58795814.0,66.811,5.977,2003.0,48000000.0,220673217.0,67.792,4.8,2013.0,20000000.0,78378744.0,5.0,12.963,5.4,25000000.0,12000000.0,17.687,5.468,28000000.0,58795814.0,28.973666666666663,5.362666666666667,32666666.666666668,109609535.66666669,71.87314076368565
Michael O'Keefe,14.447,21.765,6.629,1980.0,6000000.0,39846344.0,14.13,6.767,2007.0,25000000.0,92991835.0,30.273,7.536,2018.0,48000000.0,120989656.0,15.0,9.3184,5.8858,1200000.0,9878244.6,13.98,6.2948,27600000.0,16137808.8,17.8846,6.4834000000000005,8600000.0,31543285.4,71.87187227464958
Martin Kove,30.031,34.489,7.18,1984.0,8000000.0,130442786.0,74.508,6.625,1985.0,44000000.0,300400432.0,201.728,8.217,0.0,0.0,0.0,12.0,19.45725,6.2684999999999995,2340000.0,35110696.5,32.34125,5.9195,17375000.0,113947109.75,11.233,5.4375,21925000.0,6275000.0,71.86917425094596
Jennifer Lopez,24.384,34.039,5.172,1997.0,45000000.0,136885767.0,22.542,6.101,2002.0,55000000.0,154906693.0,17.507,4.868,2015.0,4000000.0,52425855.0,19.0,19.014000000000003,6.526666666666666,33750000.0,56568845.0,20.304833333333335,6.291166666666666,44500000.0,88314898.0,16.360571428571426,5.961,46228571.428571425,88377070.42857143,71.86286702121322
Marina Sirtis,45.814,28.382,7.292,1996.0,46000000.0,150000000.0,30.306,7.228,2005.0,6500000.0,98410061.0,280.23,8.35,0.0,1746964.0,2181987.0,10.0,13.949,5.907333333333334,16833333.333333332,45372292.666666664,19.73466666666667,6.668666666666667,58666666.666666664,111770942.0,8.64025,4.444,4400000.0,9652502.25,71.8603416857527
David Rasche,39.835,19.106,6.641,2008.0,37000000.0,163720069.0,44.335,6.512,2012.0,225000000.0,624026776.0,10.547,6.641,2020.0,0.0,274674.0,17.0,13.5398,5.909,12100000.0,22044663.6,7.100399999999999,4.4078,11000000.0,17860746.4,19.754,6.754714285714286,61800000.0,145213368.0,71.8537783052949
Fred Tatasciore,31.976,42.345,6.81,2007.0,85000000.0,340487652.0,35.694,6.906,2009.0,30000000.0,48428063.0,41.307,6.275,2017.0,105000000.0,142337240.0,22.0,27.40042857142857,6.273571428571429,45428571.428571425,73210720.85714285,47.04171428571429,6.631142857142858,77000000.0,198257663.42857143,33.507375,6.44975,57206250.0,140101724.875,71.85213353620875
Tom Green,15.955,21.789,6.172,2000.0,16000000.0,119754278.0,27.965,5.828,2000.0,92000000.0,264105545.0,11.109,4.608,2001.0,14000000.0,14343028.0,6.0,16.2945,6.5455000000000005,8425000.0,59877139.0,22.738999999999997,5.218500000000001,53000000.0,139224286.5,9.9885,5.4,15500000.0,9709099.0,71.8504710091639
Catherine Tate,23.799,10.117,7.7,2006.0,0.0,0.0,23.314,5.201,2010.0,112000000.0,237382724.0,427.734,7.455,0.0,0.0,0.0,4.0,10.939,5.341,0.0,429931.0,25.405,5.201,112000000.0,237382724.0,19.114,6.2875,20000000.0,33485029.0,71.82919915608471
Mel Brooks,32.579,17.648,6.8,1981.0,11000000.0,31672907.0,27.634,6.834,1987.0,22700000.0,38119483.0,36.478,6.432,2005.0,75000000.0,262511490.0,15.0,16.7534,7.0416,2952400.0,54596413.2,19.9792,6.5648,12340000.0,43704243.8,31.042,6.536599999999998,44000000.0,119450050.2,71.82648606240014
Bodhi Elfman,15.495,26.383,6.251,1998.0,60000000.0,93107289.0,21.909,7.01,1998.0,90000000.0,250649836.0,25.904,7.218,2004.0,65000000.0,220239925.0,13.0,21.7005,6.1095,10750000.0,45938570.0,32.746,6.424250000000001,105000000.0,319142746.25,12.781,5.580799999999999,41200000.0,62081506.4,71.82603886029561
Matt Clark,21.412,19.431,6.708,1985.0,25000000.0,11137801.0,37.815,7.465,1990.0,40000000.0,244527583.0,26.53,6.012,2014.0,40000000.0,86410000.0,17.0,12.779,6.3778,2847756.6,14355995.6,8.9452,6.002800000000001,7800000.0,14283698.8,13.736,6.3147142857142855,9714285.714285716,40709249.0,71.82102027675548
Roscoe Lee Browne,16.811,23.608,6.723,1988.0,31000000.0,74151346.0,23.523,6.191,1995.0,30000000.0,254134910.0,53.009,7.533,2002.0,140000000.0,109578115.0,12.0,11.75125,6.21125,8500000.0,15211025.25,20.850250000000003,6.114750000000001,47750000.0,122642426.75,28.5275,5.739749999999999,55000000.0,84581331.0,71.80655073008684
Dale Wilson,20.121,39.13,7.012,2002.0,0.0,0.0,17.267,4.96,2002.0,3000000.0,0.0,23.989,8.153,0.0,0.0,0.0,3.0,5.329,5.359,0.0,940173.0,12.216,6.092,25000000.0,10736401.0,13.77,4.96,3000000.0,0.0,71.79084190241186
Matt Walsh,23.437,104.703,7.313,2009.0,35000000.0,469310836.0,57.36,6.41,2012.0,50000000.0,549368315.0,28.22,6.034,2014.0,50000000.0,160602194.0,15.0,25.672199999999997,6.1904,30200000.0,87830000.8,18.888799999999996,6.1424,30600000.0,63483011.8,39.53359999999999,6.3964,40200000.0,264488066.8,71.78817659631567
