name,nominations,wins,lead/secondary details,role
Barkhad Abdi,1,0,S,Captain Phillips
F. Murray Abraham,1,1,L,Amadeus
Amy Adams,6,0,1L:5S,Junebug
Nick Adams,1,0,S,Twilight of Honor
Isabelle Adjani,2,0,L,"Story of Adele H., The"
Casey Affleck,2,1,1L1:1S0,Manchester by the Sea
Shohreh Aghdashloo,1,0,S,House of Sand and Fog
Brian Aherne,1,0,S,Juarez
Riz Ahmed,1,0,L,Sound of Metal
Danny Aiello,1,0,S,Do the Right Thing
Anouk Aim?e,1,0,L,"Man and a Woman, A"
Eddie Albert,2,0,S,Roman Holiday
Jack Albertson,1,1,S,"Subject Was Roses, The"
Alan Alda,1,0,S,"Aviator, The"
Norma Aleandro,1,0,S,Gaby: A True Story
Jane Alexander,4,0,2L:2S,"Great White Hope, The"
Mahershala Ali,2,2,S,Moonlight[w 1]
Joan Allen,3,0,1L:2S,"Contender, The"
Woody Allen,1,0,L,Annie Hall
Sara Allgood,1,0,S,How Green Was My Valley
Don Ameche,1,1,S,Cocoon
Judith Anderson,1,0,S,Rebecca
Julie Andrews,3,1,L,Mary Poppins
Ann-Margret,2,0,1L:1S,Tommy
Yalitza Aparicio,1,0,L,Roma
Anne Archer,1,0,S,Fatal Attraction
Eve Arden,1,0,S,Mildred Pierce
Alan Arkin,4,1,2L0:2S1,Little Miss Sunshine(2006)
George Arliss,1,1,L,Disraeli
Patricia Arquette,1,1,S,Boyhood
Jean Arthur,1,0,L,"More the Merrier, The"
Peggy Ashcroft,1,1,S,"Passage to India, A"
Fred Astaire,1,0,S,"Towering Inferno, The"
Mary Astor,1,1,S,"Great Lie, The"
Mischa Auer,1,0,S,My Man Godfrey
Margaret Avery,1,0,S,"Color Purple, The"
Dan Aykroyd,1,0,S,Driving Miss Daisy
Lew Ayres,1,0,L,Johnny Belinda
Lauren Bacall,1,0,S,"Mirror Has Two Faces, The"
Hermione Baddeley,1,0,S,Room at the Top
Mary Badham,1,0,S,To Kill a Mockingbird
Fay Bainter,3,1,1L0:2S1,Jezebel[n 1]
Maria Bakalova,1,0,S,Borat Subsequent Moviefilm
Carroll Baker,1,0,L,Baby Doll
Alec Baldwin,1,0,S,"Cooler, The"
Christian Bale,4,1,2L0:2S1,"Fighter, The"
Martin Balsam,1,1,S,"Thousand Clowns, A"
Anne Bancroft,5,1,L,"Miracle Worker, The"
George Bancroft,1,0,L,Thunderbolt
Antonio Banderas,1,0,L,Pain and Glory
Ian Bannen,1,0,S,"Flight of the Phoenix, The"
Javier Bardem,4,1,3L0:1S1,No Country for Old Men(2007)
Sacha Baron Cohen,1,0,S,The Trial of the Chicago 7
Marie-Christine Barrault,1,0,L,Cousin Cousine
Adriana Barraza,1,0,S,Babel
Barbara Barrie,1,0,S,Breaking Away
Ethel Barrymore,4,1,S,None but the Lonely Heart
Lionel Barrymore,1,1,L,"Free Soul, A"
Richard Barthelmess,1,0,L,"Patent Leather Kid, The"
Mikhail Baryshnikov,1,0,S,"Turning Point, The"
Kim Basinger,1,1,S,L.A. Confidential
Albert Bassermann,1,0,S,Foreign Correspondent
Angela Bassett,2,0,1L:1S,What's Love Got to Do with It
Alan Bates,1,0,L,"Fixer, The"
Kathy Bates,4,1,1L1:3S0,Misery
Anne Baxter,2,1,1L0:1S1,"Razor's Edge, The"
Warner Baxter,1,1,L,In Old Arizona
Ned Beatty,1,0,S,Network
Warren Beatty,4,0,L,Bonnie and Clyde
Wallace Beery,2,1,L,"Champ, The"
Ed Begley,1,1,S,Sweet Bird of Youth
B?r?nice Bejo,1,0,S,"Artist, The"
Barbara Bel Geddes,1,0,S,I Remember Mama
Ralph Bellamy,1,0,S,"Awful Truth, The"
William Bendix,1,0,S,Wake Island
Roberto Benigni,1,1,L,Life Is Beautiful
Annette Bening,4,0,3L:1S,American Beauty(1999)
Tom Berenger,1,0,S,Platoon
Candice Bergen,1,0,S,Starting Over
Ingrid Bergman,7,3,6L2:1S1,Gaslight(1944)[w 2]
Elisabeth Bergner,1,0,L,Escape Me Never
Jeannie Berlin,1,0,S,"Heartbreak Kid, The"
Halle Berry,1,1,L,Monster's Ball
Demi?n Bichir,1,0,L,"Better Life, A"
Charles Bickford,3,0,S,"Song of Bernadette, The"
Theodore Bikel,1,0,S,"Defiant Ones, The"
Juliette Binoche,2,1,1L0:1S1,"English Patient, The"
Karen Black,1,0,S,Five Easy Pieces
Betsy Blair,1,0,S,Marty
Linda Blair,1,0,S,"Exorcist, The"
Ronee Blakley,1,0,S,Nashville
Cate Blanchett,8,2,5L1:3S1,Blue Jasmine(2013)[w 3][n 2]
Brenda Blethyn,2,0,1L:1S,Secrets & Lies
Mary J. Blige,1,0,S,Mudbound
Joan Blondell,1,0,S,"Blue Veil, The"
Ann Blyth,1,0,S,Mildred Pierce
Humphrey Bogart,3,1,L,"African Queen, The(1951)"
Beulah Bondi,2,0,S,"Gorgeous Hussy, The"
Helena Bonham Carter,2,0,1L:1S,"Wings of the Dove, The"
Shirley Booth,1,1,L,"Come Back, Little Sheba"
Ernest Borgnine,1,1,L,Marty
Chadwick Boseman,1,0,L,Ma Rainey's Black Bottom
Charles Boyer,4,0,L,Conquest
Lorraine Bracco,1,0,S,Goodfellas
Alice Brady,2,1,S,In Old Chicago
Kenneth Branagh,2,0,1L:1S,Henry V
Klaus Maria Brandauer,1,0,S,Out of Africa
Marlon Brando,8,2,7L2:1S0,On the Waterfront(1954)[w 4]
Eileen Brennan,1,0,S,Private Benjamin
Walter Brennan,4,3,S,Come and Get It[w 5]
Abigail Breslin,1,0,S,Little Miss Sunshine
Jeff Bridges,7,1,3L1:4S0,Crazy Heart(2009)
Jim Broadbent,1,1,S,Iris
Adrien Brody,1,1,L,"Pianist, The"
Josh Brolin,1,0,S,Milk
Albert Brooks,1,0,S,Broadcast News
Leslie Browne,1,0,S,"Turning Point, The"
Yul Brynner,1,1,L,"King and I, The"
Jessie Buckley,1,0,S,The Lost Daughter
Genevi?ve Bujold,1,0,L,Anne of the Thousand Days
Sandra Bullock,2,1,L,"Blind Side, The"
Victor Buono,1,0,S,What Ever Happened to Baby Jane?
Billie Burke,1,0,S,Merrily We Live
Catherine Burns,1,0,S,Last Summer
George Burns,1,1,S,"Sunshine Boys, The"
Ellen Burstyn,6,1,5L1:1S0,Alice Doesn't Live Here Anymore(1974)
Richard Burton,7,0,6L:1S,"Robe, The(1953)"
Gary Busey,1,0,L,"Buddy Holly Story, The"
Austin Butler,1,0,L,Elvis
Red Buttons,1,1,S,Sayonara
Spring Byington,1,0,S,You Can't Take It with You
James Caan,1,0,S,"Godfather, The"
Adolph Caesar,1,0,S,"Soldier's Story, A"
Nicolas Cage,2,1,L,Leaving Las Vegas
James Cagney,3,1,L,Yankee Doodle Dandy(1942)
Michael Caine,6,2,4L0:2S2,Hannah and Her Sisters(1986)[w 6]
Louis Calhern,1,0,L,"Magnificent Yankee, The"
Dyan Cannon,2,0,S,Bob & Carol & Ted & Alice
Steve Carell,1,0,L,Foxcatcher
Harry Carey,1,0,S,Mr. Smith Goes to Washington
Lynn Carlin,1,0,S,Faces
Art Carney,1,1,L,Harry and Tonto
Leslie Caron,2,0,L,Lili
Diahann Carroll,1,0,L,Claudine
Nancy Carroll,1,0,L,"Devil's Holiday, The"
Peggy Cass,1,0,S,Auntie Mame
John Cassavetes,1,0,S,"Dirty Dozen, The"
Seymour Cassel,1,0,S,Faces
Richard S. Castellano,1,0,S,Lovers and Other Strangers
Keisha Castle-Hughes,1,0,L,Whale Rider
George Chakiris,1,1,S,West Side Story
Timoth?e Chalamet,1,0,L,Call Me by Your Name
Jeff Chandler,1,0,S,Broken Arrow
Carol Channing,1,0,S,Thoroughly Modern Millie
Stockard Channing,1,0,L,Six Degrees of Separation
Charlie Chaplin,1,0,L,"Great Dictator, The"
Jessica Chastain,3,1,2L1:1S,The Eyes of Tammy Faye
Ruth Chatterton,2,0,L,Madame X
Hong Chau,1,0,S,"Whale, The"
Don Cheadle,1,0,L,Hotel Rwanda
Michael Chekhov,1,0,S,Spellbound
Cher,2,1,1L1:1S0,Moonstruck
Maurice Chevalier,1,0,L,"Love Parade, The"
Julie Christie,4,1,L,Darling
Thomas Haden Church,1,0,S,Sideways
Diane Cilento,1,0,S,Tom Jones
Candy Clark,1,0,S,American Graffiti
Patricia Clarkson,1,0,S,Pieces of April
Jill Clayburgh,2,0,L,"Unmarried Woman, An"
Montgomery Clift,4,0,3L:1S,"Search, The"
George Clooney,4,1,3L0:1S1,Syriana
Glenn Close,8,0,4L:4S,Fatal Attraction(1987)
Lee J. Cobb,2,0,S,On the Waterfront
Charles Coburn,3,1,S,"More the Merrier, The(1943)"
James Coburn,1,1,S,Affliction
James Coco,1,0,S,Only When I Laugh
Claudette Colbert,3,1,L,It Happened One Night
Toni Collette,1,0,S,"Sixth Sense, The"
Patricia Collinge,1,0,S,"Little Foxes, The"
Pauline Collins,1,0,L,Shirley Valentine
Olivia Colman,3,1,2L1:1S0,"Favourite, The"
Ronald Colman,3,1,L,"Double Life, A"
Betty Compson,1,0,L,"Barker, The"
Jennifer Connelly,1,1,S,"Beautiful Mind, A"
Kerry Condon,1,0,S,The Banshees of Inisherin
Sean Connery,1,1,S,"Untouchables, The"
Tom Conti,1,0,L,"Reuben, Reuben"
Bradley Cooper,4,0,3L:1S,Silver Linings Playbook
Chris Cooper,1,1,S,Adaptation
Gary Cooper,5,2,L,Sergeant York(1941)[w 7]
Gladys Cooper,3,0,S,"Now, Voyager"
Jackie Cooper,1,0,L,Skippy
Ellen Corby,1,0,S,I Remember Mama
Valentina Cortese,1,0,S,Day for Night
Kevin Costner,1,0,L,Dances with Wolves
