name,genre_ids,movies,popularity,genre_mean,genre_mean_weighted
Sangeeth Shobhan,"[[35, 10749, 18], [18, 35]]","['MAD', 'Prema Vimanam']","[8.439, 5.124]","['Comedy', 'Drama']",['Romance']
Gary Oldman,"[[18, 28, 80, 53], [28, 80, 18, 53], [18, 36]]","['The Dark Knight', 'The Dark Knight Rises', 'Darkest Hour']","[127.121, 78.615, 32.352]",['Drama'],['Crime']
Angeli Khang,"[[18, 53], [18], [18, 10749]]","['Silip Sa Apoy', ""Selina's Gold"", 'Eva']","[31.85, 26.984, 31.232]",['Drama'],['Romance']
Florence Pugh,"[[27, 18, 9648], [28, 12, 878], [18, 10749]]","['Midsommar', 'Black Widow', 'Little Women']","[53.79, 89.461, 36.364]",['Drama'],['Mystery']
Jason Statham,"[[80, 35], [28, 878, 27], [28, 80, 53]]","['Snatch', 'The Meg', 'The Transporter']","[36.288, 101.3, 34.472]","['Crime', 'Action']",['Science Fiction']
Stefan Behrens,"[[80, 18], [35]]","['The Man with the Glass Eye', 'Willi Manages the Whole Thing']","[1.837, 1.298]","['Crime', 'Drama', 'Comedy']",['Crime']
Jackie Chan,"[[28, 35, 80], [28, 35, 80], [28, 35, 80]]","['Rush Hour', 'Rush Hour 2', 'Rush Hour 3']","[57.09, 50.15, 64.894]","['Action', 'Comedy', 'Crime']",['Crime']
Scarlett Johansson,"[[28, 878], [28, 12, 878], [28, 12, 878]]","['Lucy', 'Black Widow', 'Captain America: The Winter Soldier']","[52.474, 89.461, 41.798]","['Action', 'Science Fiction']",['Science Fiction']
Josh Hutcherson,"[[878, 12, 14], [12, 28, 878], [878, 12, 53]]","['The Hunger Games', 'The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay - Part 1']","[68.781, 111.167, 147.987]","['Science Fiction', 'Adventure']",['Science Fiction']
Brie Larson,"[[28, 12, 878], [18, 53], [28, 35, 80]]","['Captain Marvel', 'Room', '21 Jump Street']","[157.627, 23.836, 28.157]",['Action'],['Science Fiction']
Nicolas Cage,"[[16, 12, 10751, 14, 35, 28], [12, 28, 53, 9648], [53, 28, 14]]","['The Croods', 'National Treasure', 'Ghost Rider']","[51.195, 36.271, 53.258]",['Action'],['Family']
Jenna Ortega,"[[27, 9648, 53], [27, 53, 9648]]","['Scream', 'X']","[116.907, 121.584]","['Horror', 'Mystery', 'Thriller']",['Mystery']
Michael Fassbender,"[[878, 27, 9648], [28, 12, 878], [28, 12, 878, 14]]","['Alien: Covenant', ""Assassin's Creed"", 'X-Men: Apocalypse']","[92.26, 28.474, 69.023]",['Science Fiction'],['Mystery']
Kevin Costner,"[[80, 18, 36, 53], [12, 18, 37], [12, 28, 878]]","['The Untouchables', 'Dances with Wolves', 'Waterworld']","[35.015, 32.658, 46.04]","['Drama', 'Adventure']",['Science Fiction']
Jennifer Connelly,"[[18, 10749], [80, 18], [18, 12]]","['A Beautiful Mind', 'Requiem for a Dream', 'Noah']","[67.495, 14.546, 39.396]",['Drama'],['Romance']
Emily Blunt,"[[27, 18, 878], [28, 80, 53], [28, 878]]","['A Quiet Place', 'Sicario', 'Edge of Tomorrow']","[56.044, 53.809, 48.32]","['Science Fiction', 'Action']",['Science Fiction']
Piper Rubio,"[[27, 9648], [10749, 10770]]","[""Five Nights at Freddy's"", 'Holly & Ivy']","[2817.844, 5.885]","['Horror', 'Mystery', 'Romance', 'TV Movie']",['Mystery']
Anne Hathaway,"[[12, 18, 878], [35, 18, 10749], [12, 10751, 14]]","['Interstellar', 'The Devil Wears Prada', 'Alice Through the Looking Glass']","[162.321, 75.952, 46.305]","['Adventure', 'Drama']",['Romance']
Owen Wilson,"[[16, 12, 35, 10751], [14, 35, 10749], [16, 12, 35, 10751]]","['Cars', 'Midnight in Paris', 'Cars 3']","[69.198, 26.227, 84.683]",['Comedy'],['Family']
