name,genre_ids,movies,popularity,genre_mean,genre_mean_weighted
Azi Acosta,"[[18], [18], [18]]","[""Selina's Gold"", 'Pamasahe', 'Sex Games']","[26.984, 10.551, 22.603]",['Drama'],['Drama']
Matthew Lillard,"[[80, 27, 9648], [9648, 12, 35], [9648, 14, 12, 35]]","['Scream', 'Scooby-Doo', 'Scooby-Doo 2: Monsters Unleashed']","[85.129, 61.98, 27.539]",['Mystery'],['Mystery']
Ana de Armas,"[[878, 18], [35, 80, 9648], [35, 80, 18]]","['Blade Runner 2049', 'Knives Out', 'War Dogs']","[113.999, 63.555, 32.957]","['Drama', 'Comedy', 'Crime']",['Mystery']
Rowoon,[],[],[],[],[]
Emma Stone,"[[35, 80], [28, 12, 14], [35, 18, 10749, 10402]]","['Cruella', 'The Amazing Spider-Man', 'La La Land']","[109.711, 90.379, 41.818]",['Comedy'],['Romance']
Lizze Broadway,"[[35], [28, 35, 10749]]","[""American Pie Presents: Girls' Rules"", 'Ghosted']","[39.662, 147.065]",['Comedy'],['Romance']
Matthew Perry,"[[35, 80], [35, 14, 18, 10749]]","['The Whole Nine Yards', '17 Again']","[25.01, 48.531]",['Comedy'],['Romance']
Morgan Freeman,"[[80, 9648, 53], [18, 80], [28, 878]]","['Se7en', 'The Shawshank Redemption', 'Lucy']","[67.642, 125.459, 52.474]",['Crime'],['Mystery']
Mia Goth,"[[27, 53, 9648], [27, 9648, 878], [27, 18, 53]]","['X', 'A Cure for Wellness', 'Pearl']","[121.584, 19.255, 54.263]",['Horror'],['Mystery']
Aya Asahina,[[35]],['Grand Blue'],[17.665],['Comedy'],['Comedy']
Liam Neeson,"[[18, 36, 10752], [12, 28, 878], [28, 53]]","[""Schindler's List"", 'Star Wars: Episode I - The Phantom Menace', 'Taken']","[66.416, 38.149, 97.172]",['Action'],['War']
Cillian Murphy,"[[27, 53, 878], [28, 878, 12]]","['28 Days Later', 'Inception']","[46.577, 101.797]",['Science Fiction'],['Science Fiction']
Lena Headey,"[[28, 12, 10752], [878, 27, 53]]","['300', 'The Purge']","[51.906, 57.116]","['Action', 'Adventure', 'War', 'Science Fiction', 'Horror', 'Thriller']",['War']
Kelly Reilly,"[[18], [28, 12, 80, 9648], [27, 53]]","['Flight', 'Sherlock Holmes', 'Eden Lake']","[27.927, 45.599, 25.301]","['Drama', 'Action', 'Adventure', 'Crime', 'Mystery', 'Horror', 'Thriller']",['Mystery']
Rebecca Ferguson,"[[878, 12], [53, 9648, 18, 80], [27, 878, 9648, 53]]","['Dune', 'The Girl on the Train', 'Life']","[94.08, 22.248, 36.006]","['Science Fiction', 'Thriller', 'Mystery']",['Mystery']
Angela White,"[[80, 53], [12, 14, 878], [28, 878, 53]]","['Knockaround Guys', 'The Northlander', 'Project: Shadowchaser']","[14.422, 4.582, 2.648]","['Thriller', 'Science Fiction']",['Science Fiction']
Ryan Reynolds,"[[28, 12, 35], [28, 35, 12], [35, 12, 878]]","['Deadpool', 'Deadpool 2', 'Free Guy']","[111.887, 83.547, 96.593]","['Adventure', 'Comedy']",['Science Fiction']
Hayley Atwell,"[[28, 12, 878], [28, 12, 878]]","['Captain America: The First Avenger', 'Captain America: The Winter Soldier']","[53.529, 41.798]","['Action', 'Adventure', 'Science Fiction']",['Science Fiction']
Mark Hamill,"[[12, 28, 878], [12, 28, 878], [12, 28, 878]]","['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi']","[117.613, 42.015, 43.505]","['Adventure', 'Action', 'Science Fiction']",['Science Fiction']
Will Smith,"[[28, 12, 14], [18, 878, 53], [28, 878]]","['Suicide Squad', 'I Am Legend', 'I, Robot']","[66.883, 90.796, 46.994]","['Action', 'Science Fiction']",['Science Fiction']
Zoe Saldaña,"[[28, 12, 14, 878], [28, 878, 12], [878, 12, 28]]","['Avatar', 'Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2']","[145.845, 43.078, 80.772]","['Action', 'Adventure', 'Science Fiction']",['Science Fiction']
Robb Guinto,"[[18], [18, 53], [53, 80, 18]]","['X-Deal 2', 'Showroom', 'Virgin Forest']","[14.695, 26.477, 36.963]",['Drama'],['Thriller']
Sang Woo,"[[10749], [18, 10749], [18, 10749]]","['The Taste of Next Door Sister', 'Sex Girl 12', ""A Female Employee's Taste""]","[0.6, 10.97, 18.019]",['Romance'],['Romance']
Pedro Pascal,"[[28, 53, 80]]",['The Equalizer 2'],[120.083],"['Action', 'Thriller', 'Crime']",['Crime']
Mel Gibson,"[[28, 18, 36, 10752], [18, 53, 878, 9648], [12, 28, 35, 53, 80]]","['Braveheart', 'Signs', 'Lethal Weapon']","[57.256, 27.748, 36.396]","['Action', 'Drama', 'Thriller']",['War']
Gal Gadot,"[[28, 12, 14], [28, 12, 14], [28, 12, 14]]","['Wonder Woman', 'Wonder Woman 1984', 'Batman v Superman: Dawn of Justice']","[75.833, 65.368, 69.475]","['Action', 'Adventure', 'Fantasy']",['Action']
Mckenna Grace,"[[14, 35, 12], [18, 35], [28, 12, 878]]","['Ghostbusters: Afterlife', 'Gifted', 'Captain Marvel']","[86.354, 42.427, 157.627]","['Comedy', 'Adventure']",['Science Fiction']
Kristen Stewart,"[[14, 18, 10749], [12, 14, 18, 10749], [12, 14, 10749]]","['Twilight', 'The Twilight Saga: New Moon', 'The Twilight Saga: Breaking Dawn - Part 1']","[106.998, 61.661, 85.959]","['Fantasy', 'Romance']",['Romance']
Denzel Washington,"[[53, 28, 80], [28, 53, 878], [18]]","['The Equalizer', 'The Book of Eli', 'Flight']","[217.606, 35.707, 27.927]","['Thriller', 'Action']",['Science Fiction']
Joseph Gordon-Levitt,"[[28, 878, 12], [28, 53, 878], [35, 18, 10749]]","['Inception', 'Looper', '(500) Days of Summer']","[101.797, 43.539, 40.622]","['Action', 'Science Fiction']",['Romance']
Val Kilmer,"[[28, 80, 14], [12, 16, 18, 10751], [10749, 18, 28]]","['Batman Forever', 'The Prince of Egypt', 'Top Gun']","[37.2, 43.994, 69.404]","['Action', 'Drama']",['Romance']
Nicole Kidman,"[[27, 9648, 53], [12, 14], [18, 10749, 10402]]","['The Others', 'The Golden Compass', 'Moulin Rouge!']","[39.602, 27.887, 23.007]","['Horror', 'Mystery', 'Thriller', 'Adventure', 'Fantasy', 'Drama', 'Romance', 'Music']",['Mystery']
Vin Diesel,"[[28, 53, 80], [28, 53, 80], [28, 80, 53]]","['Fast & Furious 6', 'Furious 7', 'The Fate of the Furious']","[8.888, 96.286, 74.273]","['Action', 'Thriller', 'Crime']",['Crime']
Matt Damon,"[[18, 12, 878], [18], [28, 18, 9648, 53]]","['The Martian', 'Good Will Hunting', 'The Bourne Identity']","[55.049, 59.811, 35.87]",['Drama'],['Mystery']
Elizabeth Mitchell,"[[28, 27, 53], [14, 35, 10751]]","['The Purge: Election Year', 'The Santa Clause 2']","[56.039, 36.169]","['Action', 'Horror', 'Thriller', 'Fantasy', 'Comedy', 'Family']",['Family']
Ariana Greenblatt,"[[35, 12, 14], [878, 28, 12], [35, 28, 12, 14]]","['Barbie', '65', 'Love and Monsters']","[666.048, 89.381, 36.264]",['Adventure'],['Science Fiction']
AJ Raval,"[[53, 10749, 80, 18], [18, 10749, 53], [53]]","['Hugas', 'Us X Her', 'Kaliwaan']","[8.358, 17.107, 19.981]",['Thriller'],['Romance']
Ceci Balagot,"[[10751, 14, 35, 12]]",['Monster High: The Movie'],[62.58],"['Family', 'Fantasy', 'Comedy', 'Adventure']",['Family']
Rachel Griffiths,"[[18, 36, 10752], [80, 18], [10402, 18, 10749, 80]]","['Hacksaw Ridge', 'Blow', 'Step Up']","[135.456, 22.19, 30.318]",['Drama'],['War']
Taylor Swift,"[[16, 10751], [18, 878], [99, 10402]]","['The Lorax', 'The Giver', 'Miss Americana']","[140.119, 26.563, 21.31]","['Animation', 'Family', 'Drama', 'Science Fiction', 'Documentary', 'Music']",['Family']
James Spader,"[[28, 12, 878], [28, 12, 878]]","['Avengers: Age of Ultron', 'Stargate']","[118.548, 30.273]","['Action', 'Adventure', 'Science Fiction']",['Science Fiction']
Karen Gillan,"[[28, 878, 12], [12, 28, 35, 14], [878, 12, 28]]","['Guardians of the Galaxy', 'Jumanji: Welcome to the Jungle', 'Guardians of the Galaxy Vol. 2']","[43.078, 41.259, 80.772]","['Action', 'Adventure']",['Science Fiction']
John Krasinski,"[[27, 18, 878], [10752, 28, 36, 18], [878, 53, 27]]","['A Quiet Place', '13 Hours: The Secret Soldiers of Benghazi', 'A Quiet Place Part II']","[56.044, 73.763, 73.271]","['Horror', 'Drama', 'Science Fiction']",['War']
Asa Germann,[[18]],['Two Little Boys'],[1.391],['Drama'],['Drama']
Emma Watson,"[[10751, 14, 10749], [14, 12], [12, 14]]","['Beauty and the Beast', 'Harry Potter and the Deathly Hallows: Part 2', 'Harry Potter and the Deathly Hallows: Part 1']","[75.291, 158.527, 147.479]",['Fantasy'],['Family']
Maddie Phillips,"[[35, 10402, 10749, 14]]",['A Cinderella Story: Christmas Wish'],[32.813],"['Comedy', 'Music', 'Romance', 'Fantasy']",['Romance']
Alan Ritchson,"[[878, 28, 12, 35], [28, 12, 35, 10751, 878]]","['Teenage Mutant Ninja Turtles', 'Teenage Mutant Ninja Turtles: Out of the Shadows']","[93.618, 43.564]","['Science Fiction', 'Action', 'Adventure', 'Comedy']",['Family']
Daniel Radcliffe,"[[12, 14], [12, 14], [12, 14]]","[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban']","[208.547, 175.225, 190.123]","['Adventure', 'Fantasy']",['Fantasy']
Rachael Harris,"[[35], [10751, 16, 35, 12]]","['The Hangover', 'Wreck-It Ralph']","[104.703, 79.249]",['Comedy'],['Family']
Şifanur Gül,[],[],[],[],[]
Judd Nelson,"[[35, 18], [80, 53, 10770], [16, 878, 28, 12, 10751]]","['The Breakfast Club', 'Girl in the Basement', 'The Transformers: The Movie']","[24.947, 49.281, 17.924]","['Comedy', 'Drama', 'Crime', 'Thriller', 'TV Movie', 'Animation', 'Science Fiction', 'Action', 'Adventure', 'Family']",['TV Movie']
Louis Hofmann,"[[10752, 18, 36], [18, 10749]]","['Land of Mine', 'Center of My World']","[14.627, 11.634]",['Drama'],['War']
Shuya Sophia Cai,"[[28, 878, 27], [28, 878, 27], [18, 10749]]","['The Meg', 'Meg 2: The Trench', 'Somewhere Only We Know']","[101.3, 820.047, 5.397]","['Action', 'Science Fiction', 'Horror']",['Science Fiction']
Dakota Fanning,"[[16, 10751, 14], [12, 53, 878], [28, 18, 53]]","['Coraline', 'War of the Worlds', 'Man on Fire']","[165.568, 49.113, 40.443]",['Thriller'],['Family']
Annette Bening,"[[18], [28, 12, 878], [35, 14, 878]]","['American Beauty', 'Captain Marvel', 'Mars Attacks!']","[35.5, 157.627, 26.959]",['Science Fiction'],['Science Fiction']
Emily Rudd,"[[9648, 27], [9648, 27]]","['Fear Street: 1978', 'Fear Street: 1666']","[28.185, 27.338]","['Mystery', 'Horror']",['Mystery']
Keanu Reeves,"[[28, 878], [28, 53], [28, 53, 80]]","['The Matrix', 'John Wick', 'John Wick: Chapter 2']","[91.778, 58.857, 105.031]",['Action'],['Science Fiction']
Mia Isaac,"[[35, 18], [18], [878]]","['Not Okay', ""Don't Make Me Go"", 'Gray Matter']","[20.057, 9.557, 16.914]",['Drama'],['Science Fiction']
Bruce Dern,"[[18, 9648, 37], [18, 12], [35, 18, 53]]","['The Hateful Eight', 'Nebraska', 'Once Upon a Time… in Hollywood']","[34.867, 12.23, 54.679]",['Drama'],['Mystery']
January Jones,"[[28, 878, 12], [28, 9648, 53], [35, 10749]]","['X-Men: First Class', 'Unknown', 'American Wedding']","[2.382, 29.285, 37.787]",['Action'],['Romance']
Colin Farrell,"[[35, 18, 10749], [28, 878, 53], [35, 18, 80]]","['The Lobster', 'Total Recall', 'In Bruges']","[22.499, 42.363, 17.232]","['Comedy', 'Drama']",['Romance']
Harrison Ford,"[[12, 28, 878], [878, 18, 53], [12, 28]]","['Star Wars: The Force Awakens', 'Blade Runner', 'Raiders of the Lost Ark']","[65.022, 66.932, 60.156]","['Adventure', 'Action', 'Science Fiction']",['Science Fiction']
Hande Erçel,[],[],[],[],[]
Elizabeth Olsen,"[[28, 18, 878], [14, 28, 12]]","['Godzilla', 'Doctor Strange in the Multiverse of Madness']","[74.963, 153.681]",['Action'],['Science Fiction']
Sylvester Stallone,"[[53, 12, 28], [18, 10749], [28, 12, 53]]","['The Expendables', 'Rocky', 'The Expendables 2']","[78.847, 69.227, 63.173]","['Thriller', 'Adventure', 'Action']",['Romance']
Rupert Friend,"[[28, 80, 53], [18, 10752, 36], [80, 53, 9648, 35]]","['Hitman: Agent 47', 'The Boy in the Striped Pyjamas', 'A Simple Favor']","[41.079, 64.138, 25.662]","['Crime', 'Thriller']",['War']
Charlize Theron,"[[28, 12, 878], [28, 53], [14, 28]]","['Mad Max: Fury Road', 'Atomic Blonde', 'Hancock']","[94.697, 21.238, 46.173]",['Action'],['Science Fiction']
Diane Lane,"[[28, 12, 878], [28, 12, 14], [16, 10751, 12, 18, 35]]","['Man of Steel', 'Batman v Superman: Dawn of Justice', 'Inside Out']","[53.736, 69.475, 327.408]",['Adventure'],['Family']
Tom Hanks,"[[35, 18, 10749], [16, 12, 10751, 35], [14, 18, 80]]","['Forrest Gump', 'Toy Story', 'The Green Mile']","[98.321, 118.572, 70.64]","['Comedy', 'Drama']",['Family']
Timothée Chalamet,"[[10749, 18], [878, 12], [18, 36, 10752]]","['Call Me by Your Name', 'Dune', 'The King']","[49.263, 94.08, 22.039]",['Drama'],['Romance']
Tyrese Gibson,"[[28, 80, 53], [12, 878, 28], [28, 12, 80]]","['2 Fast 2 Furious', 'Transformers', 'F9']","[9.559, 14.528, 78.752]",['Action'],['Science Fiction']
Katheryn Winnick,"[[28, 80, 18], [14, 28, 878]]","['Polar', 'The Dark Tower']","[29.958, 28.418]",['Action'],['Science Fiction']
Zoey Deutch,"[[18, 9648, 53, 14], [10749, 35], [35, 28, 14]]","['Before I Fall', 'Set It Up', 'Vampire Academy']","[19.881, 19.418, 16.151]","['Fantasy', 'Comedy']",['Romance']
Hailee Steinfeld,"[[28, 12, 878], [18, 12, 37], [28, 12, 16, 878]]","['Bumblebee', 'True Grit', 'Spider-Man: Into the Spider-Verse']","[36.876, 28.496, 138.792]",['Adventure'],['Science Fiction']
Leonardo DiCaprio,"[[28, 878, 12], [18, 10749], [18, 53, 9648]]","['Inception', 'Titanic', 'Shutter Island']","[101.797, 139.51, 73.015]",['Drama'],['Romance']
Tom Hiddleston,"[[28, 12, 878], [28, 12, 14]]","['Thor: Ragnarok', 'Kong: Skull Island']","[90.381, 58.487]","['Action', 'Adventure']",['Science Fiction']
Ryan Gosling,"[[35, 18, 10749, 10402], [878, 18], [18, 53, 80]]","['La La Land', 'Blade Runner 2049', 'Drive']","[41.818, 113.999, 45.789]",['Drama'],['Romance']
Byeon Woo Seok,"[[10749, 18], [28, 35, 12, 80]]","['20th Century Girl', 'Midnight Runners']","[122.958, 12.866]","['Romance', 'Drama', 'Action', 'Comedy', 'Adventure', 'Crime']",['Romance']
Tom Mothersdale,"[[27, 10752, 878]]",['Overlord'],[26.951],"['Horror', 'War', 'Science Fiction']",['War']
Maggie Lawson,"[[80, 53, 9648], [28, 53, 878]]","['Cleaner', 'Gamer']","[17.68, 16.283]",['Thriller'],['Mystery']
John Travolta,"[[53, 80], [10749, 35], [16, 10751, 12, 35]]","['Pulp Fiction', 'Grease', 'Bolt']","[84.273, 46.687, 56.465]",['Comedy'],['Family']
Miia Harris,"[[10751, 14, 35, 12], [10751, 14, 878, 10770]]","['Monster High: The Movie', 'Monster High 2']","[62.58, 232.351]","['Family', 'Fantasy']",['Family']
Molly Kunz,"[[10751, 12], [80, 53], [18]]","['The Wolf and the Lion', 'Widows', 'The Wise Kids']","[19.234, 19.572, 1.738]","['Family', 'Adventure', 'Crime', 'Thriller', 'Drama']",['Family']
Min Do-yoon,"[[18, 10749], [18, 10749], [10749]]","['Adultery Alumni Association 2', ""24 Year Old Yoon Yul's Sexy Breasts"", 'Beauty Salon: Special Services 4']","[16.886, 33.455, 3.225]",['Romance'],['Romance']
Amanda Seyfried,"[[28, 53, 878], [18, 10749, 10752], [28, 12, 27, 14, 53]]","['In Time', 'Dear John', 'Red Riding Hood']","[57.609, 21.725, 21.09]","['Action', 'Thriller']",['War']
Olivier Renaud,"[[10749, 35, 10770], [10749, 10770, 35], [10770, 35, 10749]]","['Midnight at the Magnolia', 'Christmas at Maple Creek', 'Christmas on 5th Avenue']","[9.207, 5.208, 4.631]","['Romance', 'Comedy', 'TV Movie']",['TV Movie']
Tom Holland,"[[28, 12, 878, 18], [28, 12, 878], [28, 12, 878]]","['Spider-Man: Homecoming', 'Spider-Man: No Way Home', 'Spider-Man: Far From Home']","[93.92, 299.567, 77.04]","['Action', 'Adventure', 'Science Fiction']",['Science Fiction']
Tom Hardy,"[[28, 12, 878], [878, 28], [878, 28, 12]]","['Mad Max: Fury Road', 'Venom', 'Venom: Let There Be Carnage']","[94.697, 99.355, 141.685]","['Action', 'Science Fiction']",['Science Fiction']
Josh Holloway,"[[28, 53, 12]]",['Mission: Impossible - Ghost Protocol'],[77.884],"['Action', 'Thriller', 'Adventure']",['Thriller']
Millie Bobby Brown,"[[12, 9648, 80], [28, 878, 53]]","['Enola Holmes', 'Godzilla vs. Kong']","[31.035, 105.905]","['Adventure', 'Mystery', 'Crime', 'Action', 'Science Fiction', 'Thriller']",['Mystery']
Timothy Olyphant,"[[28, 53, 18], [35, 18, 53], [9648, 27, 28]]","['Hitman', 'Once Upon a Time… in Hollywood', 'The Crazies']","[30.663, 54.679, 20.251]","['Action', 'Thriller', 'Drama']",['Mystery']
Austin Butler,"[[18, 10402, 36], [35, 18, 53]]","['Elvis', 'Once Upon a Time… in Hollywood']","[58.564, 54.679]",['Drama'],['Music']
Carla Gugino,"[[28, 12, 35, 10751, 14], [27, 53], [28, 18, 53]]","['Night at the Museum', ""Gerald's Game"", 'San Andreas']","[34.963, 20.11, 163.919]","['Action', 'Thriller']",['Family']
Pierce Brosnan,"[[12, 28, 53], [12, 28, 53], [35, 10749]]","['GoldenEye', 'Die Another Day', 'Mamma Mia!']","[34.028, 33.905, 35.064]","['Adventure', 'Action', 'Thriller']",['Romance']
Clancy Brown,"[[18, 80], [28, 12, 878], [10751, 16, 35, 14, 12]]","['The Shawshank Redemption', 'Thor: Ragnarok', 'The SpongeBob SquarePants Movie']","[125.459, 90.381, 60.36]",['Adventure'],['Family']
Gina Gershon,"[[28, 80, 878], [18, 10749], [18]]","['Face/Off', 'P.S. I Love You', 'Showgirls']","[38.627, 16.746, 26.291]",['Drama'],['Romance']
Cole Hauser,"[[28, 80, 53], [18], [53, 878, 28]]","['2 Fast 2 Furious', 'Good Will Hunting', 'Pitch Black']","[9.559, 59.811, 17.181]","['Action', 'Thriller']",['Science Fiction']
Tinto Brass,"[[18, 36, 10749], [18], [18, 10749]]","['Caligula', 'Paprika', 'The Key']","[69.71, 29.809, 42.592]",['Drama'],['Romance']
Elizabeth Lail,"[[27, 53], [27, 9648]]","['Countdown', ""Five Nights at Freddy's""]","[19.976, 2817.844]",['Horror'],['Mystery']
Sae Bom,"[[18, 10749], [10749], [18, 10749]]","['Sex Girl 12', ""Aunt's Temptation 3"", 'Hot Hair Salon']","[10.97, 19.813, 10.345]",['Romance'],['Romance']
Mila Kunis,"[[18, 53, 27], [35, 14], [35]]","['Black Swan', 'Ted', 'Bad Moms']","[39.482, 57.36, 21.997]",['Comedy'],['Comedy']
Tara Strong,[],[],[],[],[]
Vanessa Kirby,"[[28, 12, 35], [18, 10749], [18]]","['Fast & Furious Presents: Hobbs & Shaw', 'Me Before You', 'Pieces of a Woman']","[92.278, 141.627, 16.786]",['Drama'],['Romance']
Eva Mendes,"[[53, 28, 14], [35, 18, 10749], [28, 80, 53]]","['Ghost Rider', 'Hitch', '2 Fast 2 Furious']","[53.258, 25.515, 9.559]","['Thriller', 'Action']",['Romance']
Russell Crowe,"[[28, 18, 12], [18, 10749], [35, 80, 28]]","['Gladiator', 'A Beautiful Mind', 'The Nice Guys']","[78.587, 67.495, 30.342]","['Action', 'Drama']",['Romance']
Rosario Dawson,"[[18], [28, 12, 35, 878], [28, 53]]","['Seven Pounds', 'Men in Black II', 'Death Proof']","[25.073, 42.431, 22.865]",['Action'],['Science Fiction']
Aubrey Plaza,"[[27, 53, 878], [35], [35, 10749, 878]]","[""Child's Play"", 'Dirty Grandpa', 'Safety Not Guaranteed']","[31.221, 37.769, 11.156]","['Science Fiction', 'Comedy']",['Romance']
Jennifer Lawrence,"[[878, 12, 14], [12, 28, 878], [878, 12, 53]]","['The Hunger Games', 'The Hunger Games: Catching Fire', 'The Hunger Games: Mockingjay - Part 1']","[68.781, 111.167, 147.987]","['Science Fiction', 'Adventure']",['Science Fiction']
Sophia Di Martino,"[[35, 14, 10402, 10749]]",['Yesterday'],[25.937],"['Comedy', 'Fantasy', 'Music', 'Romance']",['Romance']
Kevin Bacon,"[[28, 878, 12], [80, 18, 53], [27, 28, 878]]","['X-Men: First Class', 'Sleepers', 'Tremors']","[2.382, 28.788, 29.172]","['Action', 'Science Fiction']",['Science Fiction']
Stephanie Beatriz,"[[16, 35, 10751, 14], [28, 12, 16, 35, 10751]]","['Encanto', 'The Lego Movie 2: The Second Part']","[239.832, 30.404]","['Animation', 'Comedy', 'Family']",['Family']
Gerard Butler,"[[28, 12, 10752], [28, 53], [14, 12, 16, 10751]]","['300', 'Olympus Has Fallen', 'How to Train Your Dragon']","[51.906, 45.193, 68.97]","['Action', 'Adventure']",['Family']
Yoo Jung,"[[18], [10749], [10749]]","[""Idol Seungha's R-Rated Film Shooting"", 'Busty Girlfriend', 'Young Sister-in-Law 5']","[24.581, 27.942, 9.111]",['Romance'],['Romance']
Isabelle Adjani,"[[27], [53, 27, 9648], [28, 53]]","['Possession', 'The Tenant', 'Subway']","[30.105, 14.423, 11.97]","['Horror', 'Thriller']",['Mystery']
Gillian Jacobs,"[[35, 10749], [27, 9648, 53]]","['Ibiza', 'Come Play']","[10.744, 15.681]","['Comedy', 'Romance', 'Horror', 'Mystery', 'Thriller']",['Mystery']
Phoebe Cates,"[[14, 27, 35], [35, 27, 14], [35, 14, 10751]]","['Gremlins', 'Gremlins 2: The New Batch', 'Drop Dead Fred']","[46.121, 31.828, 11.368]","['Fantasy', 'Comedy']",['Family']
Stephanie Nur,"[[35, 10749]]",['My Big Fat Greek Wedding 3'],[55.837],"['Comedy', 'Romance']",['Romance']
Christian Bale,"[[18, 28, 80, 53], [28, 80, 18, 53], [28, 80, 18]]","['The Dark Knight', 'The Dark Knight Rises', 'Batman Begins']","[127.121, 78.615, 71.415]","['Drama', 'Action', 'Crime']",['Crime']
Sam Elliott,"[[10402, 18, 10749], [53, 28, 14], [878, 12, 28]]","['A Star Is Born', 'Ghost Rider', 'Hulk']","[36.084, 53.258, 43.033]",['Action'],['Romance']
Rhys Ifans,"[[28, 12, 14], [12, 14], [28, 12, 53]]","['The Amazing Spider-Man', 'Harry Potter and the Deathly Hallows: Part 1', ""The King's Man""]","[90.379, 147.479, 92.924]",['Adventure'],['Action']
Benedict Cumberbatch,"[[28, 12, 14], [36, 18, 53, 10752], [14, 28, 12]]","['Doctor Strange', 'The Imitation Game', 'Doctor Strange in the Multiverse of Madness']","[75.069, 67.456, 153.681]","['Action', 'Adventure', 'Fantasy']",['War']
Christina Ricci,"[[14, 35, 10751], [18, 14, 53, 9648, 27], [14, 35, 10749]]","['Casper', 'Sleepy Hollow', 'Penelope']","[49.657, 43.931, 18.53]",['Fantasy'],['Family']
Channing Tatum,"[[878, 14, 28], [28, 35, 80], [28, 18, 53]]","['Jupiter Ascending', '21 Jump Street', 'White House Down']","[62.954, 28.157, 35.904]",['Action'],['Science Fiction']
