Actor Name,Popularity (%),Fame (%)
Morgan Freeman,98,86
Betty White,95,83
Robin Williams,96,83
Michael J. Fox,96,81
Denzel Washington,97,79
Keanu Reeves,95,79
Harrison Ford,95,78
Samuel L. Jackson,96,78
Sandra Bullock,94,77
Danny DeVito,95,75
Clint Eastwood,95,74
Tom Hanks,95,74
Ryan Reynolds,93,73
Anthony Hopkins,90,73
Al Pacino,93,73
James Earl Jones,90,73
Jack Nicholson,93,72
Bruce Willis,94,72
Sean Connery,91,72
Jackie Chan,97,72
Bruce Lee,97,72
Dustin Hoffman,90,71
Robert Downey Jr.,96,71
Matthew McConaughey,93,71
Julia Roberts,94,71
Matt Damon,94,71
Michael Keaton,92,71
Liam Neeson,90,70
Mark Wahlberg,93,70
Katharine Hepburn,88,70
Patrick Swayze,90,70
Steve Martin,90,70
Nicolas Cage,95,70
Dick Van Dyke,88,70
Robert De Niro,94,70
Christopher Walken,87,70
Leonardo DiCaprio,98,70
Audrey Hepburn,88,70
Tommy Lee Jones,90,69
Brad Pitt,96,69
Lucille Ball,91,69
Reese Witherspoon,93,69
Eddie Murphy,95,69
Jennifer Aniston,95,69
Forest Whitaker,87,69
Kathy Bates,88,69
Jeff Bridges,87,69
Kurt Russell,87,68
Laurence Fishburne,86,68
Tom Selleck,88,68
Danny Glover,89,68
Halle Berry,93,68
Jim Carrey,98,68
Judy Garland,88,68
Kevin Bacon,92,68
Paul Newman,85,68
Dwayne Johnson,95,68
Sally Field,83,68
Hugh Jackman,90,68
Carol Burnett,87,68
Sylvester Stallone,95,68
Michael Caine,86,68
Bill Murray,93,67
Antonio Banderas,88,67
Salma Hayek,87,67
Adam Sandler,94,67
Dan Aykroyd,88,67
Marilyn Monroe,97,67
Jennifer Garner,89,67
George Clooney,96,67
Andy Griffith,87,67
Vin Diesel,94,67
Donald Sutherland,85,67
Kevin Costner,92,67
Gene Wilder,85,66
John Goodman,89,66
Patrick Stewart,88,66
Meryl Streep,92,66
Beatrice Arthur,87,66
Sam Elliott,85,66
Julie Andrews,88,66
Michelle Pfeiffer,91,66
Chevy Chase,91,66
Sidney Poitier,82,66
Mary Tyler Moore,89,66
Marlon Brando,87,66
John Ritter,84,66
Gene Hackman,85,65
Kate Winslet,89,65
Kate Hudson,90,65
Grace Kelly,83,65
Nicole Kidman,94,65
Bette Davis,86,65
Goldie Hawn,86,65
Jennifer Lawrence,92,65
Jamie Lee Curtis,91,65
Anne Hathaway,90,65
Natalie Portman,89,65
Joe Pesci,85,65
Sigourney Weaver,86,65
Woody Harrelson,85,65
Scarlett Johansson,92,65
Ben Stiller,92,65
Chuck Norris,96,65
Olivia Newton-John,87,64
Emma Watson,90,64
Kirk Douglas,85,64
Henry Winkler,86,64
Will Ferrell,94,64
Johnny Depp,98,64
Winona Ryder,87,64
Pierce Brosnan,90,64
Mr. T,92,64
Ryan Gosling,91,64
Terry Crews,84,64
Sofía Vergara,84,64
Jamie Foxx,95,64
Bradley Cooper,86,64
Christina Applegate,89,64
Jodie Foster,92,64
Charlie Chaplin,93,63
Jason Momoa,88,63
Sophia Loren,84,63
Billy Crystal,85,63
Vince Vaughn,89,63
Shirley Temple,91,63
John Travolta,92,63
Kevin Hart,90,63
Christopher Lloyd,85,63
Diane Keaton,88,63
William Shatner,87,63
Leonard Nimoy,81,63
Meg Ryan,86,63
Martin Short,86,63
Elizabeth Montgomery,80,63
Drew Barrymore,90,62
Steve McQueen,83,62
Brendan Fraser,84,62
Heath Ledger,88,62
Helen Hunt,85,62
Catherine Zeta-Jones,84,62
Dennis Quaid,89,62
Doris Roberts,82,62
Adam West,87,62
Jim Belushi,87,62
Demi Moore,91,62
Cameron Diaz,93,62
Burt Reynolds,88,62
Angelina Jolie,95,62
Jeff Goldblum,84,62
Emma Stone,89,62
Jack Black,89,62
Jason Bateman,84,62
Tim Allen,92,61
Carrie Fisher,86,61
Eva Longoria,89,61
Richard Pryor,84,61
Uma Thurman,88,61
Kiefer Sutherland,88,61
Steve Carell,86,61
John Candy,84,61
Richard Gere,88,61
Ted Danson,86,61
Richard Dreyfuss,84,61
Leslie Nielsen,82,61
Farrah Fawcett,87,61
Russell Crowe,89,61
Doris Day,83,61
Ben Affleck,95,61
Robert Duvall,82,61
Anjelica Huston,78,61
Lucy Liu,85,61
Don Knotts,81,61
Michael Douglas,86,60
Tobey Maguire,88,60
Val Kilmer,85,60
Neil Patrick Harris,87,60
Christopher Reeve,89,60
Chris Rock,94,60
Jennifer Love Hewitt,88,60
Martin Sheen,87,60
Daniel Craig,81,60
Elizabeth Taylor,87,60
Bob Hope,80,60
Renee Zellweger,87,60
Alan Alda,81,60
Queen Latifah,92,60
Mickey Rooney,87,60
Jack Lemmon,80,60
Raquel Welch,83,60
Jeremy Renner,83,59
Hugh Laurie,79,59
Robert Redford,85,59
Chris Hemsworth,84,59
Danny Trejo,79,59
Humphrey Bogart,83,59
Mike Myers,86,59
Jason Statham,78,59
Owen Wilson,88,59
Matthew Broderick,84,59
Christian Bale,85,59
Ice-T,91,59
Marisa Tomei,78,59
Mel Gibson,95,59
John Wayne,92,59
Chris Farley,87,59
Matt Dillon,85,59
Bob Newhart,82,59
John Stamos,87,59
Tina Fey,86,59
Tim Conway,81,59
Ray Liotta,80,59
Channing Tatum,90,59
Cary Grant,79,59
Colin Farrell,88,59
Dakota Fanning,87,59
Paul Rudd,84,59
Rodney Dangerfield,84,59
Glenn Close,86,58
Michael Landon,80,58
James Garner,76,58
Debbie Reynolds,83,58
Rob Lowe,88,58
Vincent Price,74,58
James Stewart,77,58
Hugh Grant,90,58
George Burns,82,58
Wesley Snipes,88,58
Daniel Radcliffe,85,58
Angela Lansbury,82,58
Faye Dunaway,81,58
William H. Macy,81,58
Geena Davis,81,58
Kirsten Dunst,83,58
Tony Danza,88,58
Gary Sinise,77,58
Charlton Heston,81,58
Molly Ringwald,86,58
Walter Matthau,72,58
Penelope Cruz,86,58
Julia Louis-Dreyfus,83,58
John Cusack,86,58
Christian Slater,82,58
Julianne Moore,80,58
Idris Elba,73,58
Michael B. Jordan,85,58
Tracy Morgan,84,58
Willem Dafoe,77,58
Florence Henderson,80,58
Ethan Hawke,86,57
Dennis Hopper,81,57
Brooke Shields,88,57
Clark Gable,80,57
"Louis Gossett, Jr.",75,57
Mark Harmon,78,57
Ava Gardner,77,57
George Lopez,94,57
George Carlin,82,57
John Belushi,85,57
Elijah Wood,85,57
Peter Falk,74,57
Mark Hamill,83,57
Lynda Carter,78,57
Kelsey Grammer,86,57
Edward Norton,80,57
Emma Thompson,80,57
Angela Bassett,79,57
Jessica Alba,87,57
Lily Tomlin,77,57
Emily Blunt,80,57
Tom Cruise,97,57
Ray Romano,84,56
Jerry Seinfeld,94,56
"Cuba Gooding, Jr.",86,56
Sissy Spacek,81,56
Macaulay Culkin,92,56
James Dean,86,56
Dave Chappelle,88,56
Dom DeLuise,79,56
Natalie Wood,80,56
Christopher Lee,74,56
Lou Costello,80,56
Billy Bob Thornton,85,56
Christina Ricci,80,56
Chadwick Boseman,77,56
Sam Waterston,75,56
Chris Pratt,84,56
Emilio Estevez,82,56
Will Smith,97,56
Fran Drescher,83,56
Candice Bergen,82,56
Martin Lawrence,85,56
Julia Stiles,80,56
Roger Moore,80,56
Charlize Theron,81,56
Redd Foxx,76,56
Jackie Gleason,81,56
Valerie Bertinelli,80,56
Liam Hemsworth,84,56
Phyllis Diller,78,55
Melissa McCarthy,86,55
Bob Saget,90,55
Rita Hayworth,77,55
James Caan,78,55
Fred Astaire,81,55
Jean-Claude Van Damme,91,55
Sharon Stone,86,55
George Takei,79,55
"Damon Wayans, Jr.",83,55
Barbara Eden,75,55
Charles Bronson,80,55
Susan Sarandon,84,55
Kristen Bell,83,55
Mila Kunis,82,55
Henry Fonda,79,55
Joan Cusack,83,55
Jessica Biel,85,55
Matt LeBlanc,84,55
Judi Dench,73,55
Jason Alexander,82,55
Ed Asner,79,55
Rhea Perlman,77,55
Gilda Radner,74,55
Sean Penn,90,55
Sarah Jessica Parker,93,55
Christopher Plummer,75,55
Ed Harris,75,55
Kim Basinger,86,55
Jerry Stiller,83,55
Ian McKellen,74,55
Cate Blanchett,79,55
Don Rickles,80,55
Sherman Hemsley,76,55
Al Lewis,74,55
Lauren Bacall,76,55
Bill Paxton,77,55
Kirstie Alley,89,54
Debra Messing,81,54
Shirley MacLaine,81,54
Luke Perry,86,54
Anna Kendrick,78,54
Holly Hunter,77,54
Patrick Dempsey,83,54
Ewan McGregor,78,54
Ernest Borgnine,74,54
Bernie Mac,84,54
Desi Arnaz,79,54
Courteney Cox,87,54
Hilary Swank,81,54
Eugene Levy,76,54
Tommy Chong,78,54
Matthew Perry,89,54
Lisa Kudrow,83,54
Helen Mirren,74,54
Gerard Butler,75,54
Marlon Wayans,84,54
Jude Law,84,54
Jerry Lewis,85,54
Mandy Moore,80,54
Ashton Kutcher,91,54
