name,genre_mean_weighted,number_of_movies
Gary Oldman,['Crime'],32.0
Jason Statham,['Science Fiction'],20.0
Jackie Chan,['Crime'],36.0
Scarlett Johansson,['Science Fiction'],23.0
Josh Hutcherson,['Science Fiction'],13.0
Brie Larson,['Science Fiction'],5.0
Nicolas Cage,['Family'],51.0
Michael Fassbender,['Mystery'],11.0
Kevin Costner,['Science Fiction'],30.0
Jennifer Connelly,['Romance'],25.0
Emily Blunt,['Science Fiction'],14.0
Anne Hathaway,['Romance'],14.0
Owen Wilson,['Family'],33.0
Matthew Lillard,['Mystery'],22.0
Emma Stone,['Romance'],11.0
Matthew Perry,['Romance'],11.0
Morgan Freeman,['Mystery'],47.0
Liam Neeson,['War'],48.0
Cillian Murphy,['Science Fiction'],13.0
Lena Headey,['War'],10.0
Kelly Reilly,['Mystery'],7.0
Ryan Reynolds,['Science Fiction'],18.0
Hayley Atwell,['Science Fiction'],4.0
Mark Hamill,['Science Fiction'],16.0
Will Smith,['Science Fiction'],19.0
Zoe Saldaña,['Science Fiction'],16.0
Pedro Pascal,['Crime'],1.0
Mel Gibson,['War'],32.0
Gal Gadot,['Action'],3.0
Kristen Stewart,['Romance'],21.0
Denzel Washington,['Science Fiction'],34.0
Joseph Gordon-Levitt,['Romance'],20.0
Val Kilmer,['Romance'],33.0
Nicole Kidman,['Mystery'],29.0
Vin Diesel,['Crime'],14.0
Matt Damon,['Mystery'],43.0
Elizabeth Mitchell,['Family'],6.0
Rachel Griffiths,['War'],9.0
Taylor Swift,['Family'],3.0
James Spader,['Science Fiction'],19.0
John Krasinski,['War'],18.0
Emma Watson,['Family'],10.0
Alan Ritchson,['Family'],3.0
Daniel Radcliffe,['Fantasy'],12.0
Rachael Harris,['Family'],16.0
Judd Nelson,['TV Movie'],13.0
Dakota Fanning,['Family'],14.0
Annette Bening,['Science Fiction'],21.0
Keanu Reeves,['Science Fiction'],32.0
Bruce Dern,['Mystery'],27.0
January Jones,['Romance'],11.0
Colin Farrell,['Romance'],25.0
Harrison Ford,['Science Fiction'],45.0
Elizabeth Olsen,['Science Fiction'],5.0
Sylvester Stallone,['Romance'],49.0
Rupert Friend,['War'],6.0
Charlize Theron,['Science Fiction'],24.0
Diane Lane,['Family'],24.0
Tom Hanks,['Family'],38.0
Tyrese Gibson,['Science Fiction'],8.0
Katheryn Winnick,['Science Fiction'],9.0
Hailee Steinfeld,['Science Fiction'],2.0
Leonardo DiCaprio,['Romance'],15.0
Tom Hiddleston,['Science Fiction'],3.0
Ryan Gosling,['Romance'],15.0
Maggie Lawson,['Mystery'],2.0
John Travolta,['Family'],35.0
Amanda Seyfried,['War'],7.0
Tom Holland,['Science Fiction'],2.0
Tom Hardy,['Science Fiction'],15.0
Josh Holloway,['Thriller'],2.0
Timothy Olyphant,['Mystery'],19.0
