name,genre_mean_weighted,number_of_movies
Austin Butler,['Music'],1.0
Carla Gugino,['Family'],25.0
Pierce Brosnan,['Romance'],28.0
Clancy Brown,['Family'],23.0
Gina Gershon,['Romance'],24.0
Cole Hauser,['Science Fiction'],13.0
Mila Kunis,['Comedy'],12.0
Tara Strong,[],12.0
Eva Mendes,['Romance'],19.0
Russell Crowe,['Romance'],19.0
Rosario Dawson,['Science Fiction'],22.0
Aubrey Plaza,['Romance'],3.0
Jennifer Lawrence,['Science Fiction'],5.0
Kevin Bacon,['Science Fiction'],43.0
Gerard Butler,['Family'],21.0
Isabelle Adjani,['Mystery'],11.0
Gillian Jacobs,['Mystery'],4.0
Christian Bale,['Crime'],26.0
Sam Elliott,['Romance'],16.0
Rhys Ifans,['Action'],17.0
Benedict Cumberbatch,['War'],8.0
Christina Ricci,['Family'],23.0
Channing Tatum,['Science Fiction'],16.0
Ashley Jensen,['Family'],5.0
Patrick Wilson,['Thriller'],14.0
Sydney Sweeney,['Thriller'],2.0
Adam Sandler,['Family'],32.0
Rick Hoffman,['Science Fiction'],9.0
Mads Mikkelsen,['Action'],11.0
Evangeline Lilly,['Science Fiction'],6.0
Leslie Mann,['Family'],15.0
Johnny Depp,['Family'],29.0
Willem Dafoe,['Family'],46.0
Alexandra Daddario,['Family'],4.0
Paul Giamatti,['Romance'],36.0
Eva Green,['War'],8.0
Joey King,['Romance'],7.0
Tilda Swinton,['Science Fiction'],17.0
Frank Welker,['Family'],92.0
Kate Beckinsale,['Thriller'],17.0
Idris Elba,['Family'],11.0
Antonio Banderas,['Family'],37.0
Michael Sheen,['Romance'],20.0
Tobey Maguire,['Action'],15.0
Zach Galifianakis,['Comedy'],17.0
Will Ferrell,['Family'],27.0
Keira Knightley,['War'],19.0
María Valverde,['Romance'],1.0
Bruce Willis,['Mystery'],57.0
Michael Keaton,['Science Fiction'],31.0
Tom Cruise,['Mystery'],30.0
Lacey Chabert,['Family'],9.0
Jeremy Piven,['Family'],33.0
Clint Eastwood,['Western'],46.0
Hayden Christensen,['Science Fiction'],11.0
Samuel L. Jackson,['Mystery'],66.0
Thomas Lennon,['Romance'],21.0
Tina Majorino,['Family'],5.0
Natalie Portman,['Science Fiction'],22.0
Asa Butterfield,['War'],5.0
Elisha Cuthbert,['Mystery'],4.0
Famke Janssen,['Thriller'],18.0
Travis Fimmel,['War'],3.0
Henry Winkler,['Music'],15.0
Vera Farmiga,['Mystery'],15.0
Katie McGrath,['TV Movie'],1.0
Courteney Cox,['Mystery'],13.0
Charlie Hunnam,['Science Fiction'],5.0
Ray Liotta,['Mystery'],29.0
Daniel Craig,['Mystery'],20.0
Kristen Wiig,['Family'],16.0
Dakota Johnson,['Romance'],4.0
Mimi Rogers,['Science Fiction'],19.0
Chris Hemsworth,['Science Fiction'],3.0
Chloë Grace Moretz,['Science Fiction'],9.0
Steven Seagal,['Thriller'],30.0
Chris Pine,['Science Fiction'],9.0
Laurence Fishburne,['Science Fiction'],33.0
Kathryn Newton,['Science Fiction'],2.0
Téa Leoni,['Science Fiction'],14.0
Uma Thurman,['Crime'],29.0
Jamie Dornan,['Romance'],1.0
Colleen Camp,['War'],37.0
John Cena,['Family'],3.0
Dolph Lundgren,['Thriller'],19.0
Rachel Weisz,['Action'],27.0
John Cusack,['Mystery'],38.0
Ashley Johnson,['Romance'],9.0
Bobby Cannavale,['Science Fiction'],12.0
Orlando Bloom,['Action'],11.0
Chris Tucker,['Romance'],10.0
Bella Thorne,['Romance'],2.0
Danny DeVito,['Family'],43.0
Robert Wagner,['Mystery'],22.0
Shea Whigham,['Romance'],15.0
Anna Camp,['Music'],2.0
Michael Cera,['Romance'],9.0
Jenna Coleman,['Romance'],1.0
Richard Gere,['Romance'],32.0
Jack Black,['Family'],30.0
Margot Robbie,['Crime'],1.0
Alicia Silverstone,['Romance'],15.0
Jason Bateman,['Family'],20.0
Kenneth Branagh,['Mystery'],15.0
Alec Baldwin,['Family'],46.0
Jason Momoa,['Action'],4.0
Jeri Ryan,[],3.0
Kaitlyn Dever,['Science Fiction'],2.0
J.K. Simmons,['Music'],33.0
Kate Siegel,['Thriller'],1.0
Harvey Keitel,['Crime'],38.0
Scott Glenn,['Mystery'],30.0
Fred Henderson,['Mystery'],6.0
Giulio Berruti,['Romance'],1.0
Neal McDonough,['Family'],17.0
Monica Bellucci,['Thriller'],15.0
James Earl Jones,['Family'],32.0
Dave Bautista,['Science Fiction'],3.0
Aaron Eckhart,['Science Fiction'],21.0
Josh Hartnett,['War'],18.0
Paul Rudd,['Science Fiction'],29.0
Julianne Moore,['Science Fiction'],36.0
Demi Moore,['Romance'],29.0
Alyssa Milano,['Family'],8.0
Ralph Fiennes,['War'],27.0
Ron Livingston,['Science Fiction'],10.0
Steve Zahn,['War'],31.0
Robert Pattinson,['Romance'],10.0
Elsa Pataky,['Crime'],9.0
Ian McShane,['Thriller'],14.0
Stephen Root,['Family'],38.0
Katherine Heigl,['Romance'],13.0
Michael Gambon,['Fantasy'],32.0
Brittany Murphy,['Family'],17.0
Katie Parker,['Mystery'],1.0
Denise Richards,['Science Fiction'],12.0
Kate Mara,['Science Fiction'],10.0
Lance Reddick,['Crime'],4.0
Dan Stevens,['Family'],1.0
Kaya Scodelario,['Mystery'],1.0
Tom Selleck,['Romance'],13.0
Elizabeth Banks,['Family'],24.0
Mark Wahlberg,['Science Fiction'],24.0
Hiroyuki Sanada,['Mystery'],7.0
Fisher Stevens,['Family'],22.0
Mayumi Tanaka,['Family'],12.0
Alan Rickman,['Romance'],25.0
Rosamund Pike,['Mystery'],10.0
Morena Baccarin,['Action'],3.0
Jennifer Garner,['Romance'],14.0
Shailene Woodley,['Romance'],3.0
Andy Samberg,['Family'],9.0
Tom Kenny,['Family'],18.0
Andrew Garfield,['War'],5.0
Mary Elizabeth Winstead,['Romance'],7.0
Jon Bernthal,['Crime'],5.0
Kate Winslet,['Romance'],18.0
Robert De Niro,['Crime'],60.0
Sigourney Weaver,['Science Fiction'],36.0
Annie Potts,['Family'],9.0
Anna Kendrick,['Music'],8.0
Ernie Hudson,['Comedy'],24.0
Paul Walker,['Crime'],14.0
Robert Downey Jr.,['Science Fiction'],38.0
Alexander Skarsgård,['Science Fiction'],4.0
Krista Allen,['Mystery'],5.0
Selma Blair,['Romance'],14.0
Jennifer Morrison,['Action'],11.0
Gina Rodriguez,['Romance'],1.0
Maya Rudolph,['Family'],13.0
Robert Redford,['Science Fiction'],29.0
Robert Duvall,['Science Fiction'],45.0
Jon Favreau,['Science Fiction'],23.0
Adèle Exarchopoulos,['Romance'],1.0
Imelda Staunton,['Family'],16.0
Anthony Hopkins,['Action'],33.0
Miranda Cosgrove,['Family'],2.0
Dennis Quaid,['Family'],43.0
Scottie Thompson,['Science Fiction'],2.0
Glenn Close,['Mystery'],24.0
April Bowlby,[],2.0
Will Poulter,['Mystery'],1.0
Joel Kinnaman,['Science Fiction'],2.0
Brooke Smith,['Science Fiction'],9.0
Oscar Isaac,['Science Fiction'],10.0
Sherilyn Fenn,['Romance'],11.0
Sandra Bullock,['Family'],29.0
Bill Burr,['Comedy'],1.0
Jodie Foster,['Crime'],21.0
Jennifer Love Hewitt,['Mystery'],11.0
Phil LaMarr,['Family'],15.0
Bill Skarsgård,['Crime'],3.0
Greta Scacchi,['Mystery'],12.0
Lindy Booth,['Thriller'],5.0
Mykelti Williamson,['Romance'],25.0
Natalie Dormer,['Mystery'],5.0
Dwayne Johnson,['Thriller'],20.0
Aaron Taylor-Johnson,['Science Fiction'],8.0
Rachel McAdams,['Romance'],12.0
Tommy Lee Jones,['Science Fiction'],34.0
Piper Perabo,['Mystery'],14.0
Kim Sun-young,['Romance'],1.0
Debby Ryan,['Family'],1.0
Kate Hudson,['Romance'],17.0
Chris Pratt,['Science Fiction'],8.0
Jim Belushi,['Romance'],26.0
Benedict Wong,['Science Fiction'],7.0
Peter Weller,['Mystery'],14.0
Abigail Spencer,['Family'],4.0
Wallace Shawn,['Family'],37.0
Megan Fox,['Science Fiction'],6.0
George Clooney,['Science Fiction'],33.0
Diane Kruger,['War'],14.0
Helen Mirren,['Family'],23.0
Sean Bean,['Science Fiction'],20.0
Heather Graham,['Mystery'],24.0
Cate Blanchett,['Family'],21.0
Martin Scorsese,['Mystery'],14.0
Anthony Mackie,['Science Fiction'],19.0
Hugh Laurie,['Family'],13.0
Malcolm McDowell,['Romance'],28.0
Amy Smart,['Science Fiction'],18.0
Victoria Justice,['Romance'],3.0
Emma Thompson,['Family'],21.0
Leslie Nielsen,['Crime'],28.0
Neve Campbell,['Mystery'],17.0
Daryl Hannah,['Science Fiction'],24.0
Rami Malek,['Music'],4.0
Keri Russell,['Science Fiction'],8.0
Jason Biggs,['Romance'],11.0
Sean Astin,['Action'],17.0
Marina Sirtis,['Science Fiction'],10.0
Alice Eve,['Romance'],7.0
Vince Vaughn,['War'],27.0
Toni Collette,['Mystery'],19.0
Alexandra Breckenridge,['Romance'],2.0
Jeffrey Dean Morgan,['Mystery'],11.0
Holly Hunter,['Family'],21.0
Lizzy Caplan,['Science Fiction'],8.0
Jeremy Irons,['Family'],19.0
Ethan Hawke,['Romance'],26.0
Kim Kardashian,['Crime'],1.0
Michael Ironside,['Romance'],30.0
Steve Martin,['Family'],33.0
Sarah Shahi,['Science Fiction'],7.0
Nana Mizuki,['Romance'],3.0
Tom Ellis,['Romance'],5.0
Tim Curry,['Mystery'],29.0
Bradley Cooper,['War'],15.0
Christopher Walken,['Crime'],49.0
Bobby Lee,['Science Fiction'],5.0
Danny Trejo,['Thriller'],50.0
Erin Moriarty,['Thriller'],1.0
Tim Matheson,['Romance'],13.0
Winona Ryder,['Romance'],30.0
Peter Gallagher,['Romance'],19.0
Ali Larter,['Mystery'],10.0
Lily James,['Romance'],1.0
Tania Raymonde,['Thriller'],3.0
Margaret Colin,['Science Fiction'],12.0
Gemma Arterton,['Action'],8.0
Mark Dacascos,['Crime'],9.0
Alicia Vikander,['Science Fiction'],1.0
Amanda Peet,['Mystery'],22.0
Katrina Law,['TV Movie'],3.0
Jenny Slate,['Family'],2.0
Lauren German,['Romance'],6.0
Daniel Kaluuya,['Mystery'],2.0
Milla Jovovich,['Science Fiction'],19.0
Steve Carell,['Family'],19.0
Liv Tyler,['Mystery'],18.0
Kevin Hart,['Mystery'],13.0
Matt Bomer,['Science Fiction'],3.0
Hugh Jackman,['Science Fiction'],19.0
Mary Lynn Rajskub,['Romance'],12.0
Jim Carrey,['Romance'],26.0
Bruce Greenwood,['Mystery'],33.0
Sarah Gadon,['Mystery'],5.0
Jennifer Beals,['Romance'],13.0
Lucy Hale,['Family'],4.0
Chris Evans,['Science Fiction'],13.0
Joe Pesci,['Family'],18.0
Jason Ritter,['Family'],6.0
Peter Stormare,['Crime'],32.0
Frank Grillo,['Science Fiction'],10.0
Freddie Highmore,['Family'],10.0
Zooey Deschanel,['Romance'],18.0
Eric Dane,['Family'],3.0
Roselyn Sánchez,['Family'],5.0
Rose Byrne,['Thriller'],12.0
Patrick Stewart,['Science Fiction'],22.0
Ron Perlman,['Family'],31.0
Michelle Yeoh,['Romance'],15.0
David Threlfall,['War'],7.0
Amanda Bynes,['Romance'],7.0
Ian Somerhalder,[],4.0
Antony Starr,['Horror'],2.0
Sharon Stone,['Family'],28.0
James Brolin,['Family'],16.0
Simon Helberg,['Romance'],8.0
Hugo Weaving,['Science Fiction'],16.0
Josh Brolin,['Crime'],20.0
Jonathan Taylor Thomas,['Family'],4.0
Jennifer Aniston,['Crime'],20.0
Woody Harrelson,['Science Fiction'],40.0
Tom Arnold,['Romance'],20.0
Rainn Wilson,['Science Fiction'],13.0
Brittany Snow,['Music'],4.0
Trisha Krishnan,['Romance'],6.0
Meagan Good,['Crime'],18.0
Yuichi Nakamura,['Action'],4.0
Kyra Sedgwick,['Family'],13.0
Dawn Olivieri,['Thriller'],1.0
Christopher Meloni,['Mystery'],10.0
Jason Lee,['Family'],20.0
Paul Anderson,['Mystery'],2.0
Kenan Thompson,['Family'],15.0
Chris Cooper,['Family'],28.0
Shantel VanSanten,['Mystery'],1.0
Dane DeHaan,['Mystery'],3.0
Mandy Moore,['Family'],13.0
Guy Pearce,['Mystery'],21.0
Titus Welliver,['Science Fiction'],11.0
Wendie Malick,['Family'],13.0
Clint Howard,['Family'],41.0
Dermot Mulroney,['Mystery'],28.0
Michael Caine,['Science Fiction'],45.0
S. J. Suryah,['Family'],2.0
Rupert Grint,['Fantasy'],8.0
Jenna Fischer,['Romance'],6.0
Mena Suvari,['Romance'],16.0
Katie Aselton,['Mystery'],2.0
Gillian Anderson,['Crime'],9.0
Sam Worthington,['War'],9.0
Patricia Arquette,['Thriller'],17.0
Ikue Otani,['Family'],8.0
Giancarlo Esposito,['Science Fiction'],26.0
Brad Pitt,['War'],37.0
Mackenzie Foy,['Family'],1.0
Henry Cavill,['Science Fiction'],7.0
Akira Ishida,[],2.0
Alison Brie,['Family'],3.0
Maggie Q,['Mystery'],9.0
Sarah Hyland,['TV Movie'],4.0
Abraham Benrubi,['Family'],11.0
Ben Kingsley,['War'],34.0
Ryan Phillippe,['Romance'],20.0
Kristanna Loken,['Science Fiction'],4.0
Chevy Chase,['Comedy'],21.0
Susan Sarandon,['Science Fiction'],42.0
Amber Heard,['Mystery'],12.0
Jason Sudeikis,['Family'],11.0
Andrea Riseborough,['Mystery'],5.0
Aidan Gillen,['Music'],3.0
Naomi Watts,['Mystery'],21.0
Jude Law,['Mystery'],26.0
Jessica Lange,['Romance'],20.0
Jeff Bridges,['Science Fiction'],35.0
Mark Ruffalo,['Mystery'],21.0
Michael Ealy,['Action'],11.0
Emma Roberts,['Mystery'],15.0
Natalya Rudakova,['Romance'],1.0
Pauley Perrette,['Family'],3.0
Alyson Hannigan,['Romance'],9.0
Alia Shawkat,['Romance'],10.0
Brian Stepanek,['Family'],10.0
William Fichtner,['Science Fiction'],26.0
Peter Ustinov,['War'],13.0
Justin Long,['Romance'],28.0
Nicole Sullivan,['Family'],6.0
Allison Janney,['Family'],28.0
Ashton Kutcher,['Romance'],17.0
Jean-Claude Van Damme,['Science Fiction'],32.0
Jane Fonda,['Romance'],16.0
Rhona Mitra,['Mystery'],11.0
Ornella Muti,['Science Fiction'],5.0
Tom Berenger,['War'],26.0
Miranda Richardson,['Family'],20.0
Jake Gyllenhaal,['Mystery'],20.0
Thomas Brodie-Sangster,['Mystery'],6.0
Cary Elwes,['Mystery'],26.0
Danny McBride,['Mystery'],16.0
Marisa Tomei,['Romance'],26.0
Alex Hassell,['War'],1.0
Amy Adams,['Mystery'],16.0
Michelle Trachtenberg,['Romance'],9.0
Melanie Lynskey,['Drama'],15.0
Richard Harmon,['Romance'],3.0
Jamie Foxx,['Family'],21.0
Steven Williams,['Crime'],9.0
Linda Cardellini,['Family'],12.0
John Goodman,['Family'],49.0
Sophie Marceau,['War'],10.0
Julianna Margulies,['Mystery'],7.0
Martin Lawrence,['Family'],19.0
Lauren Cohan,['Mystery'],2.0
Stellan Skarsgård,['Action'],28.0
Devon Bostick,['Family'],10.0
Paul Dano,['Mystery'],14.0
Bill Pullman,['Mystery'],32.0
Halle Berry,['Mystery'],26.0
Victor Webster,['Action'],5.0
Melissa Sue Anderson,['Mystery'],1.0
Grace Park,['Mystery'],2.0
Angela Bassett,['Science Fiction'],22.0
Chiwetel Ejiofor,['Family'],11.0
Luke Wilson,['Romance'],30.0
Jeremy Sisto,['Family'],16.0
Viggo Mortensen,['Family'],23.0
David Thewlis,['Romance'],22.0
Isla Fisher,['Family'],13.0
Golshifteh Farahani,['Thriller'],2.0
Javier Bardem,['Thriller'],15.0
Toby Jones,['Science Fiction'],24.0
Emma Myers,['TV Movie'],1.0
Dulé Hill,['Action'],7.0
Andrea Brooks,['Family'],2.0
Devon Sawa,['War'],9.0
Billy Crudup,['Mystery'],12.0
Evan Ellingson,['Drama'],1.0
Gil Bellows,['Crime'],10.0
Theo James,['Mystery'],2.0
David Rasche,['Science Fiction'],17.0
Cobie Smulders,['Science Fiction'],3.0
Oliver Platt,['Romance'],36.0
Marlon Brando,['Romance'],17.0
Teyonah Parris,['Mystery'],1.0
Shu Qi,['Thriller'],7.0
Matthew McConaughey,['Family'],23.0
Jeremy Allen White,['Comedy'],1.0
Benicio del Toro,['Crime'],18.0
Sienna Miller,['War'],7.0
John Malkovich,['Thriller'],31.0
Nina Dobrev,['Romance'],4.0
Sarah Michelle Gellar,['Mystery'],15.0
Joel McHale,['Family'],9.0
Hank Azaria,['Family'],21.0
Maria Bello,['Mystery'],20.0
Christina Hendricks,['Family'],5.0
Steve Harvey,['Family'],5.0
Jessica Alba,['Science Fiction'],21.0
Brendan Penny,['Family'],5.0
Juno Temple,['Family'],15.0
Timothy Spall,['War'],22.0
Wes Anderson,['Family'],2.0
Adrien Brody,['War'],22.0
Emilio Estevez,['Family'],20.0
Jeremy Shada,['Comedy'],4.0
Jesse Plemons,['Mystery'],7.0
Tim Allen,['Family'],18.0
Mary Steenburgen,['Romance'],25.0
Beau Bridges,['Romance'],20.0
Sam Neill,['Science Fiction'],29.0
Skeet Ulrich,['Mystery'],10.0
Kathryn Hahn,['Crime'],12.0
B.J. Novak,['War'],6.0
Zac Efron,['Romance'],10.0
Helen Hunt,['Romance'],14.0
Troy Baker,['Family'],1.0
Tessa Thompson,['Science Fiction'],2.0
Alain Delon,['Romance'],5.0
Holt McCallany,['Crime'],16.0
Stanley Tucci,['Romance'],41.0
Cam Gigandet,['Romance'],8.0
Eric Roberts,['Thriller'],25.0
Drew Barrymore,['Family'],36.0
Jensen Ackles,['Mystery'],2.0
Angelina Jolie,['Family'],27.0
Elizabeth Perkins,['Family'],16.0
Paul Bettany,['Science Fiction'],15.0
Roman Polanski,['War'],7.0
Burt Reynolds,['Family'],39.0
Julie Andrews,['Family'],14.0
Don Johnson,['Mystery'],13.0
Jimmi Simpson,['Thriller'],7.0
Inbar Lavi,['Action'],1.0
Peter Coyote,['Romance'],18.0
Brett Cullen,['Crime'],14.0
Martin Freeman,['Action'],8.0
Nick Jonas,['Comedy'],1.0
Catherine Keener,['Family'],26.0
Donnie Wahlberg,['Mystery'],10.0
Christine Baranski,['Family'],18.0
Deepika Padukone,['Romance'],9.0
Jack Quaid,['Science Fiction'],1.0
Jason Isaacs,['Family'],21.0
Gabrielle Union,['Romance'],19.0
Anthony Edwards,['Romance'],16.0
Jennifer Hale,['Family'],8.0
Lyndsy Fonseca,['Romance'],2.0
Indira Varma,['Action'],5.0
Morgan Fairchild,['TV Movie'],10.0
Troy Garity,['Science Fiction'],10.0
Eva Longoria,['Romance'],6.0
Eric Winter,['Romance'],2.0
Annabelle Wallis,['Mystery'],3.0
George O. Gore II,['Mystery'],3.0
James Remar,['Family'],33.0
Julie Bowen,['Crime'],8.0
Giovanni Ribisi,['Romance'],24.0
Rip Torn,['Science Fiction'],21.0
Ming-Na Wen,['Family'],7.0
Eric Bana,['War'],10.0
Esai Morales,['Thriller'],11.0
Miranda Otto,['Science Fiction'],5.0
Diego Klattenhoff,['Science Fiction'],5.0
Frances Fisher,['Romance'],19.0
Dan Aykroyd,['Music'],40.0
Kiele Sanchez,['Mystery'],3.0
Tatiana Maslany,['Drama'],7.0
Garrett Hedlund,['War'],8.0
Adrianne Palicki,['Science Fiction'],3.0
Billy Bob Thornton,['Science Fiction'],33.0
Torrey DeVitto,['Mystery'],1.0
Kristen Bell,['Family'],14.0
Anna Popplewell,['Family'],5.0
Bryan Cranston,['Crime'],14.0
Miles Teller,['Music'],2.0
Alona Tal,['Crime'],2.0
Julie Benz,['War'],9.0
Tim Daly,['Family'],8.0
Carmen Ejogo,['Mystery'],9.0
Lucy Liu,['Family'],19.0
Jeffrey Wright,['Mystery'],18.0
Mickey Rourke,['Romance'],33.0
Norman Reedus,['Thriller'],8.0
Paget Brewster,['Science Fiction'],5.0
Nick Nolte,['Crime'],40.0
Julia Stiles,['Romance'],17.0
David Bowie,['Mystery'],8.0
Ashley Judd,['Family'],18.0
Dana Delany,['Mystery'],11.0
Milo Ventimiglia,['Family'],6.0
Larry the Cable Guy,['Family'],3.0
Brendan Fraser,['Family'],26.0
Evan Peters,['Science Fiction'],5.0
Cara Delevingne,['Romance'],1.0
Alexis Bledel,['TV Movie'],10.0
James Marsden,['Family'],19.0
Catherine Deneuve,['Mystery'],16.0
Michael Shannon,['Romance'],23.0
Clémence Poésy,['Adventure'],6.0
Jason Alexander,['Romance'],16.0
Frankie Faison,['Romance'],26.0
Nicholas Hoult,['Romance'],6.0
Kate Walsh,['Action'],7.0
Jennifer Coolidge,['Romance'],25.0
Kelly Hu,['Crime'],12.0
Karl Urban,['Science Fiction'],7.0
Shohreh Aghdashloo,['Romance'],7.0
Jillian Murray,['Mystery'],3.0
Vinnie Jones,['Crime'],21.0
Whoopi Goldberg,['Music'],44.0
Steven Spielberg,['War'],9.0
Scott Eastwood,['Romance'],6.0
Lisa Kudrow,['Family'],14.0
Brian Dennehy,['Family'],28.0
Michael Jeter,['Family'],19.0
Sam Riley,['Family'],1.0
Nicholas Farrell,['War'],10.0
Patrick Dempsey,['Family'],16.0
Holland Taylor,['Family'],20.0
Mélanie Laurent,['War'],6.0
Mark Cuban,['Romance'],2.0
Robin Givens,['Romance'],3.0
Elaine Hendrix,['Family'],9.0
Annie Wersching,['Comedy'],1.0
Cameron Diaz,['Family'],29.0
Marin Hinkle,['Comedy'],12.0
Eve Hewson,['Thriller'],1.0
Kate Bosworth,['Science Fiction'],12.0
Ray Stevenson,['Science Fiction'],7.0
Jacqueline Obradors,['Family'],6.0
Elisabeth Shue,['Science Fiction'],23.0
Natascha McElhone,['Comedy'],10.0
Casey Affleck,['Mystery'],18.0
Ben Whishaw,['Family'],6.0
Brian Cox,['War'],35.0
Catherine Zeta-Jones,['Romance'],17.0
Lucy Punch,['Comedy'],9.0
Jenny Agutter,['Science Fiction'],9.0
Glenne Headly,['Romance'],14.0
Blair Underwood,['Mystery'],10.0
Wesley Snipes,['Action'],28.0
Jesse Eisenberg,['Mystery'],14.0
Frank Whaley,['Music'],17.0
Kurt Russell,['Mystery'],27.0
Taissa Farmiga,['Mystery'],1.0
Melissa Peterman,['Music'],3.0
Amy Acker,['Horror'],3.0
Jon Cryer,['Romance'],7.0
Sean Young,['Mystery'],19.0
Don Cheadle,['Science Fiction'],24.0
Nathan Fillion,['Science Fiction'],10.0
Andrea Savage,['Comedy'],3.0
Dylan Minnette,['Horror'],3.0
Dominic Purcell,['Thriller'],7.0
Chad Stahelski,['Science Fiction'],8.0
Sandra Oh,['Family'],17.0
Sunny Sandler,['Family'],3.0
India Eisley,['Horror'],1.0
Thora Birch,['Drama'],14.0
Andy García,['Romance'],26.0
Eion Bailey,['Drama'],5.0
Steve Guttenberg,['Science Fiction'],18.0
Alanna Ubach,['Family'],12.0
Gates McFadden,['Science Fiction'],8.0
Matt Dillon,['Romance'],21.0
Tyler Hoechlin,['Crime'],3.0
Chad Michael Murray,['Family'],5.0
Michael McKean,['Romance'],32.0
Olivia Thirlby,['Romance'],10.0
Steve Buscemi,['Family'],55.0
Daisuke Ono,['Science Fiction'],2.0
Barry Bostwick,['Family'],9.0
Merritt Patterson,['Family'],1.0
Drew Carey,['Family'],4.0
Kelsey Grammer,['Family'],11.0
Matt Smith,['Mystery'],4.0
Eddie Murphy,['Family'],35.0
Kristen Johnston,['Romance'],6.0
James Hong,['Family'],32.0
Costas Mandylor,['Crime'],11.0
Benjamin Bratt,['Family'],15.0
Arielle Kebbel,['Romance'],9.0
Jessica Chastain,['Science Fiction'],8.0
David Schwimmer,['Family'],9.0
Ted Danson,['War'],13.0
Aimee Garcia,['Science Fiction'],9.0
Ashley Greene,['Romance'],10.0
Freddie Prinze Jr.,['Mystery'],14.0
Reba McEntire,['Family'],7.0
Paz Vega,['Family'],7.0
Melanie Griffith,['Family'],22.0
Peyton List,['Drama'],9.0
Carmen Electra,['Family'],17.0
Roger Allam,['Science Fiction'],9.0
Ciarán Hinds,['Fantasy'],28.0
Lucy Lawless,['Family'],7.0
Omar Sy,['Science Fiction'],3.0
Shia LaBeouf,['Science Fiction'],18.0
Sam Claflin,['Romance'],2.0
Rose McIver,['Romance'],3.0
Isabella Rossellini,['Family'],18.0
Jon Huertas,[],4.0
Dina Meyer,['Mystery'],12.0
Matthew Modine,['War'],21.0
Kathleen Turner,['Romance'],19.0
Emmy Rossum,['Romance'],7.0
Tyler Perry,['Mystery'],7.0
Charlie Sheen,['War'],35.0
Donald Sutherland,['Romance'],41.0
Charles Shaughnessy,['Family'],2.0
Elijah Wood,['Action'],23.0
Nathan Lane,['Family'],21.0
Eddie Redmayne,['Family'],9.0
David Krumholtz,['Romance'],22.0
Neil Patrick Harris,['Mystery'],15.0
Michelle Monaghan,['Mystery'],16.0
Brendan Gleeson,['Science Fiction'],30.0
Tony Dalton,['Crime'],2.0
Quentin Tarantino,['War'],14.0
Anthony LaPaglia,['Mystery'],19.0
