Year,Actor,Character,Film,Best_Actor,Best_Actress,Best_Supporting_Actor,Best_Supporting_Actress
1995,Kevin Bacon,Henri Young,Murder in the First,1.0,0.0,0.0,0.0
1996,Geoffrey Rush,David Helfgott,Shine,1.0,0.0,0.0,0.0
1997,Jack Nicholson,Melvin Udall,As Good as It Gets,1.0,0.0,0.0,0.0
1998,Ian McKellen,James Whale,Gods and Monsters,1.0,0.0,0.0,0.0
1999,Russell Crowe,Jeffrey Wigand,The Insider,1.0,0.0,0.0,0.0
2000,Russell Crowe,Maximus Decimus Meridius,Gladiator,1.0,0.0,0.0,0.0
2001,Russell Crowe,John Nash,A Beautiful Mind,1.0,0.0,0.0,0.0
2001,Sean Penn,Sam Dawson,I Am Sam,1.0,0.0,0.0,0.0
2001,Will Smith,Muhammad Ali,Ali,1.0,0.0,0.0,0.0
2002,Daniel Day-Lewis (TIE),"William ""Bill the Butcher"" Cutting",Gangs of New York,1.0,0.0,0.0,0.0
2002,Jack Nicholson (TIE),Warren Schmidt,About Schmidt,1.0,0.0,0.0,0.0
2002,Robin Williams,"Seymour ""Sy"" Parrish",One Hour Photo,1.0,0.0,0.0,0.0
2003,Sean Penn,Jimmy Markum,Mystic River,1.0,0.0,0.0,0.0
2003,Russell Crowe,Captain Jack Aubrey,Master and Commander: The Far Side of the World,1.0,0.0,0.0,0.0
2003,Johnny Depp,Captain Jack Sparrow,Pirates of the Caribbean: The Curse of the Black Pearl,1.0,0.0,0.0,0.0
2003,Ben Kingsley,Colonel Massoud Amir Behrani,House of Sand and Fog,1.0,0.0,0.0,0.0
2003,Bill Murray,Bob Harris,Lost in Translation,1.0,0.0,0.0,0.0
2004,Jamie Foxx,Ray Charles,Ray,1.0,0.0,0.0,0.0
2004,Javier Bardem,Ramón Sampedro,The Sea Inside,1.0,0.0,0.0,0.0
2004,Don Cheadle,Paul Rusesabagina,Hotel Rwanda,1.0,0.0,0.0,0.0
2004,Johnny Depp,J. M. Barrie,Finding Neverland,1.0,0.0,0.0,0.0
2004,Leonardo DiCaprio,Howard Hughes,The Aviator,1.0,0.0,0.0,0.0
2004,Paul Giamatti,Miles Raymond,Sideways,1.0,0.0,0.0,0.0
2005,Philip Seymour Hoffman,Truman Capote,Capote,1.0,0.0,0.0,0.0
