Year,Actor,Character,Film,GG_Best_Actor_Drama,GG_Best_Actress_Drama,GG_Best_Supporting_Actor,GG_Best_Supporting_Actress,GG_Best_Actor_Comedy_or_Musical,GG_Best_Actress_Comedy_or_Musical
1943,Paul Lukas,Kurt Muller,Watch on the Rhine,1.0,0.0,0.0,0.0,0.0,0.0
1944,Alexander Knox,Woodrow Wilson,Wilson,1.0,0.0,0.0,0.0,0.0,0.0
1945,Ray Milland,Don Birnam,The Lost Weekend,1.0,0.0,0.0,0.0,0.0,0.0
1946,Gregory Peck,Penny Baxter,The Yearling,1.0,0.0,0.0,0.0,0.0,0.0
1947,Ronald Colman,Anthony John,A Double Life,1.0,0.0,0.0,0.0,0.0,0.0
1948,Laurence Olivier,"Hamlet, Prince of Denmark",Hamlet,1.0,0.0,0.0,0.0,0.0,0.0
1949,Broderick Crawford,Willie Stark,All the King's Men,1.0,0.0,0.0,0.0,0.0,0.0
1949,Richard Todd,"Cpl. Lachlan ""Lachie"" MacLachlan",The Hasty Heart,1.0,0.0,0.0,0.0,0.0,0.0
1950,José Ferrer,Cyrano de Bergerac,Cyrano de Bergerac,1.0,0.0,0.0,0.0,0.0,0.0
1950,Louis Calhern,Oliver Wendell Holmes,The Magnificent Yankee,1.0,0.0,0.0,0.0,0.0,0.0
1950,James Stewart,Elwood P. Dowd,Harvey,1.0,0.0,0.0,0.0,0.0,0.0
1951,Fredric March,Willy Loman,Death of a Salesman,1.0,0.0,0.0,0.0,0.0,0.0
1951,Kirk Douglas,Det. James McLeod,Detective Story,1.0,0.0,0.0,0.0,0.0,0.0
1951,Arthur Kennedy,Larry Nevins,Bright Victory,1.0,0.0,0.0,0.0,0.0,0.0
1952,Gary Cooper,Marshal Will Kane,High Noon,1.0,0.0,0.0,0.0,0.0,0.0
1952,Ray Milland,Allan Fields,The Thief,1.0,0.0,0.0,0.0,0.0,0.0
1952,Charles Boyer,Jacques Bonnard,The Happy Time,1.0,0.0,0.0,0.0,0.0,0.0
1953,Spencer Tracy,Clinton Jones,The Actress,1.0,0.0,0.0,0.0,0.0,0.0
1954,Marlon Brando,Terry Malloy,On the Waterfront,1.0,0.0,0.0,0.0,0.0,0.0
1955,Ernest Borgnine,Marty Piletti,Marty,1.0,0.0,0.0,0.0,0.0,0.0
1956,Kirk Douglas,Vincent van Gogh,Lust for Life,1.0,0.0,0.0,0.0,0.0,0.0
1956,Karl Malden,Archie Lee Meighan,Baby Doll,1.0,0.0,0.0,0.0,0.0,0.0
1956,Gary Cooper,Jess Birdwell,Friendly Persuasion,1.0,0.0,0.0,0.0,0.0,0.0
1956,Burt Lancaster,Bill Starbuck,The Rainmaker,1.0,0.0,0.0,0.0,0.0,0.0
1956,Charlton Heston,Moses,The Ten Commandments,1.0,0.0,0.0,0.0,0.0,0.0
1957,Alec Guinness,Colonel Nicholson,The Bridge on the River Kwai,1.0,0.0,0.0,0.0,0.0,0.0
1957,Marlon Brando,"Maj. Lloyd ""Ace"" Gruver",Sayonara,1.0,0.0,0.0,0.0,0.0,0.0
1958,David Niven,Major Pollock,Separate Tables,1.0,0.0,0.0,0.0,0.0,0.0
1958,Tony Curtis,"John ""Joker"" Jackson",The Defiant Ones,1.0,0.0,0.0,0.0,0.0,0.0
1958,Robert Donat,The Mandarin of Yang Cheng,The Inn of the Sixth Happiness,1.0,0.0,0.0,0.0,0.0,0.0
1958,Sidney Poitier,Noah Cullen,The Defiant Ones,1.0,0.0,0.0,0.0,0.0,0.0
1958,Spencer Tracy,Santiago (The Old Man),The Old Man and the Sea,1.0,0.0,0.0,0.0,0.0,0.0
1959,Anthony Franciosa,Sam Lawson,Career,1.0,0.0,0.0,0.0,0.0,0.0
1959,Richard Burton,Jimmy Porter,Look Back in Anger,1.0,0.0,0.0,0.0,0.0,0.0
1959,Charlton Heston,Judah Ben-Hur,Ben-Hur,1.0,0.0,0.0,0.0,0.0,0.0
1959,Fredric March,Jerry Kingsley,Middle of the Night,1.0,0.0,0.0,0.0,0.0,0.0
1959,Joseph Schildkraut,Otto Frank,The Diary of Anne Frank,1.0,0.0,0.0,0.0,0.0,0.0
1960,Burt Lancaster,Elmer Gantry,Elmer Gantry,1.0,0.0,0.0,0.0,0.0,0.0
1960,Trevor Howard,Walter Morel,Sons and Lovers,1.0,0.0,0.0,0.0,0.0,0.0
1960,Laurence Olivier,Crassus,Spartacus,1.0,0.0,0.0,0.0,0.0,0.0
1960,Dean Stockwell,Paul Morel,Sons and Lovers,1.0,0.0,0.0,0.0,0.0,0.0
1960,Spencer Tracy,Henry Drummond,Inherit the Wind,1.0,0.0,0.0,0.0,0.0,0.0
