name,genre_mean_weighted,number_of_movies
Gary Oldman,['Crime'],57.0
Florence Pugh,['Mystery'],10.0
Jason Statham,['Science Fiction'],45.0
Jackie Chan,['Crime'],62.0
Scarlett Johansson,['Science Fiction'],51.0
Josh Hutcherson,['Science Fiction'],26.0
Brie Larson,['Science Fiction'],23.0
Nicolas Cage,['Family'],90.0
Jenna Ortega,['Mystery'],8.0
Michael Fassbender,['Mystery'],31.0
Kevin Costner,['Science Fiction'],50.0
Jennifer Connelly,['Romance'],36.0
Emily Blunt,['Science Fiction'],32.0
Piper Rubio,['Mystery'],1.0
Anne Hathaway,['Romance'],37.0
Owen Wilson,['Family'],54.0
Matthew Lillard,['Mystery'],31.0
Ana de Armas,['Mystery'],15.0
Emma Stone,['Romance'],30.0
Matthew Perry,['Romance'],13.0
Morgan Freeman,['Mystery'],87.0
Mia Goth,['Mystery'],12.0
Liam Neeson,['War'],93.0
Cillian Murphy,['Science Fiction'],30.0
Lena Headey,['War'],30.0
Kelly Reilly,['Mystery'],19.0
Rebecca Ferguson,['Mystery'],15.0
Angela White,['Science Fiction'],3.0
Ryan Reynolds,['Science Fiction'],45.0
Hayley Atwell,['Science Fiction'],18.0
Mark Hamill,['Science Fiction'],32.0
Will Smith,['Science Fiction'],39.0
Zoe Saldaña,['Science Fiction'],42.0
Sang Woo,['Romance'],3.0
Pedro Pascal,['Crime'],9.0
Mel Gibson,['War'],52.0
Gal Gadot,['Action'],20.0
Mckenna Grace,['Science Fiction'],16.0
Kristen Stewart,['Romance'],41.0
Denzel Washington,['Science Fiction'],50.0
Joseph Gordon-Levitt,['Romance'],39.0
Val Kilmer,['Romance'],55.0
Nicole Kidman,['Mystery'],64.0
Vin Diesel,['Crime'],35.0
Matt Damon,['Mystery'],70.0
Elizabeth Mitchell,['Family'],8.0
Ariana Greenblatt,['Science Fiction'],8.0
Ceci Balagot,['Family'],2.0
Rachel Griffiths,['War'],15.0
Taylor Swift,['Family'],7.0
James Spader,['Science Fiction'],26.0
Karen Gillan,['Science Fiction'],18.0
John Krasinski,['War'],34.0
Emma Watson,['Family'],20.0
Alan Ritchson,['Family'],11.0
Daniel Radcliffe,['Fantasy'],24.0
Rachael Harris,['Family'],23.0
Judd Nelson,['TV Movie'],20.0
Louis Hofmann,['War'],9.0
Shuya Sophia Cai,['Science Fiction'],2.0
Dakota Fanning,['Family'],28.0
Annette Bening,['Science Fiction'],35.0
Keanu Reeves,['Science Fiction'],57.0
Bruce Dern,['Mystery'],53.0
January Jones,['Romance'],15.0
Colin Farrell,['Romance'],51.0
Harrison Ford,['Science Fiction'],59.0
Elizabeth Olsen,['Science Fiction'],17.0
Sylvester Stallone,['Romance'],70.0
Rupert Friend,['War'],18.0
Charlize Theron,['Science Fiction'],42.0
Diane Lane,['Family'],40.0
Tom Hanks,['Family'],67.0
Timothée Chalamet,['Romance'],17.0
Tyrese Gibson,['Science Fiction'],22.0
Katheryn Winnick,['Science Fiction'],17.0
Zoey Deutch,['Romance'],14.0
Hailee Steinfeld,['Science Fiction'],16.0
Leonardo DiCaprio,['Romance'],32.0
Tom Hiddleston,['Science Fiction'],21.0
Ryan Gosling,['Romance'],26.0
Byeon Woo Seok,['Romance'],3.0
Tom Mothersdale,['War'],1.0
Maggie Lawson,['Mystery'],3.0
John Travolta,['Family'],56.0
Miia Harris,['Family'],1.0
Molly Kunz,['Family'],2.0
Min Do-yoon,['Romance'],2.0
Amanda Seyfried,['War'],32.0
Tom Holland,['Science Fiction'],24.0
Tom Hardy,['Science Fiction'],31.0
Josh Holloway,['Thriller'],6.0
Millie Bobby Brown,['Mystery'],5.0
Timothy Olyphant,['Mystery'],27.0
Austin Butler,['Music'],9.0
Carla Gugino,['Family'],41.0
Pierce Brosnan,['Romance'],52.0
Clancy Brown,['Family'],40.0
Gina Gershon,['Romance'],33.0
Cole Hauser,['Science Fiction'],22.0
Tinto Brass,['Romance'],2.0
Elizabeth Lail,['Mystery'],3.0
Mila Kunis,['Comedy'],26.0
Tara Strong,[],46.0
Vanessa Kirby,['Romance'],13.0
Eva Mendes,['Romance'],26.0
Russell Crowe,['Romance'],40.0
Rosario Dawson,['Science Fiction'],51.0
Aubrey Plaza,['Romance'],22.0
Jennifer Lawrence,['Science Fiction'],25.0
Sophia Di Martino,['Romance'],2.0
Kevin Bacon,['Science Fiction'],54.0
Stephanie Beatriz,['Family'],7.0
Gerard Butler,['Family'],43.0
Isabelle Adjani,['Mystery'],16.0
Gillian Jacobs,['Mystery'],22.0
Stephanie Nur,['Romance'],2.0
Christian Bale,['Crime'],44.0
Sam Elliott,['Romance'],30.0
Rhys Ifans,['Action'],32.0
Benedict Cumberbatch,['War'],33.0
Christina Ricci,['Family'],35.0
Channing Tatum,['Science Fiction'],46.0
Ashley Jensen,['Family'],8.0
Patrick Wilson,['Thriller'],43.0
Chloe Coleman,['Family'],7.0
Sydney Sweeney,['Thriller'],8.0
Adam Sandler,['Family'],47.0
Rick Hoffman,['Science Fiction'],11.0
Mads Mikkelsen,['Action'],26.0
Evangeline Lilly,['Science Fiction'],14.0
Leslie Mann,['Family'],30.0
Johnny Depp,['Family'],67.0
Willem Dafoe,['Family'],92.0
Alexandra Daddario,['Family'],19.0
Paul Giamatti,['Romance'],59.0
Eva Green,['War'],19.0
Joey King,['Romance'],21.0
Tilda Swinton,['Science Fiction'],46.0
Frank Welker,['Family'],117.0
Kate Beckinsale,['Thriller'],31.0
Idris Elba,['Family'],41.0
Stephen A. Chang,['Science Fiction'],1.0
Antonio Banderas,['Family'],70.0
Joe Bird,['Mystery'],1.0
Michael Sheen,['Romance'],36.0
Tobey Maguire,['Action'],26.0
Emilia Clarke,['Romance'],7.0
Zach Galifianakis,['Comedy'],33.0
Will Ferrell,['Family'],51.0
Keira Knightley,['War'],36.0
María Valverde,['Romance'],10.0
Bruce Willis,['Mystery'],103.0
Michael Keaton,['Science Fiction'],45.0
D.B. Woodside,['Family'],4.0
Tom Cruise,['Mystery'],48.0
Daisy Ridley,['Science Fiction'],10.0
Lacey Chabert,['Family'],17.0
Jeremy Piven,['Family'],40.0
Clint Eastwood,['Western'],53.0
Hayden Christensen,['Science Fiction'],19.0
Samuel L. Jackson,['Mystery'],119.0
Thomas Lennon,['Romance'],40.0
Tina Majorino,['Family'],6.0
Natalie Portman,['Science Fiction'],43.0
Asa Butterfield,['War'],12.0
Elisha Cuthbert,['Mystery'],7.0
Famke Janssen,['Thriller'],34.0
Travis Fimmel,['War'],14.0
Henry Winkler,['Music'],25.0
Vera Farmiga,['Mystery'],35.0
Katie McGrath,['TV Movie'],3.0
Courteney Cox,['Mystery'],18.0
Charlie Hunnam,['Science Fiction'],16.0
Ray Liotta,['Mystery'],60.0
Raegan Revord,['Thriller'],2.0
Daniel Craig,['Mystery'],31.0
Kristen Wiig,['Family'],38.0
Dakota Johnson,['Romance'],15.0
Mimi Rogers,['Science Fiction'],24.0
Chris Hemsworth,['Science Fiction'],28.0
Zendaya,['Science Fiction'],9.0
Chloë Grace Moretz,['Science Fiction'],33.0
Steven Seagal,['Thriller'],44.0
Chris Pine,['Science Fiction'],28.0
Laurence Fishburne,['Science Fiction'],56.0
Kathryn Newton,['Science Fiction'],11.0
Téa Leoni,['Science Fiction'],17.0
Iman Vellani,['Science Fiction'],1.0
Uma Thurman,['Crime'],44.0
Jamie Dornan,['Romance'],12.0
Colleen Camp,['War'],56.0
John Cena,['Family'],27.0
Dolph Lundgren,['Thriller'],52.0
Rachel Weisz,['Action'],40.0
John Cusack,['Mystery'],61.0
Ashley Johnson,['Romance'],13.0
Bobby Cannavale,['Science Fiction'],41.0
Orlando Bloom,['Action'],24.0
Chris Tucker,['Romance'],14.0
Bella Thorne,['Romance'],17.0
Danny DeVito,['Family'],58.0
Robert Wagner,['Mystery'],27.0
Shea Whigham,['Romance'],41.0
Anna Camp,['Music'],8.0
Michael Cera,['Romance'],24.0
Jenna Coleman,['Romance'],4.0
Richard Gere,['Romance'],46.0
Jack Black,['Family'],49.0
Alexandra Jensen,['Thriller'],1.0
Margot Robbie,['Crime'],26.0
Alicia Silverstone,['Romance'],25.0
Jason Bateman,['Family'],41.0
Kenneth Branagh,['Mystery'],28.0
Alec Baldwin,['Family'],72.0
Jason Momoa,['Action'],20.0
Jeri Ryan,[],7.0
Kaitlyn Dever,['Science Fiction'],13.0
J.K. Simmons,['Music'],75.0
Kate Siegel,['Thriller'],5.0
Harvey Keitel,['Crime'],60.0
Scott Glenn,['Mystery'],39.0
David Fincher,['Mystery'],3.0
Fred Henderson,['Mystery'],8.0
Giulio Berruti,['Romance'],6.0
Neal McDonough,['Family'],32.0
Jedidiah Goodacre,['Family'],7.0
Monica Bellucci,['Thriller'],27.0
James Earl Jones,['Family'],50.0
Dave Bautista,['Science Fiction'],29.0
Yuki Kaji,[],16.0
Aaron Eckhart,['Science Fiction'],40.0
Josh Hartnett,['War'],28.0
Paul Rudd,['Science Fiction'],52.0
Julianne Moore,['Science Fiction'],70.0
Demi Moore,['Romance'],39.0
Alyssa Milano,['Family'],11.0
Ralph Fiennes,['War'],45.0
Ron Livingston,['Science Fiction'],29.0
Steve Zahn,['War'],44.0
Robert Pattinson,['Romance'],27.0
Elsa Pataky,['Crime'],23.0
Ian McShane,['Thriller'],33.0
Stephen Root,['Family'],67.0
Katherine Heigl,['Romance'],21.0
Michael Gambon,['Fantasy'],47.0
Brittany Murphy,['Family'],23.0
Katie Parker,['Mystery'],6.0
Denise Richards,['Science Fiction'],20.0
Kate Mara,['Science Fiction'],24.0
Lance Reddick,['Crime'],19.0
Dan Stevens,['Family'],17.0
Susan Sullivan,['Romance'],5.0
Kaya Scodelario,['Mystery'],13.0
Tom Selleck,['Romance'],15.0
Elizabeth Banks,['Family'],46.0
Mark Wahlberg,['Science Fiction'],46.0
Hiroyuki Sanada,['Mystery'],25.0
Fisher Stevens,['Family'],34.0
Mayumi Tanaka,['Family'],30.0
Alan Rickman,['Romance'],36.0
Rosamund Pike,['Mystery'],31.0
Morena Baccarin,['Action'],12.0
Sophie Rundle,['Science Fiction'],3.0
Jennifer Garner,['Romance'],31.0
Shailene Woodley,['Romance'],16.0
Andy Samberg,['Family'],24.0
Tom Kenny,['Family'],47.0
Andrew Garfield,['War'],19.0
Mary Elizabeth Winstead,['Romance'],23.0
Jon Bernthal,['Crime'],24.0
Kate Winslet,['Romance'],36.0
Park Eun-bin,['Mystery'],1.0
Robert De Niro,['Crime'],91.0
Sigourney Weaver,['Science Fiction'],60.0
Annie Potts,['Family'],14.0
Anna Kendrick,['Music'],34.0
Ernie Hudson,['Comedy'],40.0
Paul Walker,['Crime'],24.0
Robert Downey Jr.,['Science Fiction'],59.0
Alexander Skarsgård,['Science Fiction'],21.0
Krista Allen,['Mystery'],10.0
Selma Blair,['Romance'],24.0
Jennifer Morrison,['Action'],19.0
Gina Rodriguez,['Romance'],10.0
Maya Rudolph,['Family'],38.0
Robert Redford,['Science Fiction'],45.0
Robert Duvall,['Science Fiction'],63.0
Jon Favreau,['Science Fiction'],39.0
Steven Yeun,['Drama'],8.0
Adèle Exarchopoulos,['Romance'],13.0
Imelda Staunton,['Family'],30.0
Anthony Hopkins,['Action'],61.0
Miranda Cosgrove,['Family'],6.0
Dennis Quaid,['Family'],64.0
Seung Ha,['Romance'],1.0
Scottie Thompson,['Science Fiction'],8.0
Glenn Close,['Mystery'],44.0
April Bowlby,[],2.0
Linda Hamilton,['Science Fiction'],13.0
Taylor Sheridan,['Mystery'],3.0
Isabel May,['Crime'],1.0
Jessie Buckley,['Mystery'],7.0
Will Poulter,['Mystery'],11.0
Josephine Langford,['Romance'],6.0
Joel Kinnaman,['Science Fiction'],14.0
Brooke Smith,['Science Fiction'],16.0
Oscar Isaac,['Science Fiction'],35.0
Sherilyn Fenn,['Romance'],23.0
Sandra Bullock,['Family'],41.0
Bill Burr,['Comedy'],9.0
Jodie Foster,['Crime'],29.0
Jennifer Love Hewitt,['Mystery'],14.0
Phil LaMarr,['Family'],30.0
Bill Skarsgård,['Crime'],21.0
Greta Scacchi,['Mystery'],22.0
Lindy Booth,['Thriller'],8.0
Mykelti Williamson,['Romance'],31.0
Natalie Dormer,['Mystery'],12.0
Dwayne Johnson,['Thriller'],48.0
Aaron Taylor-Johnson,['Science Fiction'],18.0
Rachel McAdams,['Romance'],28.0
Donald Trump,['Family'],34.0
Tommy Lee Jones,['Science Fiction'],52.0
Piper Perabo,['Mystery'],21.0
Kim Sun-young,['Romance'],7.0
Mackenzie Davis,['Science Fiction'],12.0
Debby Ryan,['Family'],8.0
Lars Eidinger,['Family'],12.0
Kate Hudson,['Romance'],32.0
Chris Pratt,['Science Fiction'],33.0
Jim Belushi,['Romance'],43.0
Benedict Wong,['Science Fiction'],25.0
Ed Sheeran,['Romance'],7.0
Peter Weller,['Mystery'],25.0
Abigail Spencer,['Family'],9.0
Wallace Shawn,['Family'],55.0
Megan Fox,['Science Fiction'],22.0
George Clooney,['Science Fiction'],44.0
Diane Kruger,['War'],35.0
Helen Mirren,['Family'],52.0
Sean Bean,['Science Fiction'],37.0
Heather Graham,['Mystery'],44.0
