Year,Actor,Character,Film
1970,John Mills,Michael,Ryan's Daughter
1970,Chief Dan George,Old Lodge Skins,Little Big Man
1970,Trevor Howard,Father Collins,Ryan's Daughter
1970,George Kennedy,Joe Patroni,Airport
1970,John Marley,Phil Cavalleri,Love Story
1971,Ben Johnson,Sam the Lion,The Last Picture Show
1971,Tom Baker,Rasputin,Nicholas and Alexandra
1971,Art Garfunkel,Sandy,Carnal Knowledge
1971,Paul Mann,Lazar Wolf,Fiddler on the Roof
1971,Jan-Michael Vincent,Jimmy Graham,Going Home
1972,Joel Grey,Master of Ceremonies,Cabaret
1972,James Caan,Sonny Corleone,The Godfather
1972,James Coco,Sancho Panza,Man of La Mancha
1972,Alec McCowen,Henry Pulling,Travels with My Aunt
1972,Clive Revill,Carlo Carlucci,Avanti!
1973,John Houseman,Charles W. Kingsfield Jr.,The Paper Chase
1973,Martin Balsam,Harry Walden,"Summer Wishes, Winter Dreams"
1973,Jack Gilford,Phil Greene,Save the Tiger
1973,Randy Quaid,Meadows,The Last Detail
1973,Max von Sydow,Father Merrin,The Exorcist
1974,Fred Astaire,Harlee Claiborne,The Towering Inferno
1974,Bruce Dern,Tom Buchanan,The Great Gatsby
1974,Sam Waterston,Nick Carraway,The Great Gatsby
1974,Eddie Albert,Warden Hazen,The Longest Yard
1974,John Huston,Noah Cross,Chinatown
1975,Richard Benjamin,Ben Clark,The Sunshine Boys
1975,John Cazale,Sal,Dog Day Afternoon
1975,Charles Durning,Eugene Moretti,Dog Day Afternoon
1975,Henry Gibson,Haven Hamilton,Nashville
1975,Burgess Meredith,Harry Greener,The Day of the Locust
1976,Laurence Olivier,Christian Szell,Marathon Man
1976,Marty Feldman,Marty Eggs,Silent Movie
1976,Ron Howard,Gillom Rogers,The Shootist
1976,Jason Robards,Benjamin C. Bradlee,All the President's Men
1976,Oskar Werner,Professor Egon Kreisler,Voyage of the Damned
1977,Peter Firth,Alan Strang,Equus
1977,Jason Robards,Dashiell Hammett,Julia
1977,Maximilian Schell,Johann,Julia
1977,Mikhail Baryshnikov,Yuri Kopeikine,The Turning Point
1977,Alec Guinness,Obi-Wan Kenobi,Star Wars
1978,John Hurt,Max,Midnight Express
1978,Bruce Dern,Bob Hyde,Coming Home
1978,Dudley Moore,Stanley Tibbets,Foul Play
1978,Robert Morley,Max,Who Is Killing the Great Chefs of Europe?
1978,Christopher Walken,"Cpl. Nikanor ""Nick"" Chevotarevich",The Deer Hunter
1979,Melvyn Douglas,Benjamin Rand,Being There
1979,Robert Duvall,Lt. Col. Bill Kilgore,Apocalypse Now
1979,Frederic Forrest,Huston Dyer,The Rose
1979,Justin Henry,Billy Kramer,Kramer vs. Kramer
1979,Laurence Olivier,Julius,A Little Romance
