Year,Actor,Character,Film
1990,Gérard Depardieu,Georges Fauré,Green Card
1990,Macaulay Culkin,Kevin McCallister,Home Alone
1990,Johnny Depp,Edward Scissorhands,Edward Scissorhands
1990,Richard Gere,Edward Lewis,Pretty Woman
1990,Patrick Swayze,Sam Wheat,Ghost
1991,Robin Williams,"Henry ""Parry"" Sagan",The Fisher King
1991,Jeff Bridges,Jack Lucas,The Fisher King
1991,Billy Crystal,Mitch Robbins,City Slickers
1991,Dustin Hoffman,Captain Hook,Hook
1991,Kevin Kline,Jeffrey Anderson / Rod Randall,Soapdish
1992,Tim Robbins,Griffin Mill,The Player
1992,Nicolas Cage,Jack Singer,Honeymoon in Vegas
1992,Billy Crystal,Buddy Young Jr.,Mr. Saturday Night
1992,Marcello Mastroianni,Joe Meledandri,Used People
1992,Tim Robbins,Bob Roberts,Bob Roberts
1993,Robin Williams,Daniel Hillard / Mrs. Euphegenia Doubtfire,Mrs. Doubtfire
1993,Johnny Depp,Sam,Benny & Joon
1993,Tom Hanks,Sam Baldwin,Sleepless in Seattle
1993,Kevin Kline,Dave Kovic / Bill Mitchell,Dave
1993,Colm Meaney,Dessie Curley,The Snapper
1994,Hugh Grant,Charles,Four Weddings and a Funeral
1994,Jim Carrey,Stanley Ipkiss / The Mask,The Mask
1994,Johnny Depp,Ed Wood,Ed Wood
1994,Arnold Schwarzenegger,Alex Hesse,Junior
1994,Terence Stamp,Ralph / Bernadette Bassenger,"The Adventures of Priscilla, Queen of the Desert"
1995,John Travolta,Chili Palmer,Get Shorty
1995,Michael Douglas,Andrew Shepherd,The American President
1995,Harrison Ford,Linus Larrabee,Sabrina
1995,Steve Martin,George Banks,Father of the Bride Part II
1995,Patrick Swayze,Vida Boheme,"To Wong Foo, Thanks for Everything! Julie Newmar"
1996,Tom Cruise,Jerry Maguire,Jerry Maguire
1996,Antonio Banderas,Ché,Evita
1996,Kevin Costner,"Roy ""Tin Cup"" McAvoy",Tin Cup
1996,Nathan Lane,Albert Goldman,The Birdcage
1996,Eddie Murphy,Professor Sherman Klump / Buddy Love / Papa Klump / Mama Klump / Granny Klump / Ernie Klump / Lance Perkins,The Nutty Professor
1997,Jack Nicholson,Melvin Udall,As Good as It Gets
1997,Jim Carrey,Fletcher Reed,Liar Liar
1997,Dustin Hoffman,Stanley Motss,Wag the Dog
1997,Samuel L. Jackson,Ordell Robbie,Jackie Brown
1997,Kevin Kline,Howard Brackett,In & Out
1998,Michael Caine,Ray Say,Little Voice
1998,Antonio Banderas,Alejandro Murrieta / Zorro,The Mask of Zorro
1998,Warren Beatty,Senator Jay Billington Bulworth,Bulworth
1998,John Travolta,Governor Jack Stanton,Primary Colors
1998,Robin Williams,"Dr. Hunter ""Patch"" Adams",Patch Adams
1999,Jim Carrey,Andy Kaufman / Tony Clifton,Man on the Moon
1999,Robert De Niro,Paul Vitti,Analyze This
1999,Rupert Everett,Lord Arthur Goring,An Ideal Husband
1999,Hugh Grant,"William ""Will"" Thacker",Notting Hill
1999,Sean Penn,Emmet Ray,Sweet and Lowdown
