Year,Actress,Character,Film
2020,Rosamund Pike,Marla Grayson,I Care a Lot
2020,Maria Bakalova,Tutar Sagdiyev,Borat Subsequent Moviefilm
2020,Kate Hudson,Kazu Gamble,Music
2020,Michelle Pfeiffer,Frances Price,French Exit
2020,Anya Taylor-Joy,Emma Woodhouse,Emma
2021,Rachel Zegler,María,West Side Story
2021,Marion Cotillard,Ann Defrasnoux,Annette
2021,Alana Haim,Alana Kane,Licorice Pizza
2021,Jennifer Lawrence,Kate Dibiasky,Don't Look Up
2021,Emma Stone,Estella / Cruella de Vil,Cruella
2022,Michelle Yeoh,Evelyn Wang,Everything Everywhere All At Once
2022,Lesley Manville,Ada Harris,Mrs. Harris Goes to Paris
2022,Margot Robbie,Nellie LaRoy,Babylon
2022,Anya Taylor-Joy,Margot Mills / Erin,The Menu
2022,Emma Thompson,Nancy Stokes / Susan Robinson,"Good Luck to You, Leo Grande"
2023
2023,Fantasia Barrino,Celie Harris Johnson,The Color Purple
2023,Jennifer Lawrence,Maddie Barker,No Hard Feelings
2023,Natalie Portman,Elizabeth Berry,May December
2023,Alma Pöysti,Ansa,Fallen Leaves
2023,Margot Robbie,Barbie,Barbie
2023,Emma Stone,Bella Baxter,Poor Things
