Year,Actor,Character,Film
1950,Edmund Gwenn,'Skipper' Miller,Mister 880
1950,George Sanders,Addison DeWitt,All About Eve
1950,Erich von Stroheim,Max Von Mayerling,Sunset Boulevard
1951,Peter Ustinov,Nero,Quo Vadis
1952,Millard Mitchell,James Connie,My Six Convicts
1952,Kurt Kasznar,Uncle Louis Bonnard,The Happy Time
1952,Gilbert Roland,Victor 'Gaucho' Ribera,The Bad and the Beautiful
1953,Frank Sinatra,Pvt. Angelo Maggio,From Here to Eternity
1954,Edmond O'Brien,Oscar Muldoon,The Barefoot Contessa
1955,Arthur Kennedy,Barney,Trial
1956,Earl Holliman,Jim Curry,The Rainmaker
1956,Eddie Albert,Capt. McLean,The Teahouse of the August Moon
1956,Oscar Homolka,General Kutuzov,War and Peace
1956,Anthony Quinn,Paul Gauguin,Lust for Life
1956,Eli Wallach,Silva Vacarro,Baby Doll
1957,Red Buttons,Joe Kelly,Sayonara
1957,Lee J. Cobb,Juror #3,12 Angry Men
1957,Sessue Hayakawa,Colonel Saito,The Bridge on the River Kwai
1957,Nigel Patrick,Prof. Jerusalem Webster Stiles,Raintree County
1957,Ed Wynn,Paul Beaseley,The Great Man
1958,Burl Ives,Rufus Hannassey,The Big Country
1958,Harry Guardino,Angelo Donatello,Houseboat
1958,David Ladd,David Chandler,The Proud Rebel
1958,Gig Young,Dr. Hugo Pine,Teacher's Pet
1958,Efrem Zimbalist Jr.,Jacob 'Jake' Diamond,Home Before Dark
1959,Stephen Boyd,Messala,Ben-Hur
1959,Fred Astaire,Julian Osborn,On the Beach
1959,Tony Randall,Jonathan Forbes,Pillow Talk
1959,Robert Vaughn,Chester A. 'Chet' Gwynn,The Young Philadelphians
1959,Joseph N. Welch,Judge Weaver,Anatomy of a Murder
