Year,Actor,Character,Film,Ref
2020,Daniel Kaluuya,Fred Hampton,Judas and the Black Messiah,
2020,Sacha Baron Cohen,Abbie Hoffman,The Trial of the Chicago 7,
2020,Jared Leto,Albert Sparma,The Little Things,
2020,Bill Murray,Felix Keane,On the Rocks,
2020,Leslie Odom Jr.,Sam Cooke,One Night in Miami...,
2021,Kodi Smit-McPhee,Peter Gordon,The Power of the Dog,
2021,Jamie Dornan,Pa,Belfast,
2021,Ciarán Hinds,Pop,Belfast,
2021,Ben Affleck,Charlie Maguire,The Tender Bar,
2021,Troy Kotsur,Frank Rossi,CODA,
2022,Ke Huy Quan,Waymond Wang,Everything Everywhere All At Once,
2022,Brendan Gleeson,Colm Doherty,The Banshees of Inisherin,
2022,Barry Keoghan,Dominic Kearney,The Banshees of Inisherin,
2022,Brad Pitt,Jack Conrad,Babylon,
2022,Eddie Redmayne,Charles Cullen,The Good Nurse,
2023
2023,Willem Dafoe,Dr. Godwin Baxter,Poor Things,
2023,Robert De Niro,William King Hale,Killers of the Flower Moon,
2023,Robert Downey Jr.,Lewis Strauss,Oppenheimer,
2023,Ryan Gosling,Ken,Barbie,
2023,Charles Melton,Joe Yoo,May December,
2023,Mark Ruffalo,Duncan Wedderburn,Poor Things,
