Year,Actor,Character,Film,Ref
1990,Bruce Davison,David,Longtime Companion,
1990,Armand Assante,"Roberto ""Bobby Tex"" Texador",Q & A,
1990,Hector Elizondo,Barney Thompson,Pretty Woman,
1990,Andy García,Vincent Mancini,The Godfather: Part III,
1990,Al Pacino,"Alphonse ""Big Boy"" Caprice",Dick Tracy,
1990,Joe Pesci,Tommy DeVito,Goodfellas,
1991,Jack Palance,Curly Washburn,City Slickers,
1991,Harvey Keitel,Mickey Cohen,Bugsy,
1991,Ben Kingsley,Meyer Lansky,Bugsy,
1991,Ned Beatty,Josef Locke,Hear My Song,
1991,John Goodman,Charlie Meadows,Barton Fink,
1992,Gene Hackman,Little Bill Daggett,Unforgiven,
1992,Jack Nicholson,Col. Nathan R. Jessup,A Few Good Men,
1992,Chris O'Donnell,Charlie Simms,Scent of a Woman,
1992,Al Pacino,Ricky Roma,Glengarry Glen Ross,
1992,David Paymer,Stan,Mr. Saturday Night,
1993,Tommy Lee Jones,Samuel Gerard,The Fugitive,
1993,Leonardo DiCaprio,Arnie Grape,What's Eating Gilbert Grape,
1993,Ralph Fiennes,Amon Goeth,Schindler's List,
1993,John Malkovich,Mitch Leary,In the Line of Fire,
1993,Sean Penn,David Kleinfeld,Carlito's Way,
1994,Martin Landau,Bela Lugosi,Ed Wood,
1994,Kevin Bacon,Wade,The River Wild,
1994,Samuel L. Jackson,Jules Winnfield,Pulp Fiction,
1994,Gary Sinise,Lt. Dan Taylor,Forrest Gump,
1994,John Turturro,Herb Stempel,Quiz Show,
1995,Brad Pitt,Jeffrey Goines,12 Monkeys,
1995,Ed Harris,Gene Kranz,Apollo 13,
1995,John Leguizamo,Chi-Chi Rodriguez,"To Wong Foo, Thanks for Everything! Julie Newmar",
1995,Tim Roth,Archibald Cunningham,Rob Roy,
1995,Kevin Spacey,Keyser Söze,The Usual Suspects,
1996,Edward Norton,Aaron Stampler,Primal Fear,
1996,Cuba Gooding Jr.,Rod Tidwell,Jerry Maguire,
1996,Samuel L. Jackson,Carl Lee Hailey,A Time to Kill,
1996,Paul Scofield,Judge Thomas Danforth,The Crucible,
1996,James Woods,Byron De La Beckwith,Ghosts of Mississippi,
1997,Burt Reynolds,Jack Horner,Boogie Nights,
1997,Rupert Everett,George Downes,My Best Friend's Wedding,
1997,Anthony Hopkins,John Quincy Adams,Amistad,
1997,Greg Kinnear,Simon Bishop,As Good as It Gets,
1997,Jon Voight,Leo F. Drummond,The Rainmaker,
1997,Robin Williams,Dr. Sean Maguire,Good Will Hunting,
1998,Ed Harris,Christof,The Truman Show,
1998,Robert Duvall,Jerome Facher,A Civil Action,
1998,Bill Murray,Herman Blume,Rushmore,
1998,Geoffrey Rush,Philip Henslowe,Shakespeare in Love,
1998,Donald Sutherland,Bill Bowerman,Without Limits,
1998,Billy Bob Thornton,Jacob Mitchell,A Simple Plan,
1999,Tom Cruise,Frank T.J. Mackey,Magnolia,
1999,Michael Caine,Dr. Wilbur Larch,The Cider House Rules,
1999,Michael Clarke Duncan,John Coffey,The Green Mile,
1999,Jude Law,Dickie Greenleaf,The Talented Mr. Ripley,
1999,Haley Joel Osment,Cole Sear,The Sixth Sense,
