Year,Actress,Character,Film
1990,Julia Roberts,Vivian Ward,Pretty Woman
1990,Mia Farrow,Alice Tate,Alice
1990,Andie MacDowell,Bronte Mitchell,Green Card
1990,Demi Moore,Molly Jensen,Ghost
1990,Meryl Streep,Suzanne Vale,Postcards from the Edge
1991,Bette Midler,Dixie Leonard,For the Boys
1991,Ellen Barkin,Amanda Brooks,Switch
1991,Kathy Bates,Evelyn Couch,Fried Green Tomatoes
1991,Anjelica Huston,Morticia Addams,The Addams Family
1991,Michelle Pfeiffer,Frankie,Frankie and Johnny
1992,Miranda Richardson,Rose Arbuthnot,Enchanted April
1992,Geena Davis,Dottie Hinson,A League of Their Own
1992,Whoopi Goldberg,Deloris van Cartier,Sister Act
1992,Shirley MacLaine,Pearl Berman,Used People
1992,Meryl Streep,Madeline Ashton,Death Becomes Her
1993,Angela Bassett,Tina Turner,What's Love Got to Do with It
1993,Stockard Channing,Ouisa Kittredge,Six Degrees of Separation
1993,Anjelica Huston,Morticia Addams,Addams Family Values
1993,Diane Keaton,Carol Lipton,Manhattan Murder Mystery
1993,Meg Ryan,Annie Reed,Sleepless in Seattle
1994,Jamie Lee Curtis,Helen Tasker,True Lies
1994,Geena Davis,Julia Mann,Speechless
1994,Andie MacDowell,Carrie,Four Weddings and a Funeral
1994,Shirley MacLaine,Tess Carlisle,Guarding Tess
1994,Emma Thompson,Dr. Diana Redding,Junior
1995,Nicole Kidman,Suzanne Stone-Maretto,To Die For
1995,Annette Bening,Sydney Ellen Wade,The American President
1995,Sandra Bullock,Lucy Eleanor Moderatz,While You Were Sleeping
1995,Toni Collette,Muriel Heslop,Muriel's Wedding
1995,Vanessa Redgrave,Miss Bentley,A Month by the Lake
1996,Madonna,Eva Perón,Evita
1996,Glenn Close,Cruella de Vil,101 Dalmatians
1996,Frances McDormand,Marge Gunderson,Fargo
1996,Debbie Reynolds,Beatrice Henderson,Mother
1996,Barbra Streisand,Rose Morgan,The Mirror Has Two Faces
1997,Helen Hunt,Carol Connelly,As Good as It Gets
1997,Joey Lauren Adams,Alyssa Jones,Chasing Amy
1997,Pam Grier,Jackie Brown,Jackie Brown
1997,Jennifer Lopez,Selena Quintanilla-Pérez,Selena
1997,Julia Roberts,Julianne Potter,My Best Friend's Wedding
1998,Gwyneth Paltrow,Viola de Lesseps,Shakespeare in Love
1998,Cameron Diaz,Mary Jensen,There's Something About Mary
1998,Jane Horrocks,Laura Hoff,Little Voice
1998,Christina Ricci,Deedee Truitt,The Opposite of Sex
1998,Meg Ryan,Kathleen Kelly,You've Got Mail
1999,Janet McTeer,Mary Jo Walker,Tumbleweeds
1999,Julianne Moore,Mrs. Laura Cheveley,An Ideal Husband
1999,Julia Roberts,Anna Scott,Notting Hill
1999,Sharon Stone,Sarah Little,The Muse
1999,Reese Witherspoon,Tracy Flick,Election
