Year,Actress,Character,Film
1960,Janet Leigh,Marion Crane,Psycho
1960,Ina Balin,Natalie Benzinger,From the Terrace
1960,Shirley Jones,Lulu Bains,Elmer Gantry
1960,Shirley Knight,Reenie Flood,The Dark at the Top of the Stairs
1960,Mary Ure,Clara Dawes,Sons and Lovers
1961,Rita Moreno,Anita,West Side Story
1961,Fay Bainter,Amelia Tilford,The Children's Hour
1961,Judy Garland,Irene Hoffman Wallner,Judgment at Nuremberg
1961,Lotte Lenya,Contessa,The Roman Spring of Mrs. Stone
1961,Pamela Tiffin,Scarlett Hazeltine,"One, Two, Three"
1962,Angela Lansbury,Mrs. Iselin,The Manchurian Candidate
1962,Patty Duke,Helen Keller,The Miracle Worker
1962,Hermione Gingold,Eulalie Mackechnie Shinn,The Music Man
1962,Shirley Knight,Heavenly Finley,Sweet Bird of Youth
1962,Susan Kohner,Martha Freud,Freud: The Secret Passion
1962,Gabriella Pallotta,Rosalba Massimo,The Pigeon That Took Rome
1962,Martha Raye,Lulu,Billy Rose's Jumbo
1962,Kaye Stevens,Nurse Didi,The Interns
1962,Jessica Tandy,Mrs. Adams,Hemingway's Adventures of a Young Man
1962,Tarita Teriipaia,Maimiti,Mutiny on the Bounty
1963,Margaret Rutherford,The Duchess of Brighton,The V.I.P.s
1963,Diane Baker,Emily Stratman,The Prize
1963,Joan Greenwood,Lady Bellaston,Tom Jones
1963,Wendy Hiller,Anna Berniers,Toys in the Attic
1963,Linda Marsh,Thomna Sinnikoglou,America America
1963,Patricia Neal,Alma Brown,Hud
1963,Liselotte Pulver,Sonya,A Global Affair
1963,Lilia Skala,Mother Maria,Lilies of the Field
1964,Agnes Moorehead,Velma Cruther,"Hush… Hush, Sweet Charlotte"
1964,Elizabeth Ashley,Monica Winthrop,The Carpetbaggers
1964,Grayson Hall,Judith Fellowes,The Night of the Iguana
1964,Lila Kedrova,Madame Hortense,Zorba the Greek
1964,Ann Sothern,Sue Ellen Gamadge,The Best Man
1965,Ruth Gordon,Mrs. Clover / The Dealer,Inside Daisy Clover
1965,Joan Blondell,Lady Fingers,The Cincinnati Kid
1965,Joyce Redman,Emilia,Othello
1965,Thelma Ritter,Bertha,Boeing Boeing
1965,Peggy Wood,Mother Abbess,The Sound of Music
1966,Jocelyne LaGarde,Queen Malama,Hawaii
1966,Vivien Merchant,Lily,Alfie
1966,Shelley Winters,Ruby,Alfie
1966,Sandy Dennis,Honey,Who's Afraid of Virginia Woolf?
1966,Geraldine Page,Margery Chanticleer,You're a Big Boy Now
1967,Carol Channing,Muzzy Van Hossmere,Thoroughly Modern Millie
1967,Quentin Dean,Delores Purdy,In the Heat of the Night
1967,Lee Grant,Leslie Colbert,In the Heat of the Night
1967,Lillian Gish,Mrs. Smith,The Comedians
1967,Prunella Ransome,Fanny Robin,Far from the Madding Crowd
1967,Beah Richards,Mrs. Prentice,Guess Who's Coming to Dinner
1968,Ruth Gordon,Minnie Castevet,Rosemary's Baby
1968,Barbara Hancock,Susan the Silent,Finian's Rainbow
1968,Abbey Lincoln,Ivy Moore,For Love of Ivy
1968,Sondra Locke,Mick Kelly,The Heart Is a Lonely Hunter
1968,Jane Merrow,"Alys, Countess of the Vexin",The Lion in Winter
1969,Goldie Hawn,Toni Simmons,Cactus Flower
1969,Marianne McAndrew,Irene Molloy,"Hello, Dolly!"
1969,Siân Phillips,Ursula Mossbank,"Goodbye, Mr. Chips"
1969,Brenda Vaccaro,Shirley,Midnight Cowboy
1969,Susannah York,Alice LeBlanc,"They Shoot Horses, Don't They?"
