Year,Actress,Character,Film
2000,Renée Zellweger,Betty Sizemore,Nurse Betty
2000,Juliette Binoche,Vianne Rocher,Chocolat
2000,Brenda Blethyn,Grace Trevethyn,Saving Grace
2000,Sandra Bullock,Gracie Hart,Miss Congeniality
2000,Tracey Ullman,Frenchy Jackson,Small Time Crooks
2001,Nicole Kidman,Satine,Moulin Rouge!
2001,Thora Birch,Enid,Ghost World
2001,Cate Blanchett,Kate Wheeler,Bandits
2001,Reese Witherspoon,Elle Woods,Legally Blonde
2001,Renée Zellweger,Bridget Jones,Bridget Jones's Diary
2002,Renée Zellweger,Roxie Hart,Chicago
2002,Maggie Gyllenhaal,Lee Holloway,Secretary
2002,Goldie Hawn,Suzette Crooks,The Banger Sisters
2002,Nia Vardalos,"Fotoula ""Toula"" Portokalos",My Big Fat Greek Wedding
2002,Catherine Zeta-Jones,Velma Kelly,Chicago
2003,Diane Keaton,Erica Barry,Something's Gotta Give
2003,Jamie Lee Curtis,Dr. Tess Coleman,Freaky Friday
2003,Scarlett Johansson,Charlotte Riley,Lost in Translation
2003,Diane Lane,Frances Mayes,Under the Tuscan Sun
2003,Helen Mirren,Chris Harper,Calendar Girls
2004,Annette Bening,Julia Lambert,Being Julia
2004,Ashley Judd,Linda Porter,De-Lovely
2004,Emmy Rossum,Christine Daaé,The Phantom of the Opera
2004,Kate Winslet,Clementine Kruczynski,Eternal Sunshine of the Spotless Mind
2004,Renée Zellweger,Bridget Jones,Bridget Jones: The Edge of Reason
2005,Reese Witherspoon,June Carter Cash,Walk the Line
2005,Judi Dench,Laura Henderson,Mrs Henderson Presents
2005,Keira Knightley,Elizabeth Bennet,Pride & Prejudice
2005,Laura Linney,Joan Berkman,The Squid and the Whale
2005,Sarah Jessica Parker,Meredith Morton,The Family Stone
2006,Meryl Streep,Miranda Priestly,The Devil Wears Prada
2006,Annette Bening,Deirdre Burroughs,Running with Scissors
2006,Toni Collette,Sheryl Hoover,Little Miss Sunshine
2006,Beyoncé Knowles,Deena Jones,Dreamgirls
2006,Renée Zellweger,Beatrix Potter,Miss Potter
2007,Marion Cotillard,Édith Piaf,La Vie en Rose
2007,Amy Adams,Giselle,Enchanted
2007,Nikki Blonsky,Tracy Turnblad,Hairspray
2007,Helena Bonham Carter,Mrs. Lovett,Sweeney Todd: The Demon Barber of Fleet Street
2007,Elliot Page,Juno MacGuff,Juno
2008,Sally Hawkins,"Pauline ""Poppy"" Cross",Happy-Go-Lucky
2008,Rebecca Hall,Vicky Marielle,Vicky Cristina Barcelona
2008,Frances McDormand,Linda Litzke,Burn After Reading
2008,Meryl Streep,Donna Sheridan,Mamma Mia!
2008,Emma Thompson,Kate Walker,Last Chance Harvey
2009,Meryl Streep,Julia Child,Julie & Julia
2009,Meryl Streep,Jane Adler,It's Complicated
2009,Sandra Bullock,Margaret Tate,The Proposal
2009,Marion Cotillard,Luisa Acari Contini,Nine
2009,Julia Roberts,Claire Stenwick,Duplicity
