Year,Actor,Character,Film
1950,Fred Astaire,Bert Kalmar,Three Little Words
1951,Danny Kaye,Jack Martin / Henri Duran,On the Riviera
1951,Gene Kelly,Jerry Mulligan,An American in Paris
1952,Donald O'Connor,Cosmo Brown,Singin' in the Rain
1953,David Niven,David Slater,The Moon Is Blue
1954,James Mason,Norman Maine,A Star Is Born
1955,Tom Ewell,Richard Sherman,The Seven Year Itch
1956,Cantinflas,Passepartout,Around the World in 80 Days
1956,Marlon Brando,Sakini,The Teahouse of the August Moon
1956,Glenn Ford,Captain Fisby,The Teahouse of the August Moon
1956,Yul Brynner,King Mongkut of Siam,The King and I
1956,Danny Kaye,Hubert Hawkins,The Court Jester
1957,Frank Sinatra,Joey Evans,Pal Joey
1957,Maurice Chevalier,Claude Chavasse,Love in the Afternoon
1957,Glenn Ford,Lt. J. G. Max Siegel,Don't Go Near the Water
1957,David Niven,Godfrey Smith,My Man Godfrey
1957,Tony Randall,Rockwell P. Hunter,Will Success Spoil Rock Hunter?
1958,Danny Kaye,S. L. Jacobowsky,Me and the Colonel
1958,Maurice Chevalier,Honoré Lachaille,Gigi
1958,Louis Jourdan,Gaston Lachaille,Gigi
1958,Clark Gable,James Gannon,Teacher's Pet
1958,Cary Grant,Philip Adams,Indiscreet
1959,Jack Lemmon,Jerry / Daphne,Some Like It Hot
1959,Clark Gable,Russell Ward,But Not for Me
1959,Cary Grant,Lt. Cmdr. Matt T. Sherman,Operation Petticoat
1959,Dean Martin,Michael Haney,Who Was That Lady?
1959,Sidney Poitier,Porgy,Porgy and Bess
