Year,Actress,Character,Film
1960,Shirley MacLaine,Fran Kubelik,The Apartment
1960,Lucille Ball,Kitty Weaver,The Facts of Life
1960,Capucine,Princess Carolyne zu Sayn-Wittgenstein,Song Without End
1960,Judy Holliday,Ella Peterson,Bells Are Ringing
1960,Sophia Loren,Lucia Curcio,It Started in Naples
1961,Rosalind Russell,Bertha Jacoby,A Majority of One
1961,Bette Davis,Apple Annie,Pocketful of Miracles
1961,Audrey Hepburn,Holly Golightly,Breakfast at Tiffany's
1961,Hayley Mills,Susan Evers / Sharon McKendrick,The Parent Trap
1961,Miyoshi Umeki,Mei Li,Flower Drum Song
1962,Rosalind Russell,Rose Hovick,Gypsy
1962,Doris Day,Kitty Wonder,Billy Rose's Jumbo
1962,Jane Fonda,Isabel Haverstick,Period of Adjustment
1962,Shirley Jones,Marian Paroo,The Music Man
1962,Natalie Wood,Louise Hovick / Gypsy Rose Lee,Gypsy
1963,Shirley MacLaine,Irma la Douce,Irma la Douce
1963,Molly Picon,Sophie Baker,Come Blow Your Horn
1963,Jill St. John,Peggy John,Come Blow Your Horn
1963,Ann-Margret,Kim MacAffee,Bye Bye Birdie
1963,Doris Day,Ellen Wagstaff Arden,"Move Over, Darling"
1963,Audrey Hepburn,"Regina ""Reggie"" Lampert",Charade
1963,Hayley Mills,Nancy Carey,Summer Magic
1963,Joanne Woodward,Sam Blake / Mimi,A New Kind of Love
1964,Julie Andrews,Mary Poppins,Mary Poppins
1964,Audrey Hepburn,Eliza Doolittle,My Fair Lady
1964,Sophia Loren,Filumena Marturano,Marriage Italian Style
1964,Melina Mercouri,Elizabeth Lipp,Topkapi
1964,Debbie Reynolds,Molly Brown,The Unsinkable Molly Brown
1965,Julie Andrews,Maria von Trapp,The Sound of Music
1965,Jane Fonda,Cat Ballou,Cat Ballou
1965,Barbara Harris,Dr. Sandra Markowitz,A Thousand Clowns
1965,Rita Tushingham,Nancy Jones,The Knack ...and How to Get It
1965,Natalie Wood,Daisy Clover,Inside Daisy Clover
1966,Lynn Redgrave,Georgy,Georgy Girl
1966,Jane Fonda,Ellen Gordon,Any Wednesday
1966,Elizabeth Hartman,Barbara Darling,You're a Big Boy Now
1966,Shirley MacLaine,Nicole Chang,Gambit
1966,Vanessa Redgrave,Leonie Delt,Morgan!
1967,Anne Bancroft,Mrs. Robinson,The Graduate
1967,Julie Andrews,Millie Dillmount,Thoroughly Modern Millie
1967,Audrey Hepburn,"Joanna ""Jo"" Wallace",Two for the Road
1967,Shirley MacLaine,Paulette / Maria Teresa / Linda / Edith / Eve Minou / Marie / Jeanne,Woman Times Seven
1967,Vanessa Redgrave,Guenevere,Camelot
1968,Barbra Streisand,Fanny Brice,Funny Girl
1968,Julie Andrews,Gertrude Lawrence,Star!
1968,Lucille Ball,Helen North,"Yours, Mine and Ours"
1968,Petula Clark,Sharon McLongeran,Finian's Rainbow
1968,Gina Lollobrigida,Carla Campbell,"Buona Sera, Mrs. Campbell"
1969,Patty Duke,Natalie Miller,"Me, Natalie"
1969,Ingrid Bergman,Stephanie Dickinson,Cactus Flower
1969,Dyan Cannon,Alice Henderson,Bob & Carol & Ted & Alice
1969,Kim Darby,Doris Bolton Owen,Generation
1969,Mia Farrow,Mary,John and Mary
1969,Shirley MacLaine,Charity Hope Valentine,Sweet Charity
1969,Anna Magnani,Rose Bombolini,The Secret of Santa Vittoria
1969,Barbra Streisand,Dolly Levi,"Hello, Dolly!"
