Year,Actress,Character,Film
1990,Whoopi Goldberg,Oda Mae Brown,Ghost
1990,Lorraine Bracco,Karen Hill,Goodfellas
1990,Diane Ladd,Marietta Fortune,Wild at Heart
1990,Shirley MacLaine,Doris Mann,Postcards from the Edge
1990,Mary McDonnell,Stands With a Fist,Dances with Wolves
1990,Winona Ryder,Charlotte Flax,Mermaids
1991,Mercedes Ruehl,Anne Napolitano,The Fisher King
1991,Nicole Kidman,Drew Preston,Billy Bathgate
1991,Diane Ladd,Mother,Rambling Rose
1991,Juliette Lewis,Danielle Bowden,Cape Fear
1991,Jessica Tandy,Ninny Threadgoode,Fried Green Tomatoes
1992,Joan Plowright,Mrs. Fisher,Enchanted April
1992,Geraldine Chaplin,Hannah Chaplin,Chaplin
1992,Judy Davis,Sally,Husbands and Wives
1992,Miranda Richardson,Ingrid Fleming,Damage
1992,Alfre Woodard,Chantelle,Passion Fish
1993,Winona Ryder,May Welland,The Age of Innocence
1993,Penelope Ann Miller,Gail,Carlito's Way
1993,Anna Paquin,Flora McGrath,The Piano
1993,Rosie Perez,Carla Rodrigo,Fearless
1993,Emma Thompson,Gareth Peirce,In the Name of the Father
1994,Dianne Wiest,Helen Sinclair,Bullets over Broadway
1994,Kirsten Dunst,Claudia,Interview with the Vampire
1994,Sophia Loren,Isabella de la Fontaine,Prêt-à-Porter
1994,Uma Thurman,Mia Wallace,Pulp Fiction
1994,Robin Wright,Jenny Curran,Forrest Gump
1995,Mira Sorvino,Linda Ash,Mighty Aphrodite
1995,Anjelica Huston,Mary,The Crossing Guard
1995,Kathleen Quinlan,Marilyn Lovell,Apollo 13
1995,Kyra Sedgwick,Emma Rae King,Something to Talk About
1995,Kate Winslet,Marianne Dashwood,Sense and Sensibility
1996,Lauren Bacall,Hannah Morgan,The Mirror Has Two Faces
1996,Joan Allen,Elizabeth Proctor,The Crucible
1996,Juliette Binoche,Hana,The English Patient
1996,Barbara Hershey,Madame Serena Merle,The Portrait of a Lady
1996,Marianne Jean-Baptiste,Hortense Cumberbatch,Secrets & Lies
1996,Marion Ross,Rosie Dunlop,The Evening Star
1997,Kim Basinger,Lynn Bracken,L.A. Confidential
1997,Joan Cusack,Emily Montgomery,In & Out
1997,Julianne Moore,Amber Waves,Boogie Nights
1997,Gloria Stuart,Rose Calvert,Titanic
1997,Sigourney Weaver,Janey Carver,The Ice Storm
1998,Lynn Redgrave,Hanna,Gods and Monsters
1998,Kathy Bates,Libby Holden,Primary Colors
1998,Brenda Blethyn,Mari Hoff,Little Voice
1998,Judi Dench,Queen Elizabeth I,Shakespeare in Love
1998,Sharon Stone,Gwen Dillon,The Mighty
1999,Angelina Jolie,Lisa Rowe,"Girl, Interrupted"
1999,Cameron Diaz,Lotte Schwartz,Being John Malkovich
1999,Catherine Keener,Maxine Lund,Being John Malkovich
1999,Samantha Morton,Hattie,Sweet and Lowdown
1999,Natalie Portman,Ann August,Anywhere But Here
1999,Chloë Sevigny,Lana Tisdel,Boys Don't Cry
