Year,Actress,Character,Film
2010,Annette Bening,"Dr. Nicole ""Nic"" Allgood",The Kids Are All Right
2010,Anne Hathaway,Maggie Murdock,Love & Other Drugs
2010,Angelina Jolie,Elise Clifton-Ward,The Tourist
2010,Julianne Moore,Jules Allgood,The Kids Are All Right
2010,Emma Stone,Olive Penderghast,Easy A
2011,Michelle Williams,Marilyn Monroe,My Week with Marilyn
2011,Jodie Foster,Penelope Longstreet,Carnage
2011,Charlize Theron,Mavis Gary,Young Adult
2011,Kristen Wiig,Annie Walker,Bridesmaids
2011,Kate Winslet,Nancy Cowan,Carnage
2012,Jennifer Lawrence,Tiffany Maxwell,Silver Linings Playbook
2012,Emily Blunt,Harriet Chetwode-Talbot,Salmon Fishing in the Yemen
2012,Judi Dench,Evelyn Greenslade,The Best Exotic Marigold Hotel
2012,Maggie Smith,Jean Horton,Quartet
2012,Meryl Streep,Kay Soames,Hope Springs
2013,Amy Adams,Sydney Prosser / Lady Edith Greensly,American Hustle
2013,Julie Delpy,Céline Wallace,Before Midnight
2013,Greta Gerwig,Frances Halladay,Frances Ha
2013,Julia Louis-Dreyfus,Eva Henderson,Enough Said
2013,Meryl Streep,Violet Weston,August: Osage County
2014,Amy Adams,Margaret Keane,Big Eyes
2014,Emily Blunt,The Baker's Wife,Into the Woods
2014,Helen Mirren,Madame Mallory,The Hundred-Foot Journey
2014,Julianne Moore,Havana Segrand,Maps to the Stars
2014,Quvenzhané Wallis,Annie Bennett,Annie
2015,Jennifer Lawrence,Joy Mangano,Joy
2015,Melissa McCarthy,Susan Cooper,Spy
2015,Amy Schumer,Amy Townsend,Trainwreck
2015,Maggie Smith,Mary Shepherd / Margaret Fairchild,The Lady in the Van
2015,Lily Tomlin,Elle Reid,Grandma
2016,Emma Stone,Mia Dolan,La La Land
2016,Annette Bening,Dorothea Fields,20th Century Women
2016,Lily Collins,Marla Mabrey,Rules Don't Apply
2016,Hailee Steinfeld,Nadine Franklin,The Edge of Seventeen
2016,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins
2017,Saoirse Ronan,"Christine ""Lady Bird"" McPherson",Lady Bird
2017,Judi Dench,Queen Victoria,Victoria & Abdul
2017,Helen Mirren,Ella Spencer,The Leisure Seeker
2017,Margot Robbie,Tonya Harding,"I, Tonya"
2017,Emma Stone,Billie Jean King,Battle of the Sexes
2018,Olivia Colman,Queen Anne,The Favourite
2018,Emily Blunt,Mary Poppins,Mary Poppins Returns
2018,Elsie Fisher,Kayla Day,Eighth Grade
2018,Charlize Theron,Marlo Moreau,Tully
2018,Constance Wu,Rachel Chu,Crazy Rich Asians
2019,Awkwafina,Billi Wang,The Farewell
2019,Ana de Armas,Marta Cabrera,Knives Out
2019,Cate Blanchett,Bernadette Fox,"Where'd You Go, Bernadette"
2019,Beanie Feldstein,Molly Davidson,Booksmart
2019,Emma Thompson,Katherine Newbury,Late Night
