Year,Actor,Character,Film
1943,Akim Tamiroff,Pablo,For Whom the Bell Tolls
1944,Barry Fitzgerald,Father Fitzgibbon,Going My Way
1945,J. Carrol Naish,Charley Martin,A Medal for Benny
1946,Clifton Webb,Elliott Templeton,The Razor's Edge
1947,Edmund Gwenn,Kris Kringle,Miracle on 34th Street
1948,Walter Huston,Howard,The Treasure of the Sierra Madre
1949,James Whitmore,Kinnie,Battleground
