Year,Actor,Character,Film
1980,Ray Sharkey,Vinnie Vacarri,The Idolmaker
1980,Neil Diamond,Yussel Rabinovitch,The Jazz Singer
1980,Tommy Lee Jones,Doolittle Mooney Lynn,Coal Miner's Daughter
1980,Paul Le Mat,Melvin Dummar,Melvin and Howard
1980,Walter Matthau,Miles Kendig,Hopscotch
1981,Dudley Moore,Arthur Bach,Arthur
1981,Alan Alda,Jack Burroughs,The Four Seasons
1981,George Hamilton,Don Diego Vega / Zorro / Wigglesworth / Ramon Vega,"Zorro, The Gay Blade"
1981,Steve Martin,Arthur Parker,Pennies from Heaven
1981,Walter Matthau,Dan Snow,First Monday in October
1982,Dustin Hoffman,Michael Dorsey / Dorothy Michaels,Tootsie
1982,Peter O'Toole,Alan Swann,My Favorite Year
1982,Al Pacino,Ivan Travalian,Author! Author!
1982,Robert Preston,"Caroll ""Toddy"" Todd",Victor Victoria
1982,Henry Winkler,Chuck,Night Shift
1983,Michael Caine,Frank Bryant,Educating Rita
1983,Woody Allen,Leonard Zelig,Zelig
1983,Tom Cruise,Joel Goodson,Risky Business
1983,Eddie Murphy,Billy Ray Valentine,Trading Places
1983,Mandy Patinkin,Avigdor,Yentl
1984,Dudley Moore,Rob Salinger,Micki & Maude
1984,Steve Martin,Roger Cobb,All of Me
1984,Eddie Murphy,Axel Foley,Beverly Hills Cop
1984,Bill Murray,Peter Venkman,Ghostbusters
1984,Robin Williams,Vladimir Ivanoff,Moscow on the Hudson
1985,Jack Nicholson,Charley Partanna,Prizzi's Honor
1985,Jeff Daniels,Tom Baxter / Gil Sheperd,The Purple Rose of Cairo
1985,Griffin Dunne,Paul Hackett,After Hours
1985,Michael J. Fox,Marty McFly,Back to the Future
1985,James Garner,Murphy Jones,Murphy's Romance
1986,Paul Hogan,"Michael J. ""Crocodile"" Dundee",Crocodile Dundee
1986,Matthew Broderick,Ferris Bueller,Ferris Bueller's Day Off
1986,Jeff Daniels,Charles Driggs,Something Wild
1986,Danny DeVito,Sam Stone,Ruthless People
1986,Jack Lemmon,Harvey Fairchild,That's Life!
1987,Robin Williams,Adrian Cronauer,"Good Morning, Vietnam"
1987,Nicolas Cage,Ronny Cammareri,Moonstruck
1987,Danny DeVito,Owen Lift,Throw Momma from the Train
1987,William Hurt,Tom Grunick,Broadcast News
1987,Steve Martin,C. D. Bales,Roxanne
1987,Patrick Swayze,Johnny Castle,Dirty Dancing
1988,Tom Hanks,Josh Baskin,Big
1988,Michael Caine,Lawrence Jamieson,Dirty Rotten Scoundrels
1988,John Cleese,Archie Leach,A Fish Called Wanda
1988,Robert De Niro,Jack Walsh,Midnight Run
1988,Bob Hoskins,Eddie Valliant,Who Framed Roger Rabbit
1989,Morgan Freeman,Hoke Colburn,Driving Miss Daisy
1989,Billy Crystal,Harry Burns,When Harry Met Sally...
1989,Michael Douglas,Oliver Rose,The War of the Roses
1989,Steve Martin,Gil Buckman,Parenthood
1989,Jack Nicholson,Jack Napier / The Joker,Batman
