Year,Actor,Character,Film
1960,Sal Mineo,Dov Landau,Exodus
1960,Woody Strode,Draba,Spartacus
1960,Peter Ustinov,Lentulus Batiatus,Spartacus
1960,Lee Kinsolving,Sammy Goldenbaum,The Dark at the Top of the Stairs
1960,Ray Stricklyn,Jeb Lucas Tyler,The Plunderers
1961,George Chakiris,Bernardo,West Side Story
1961,Montgomery Clift,Rudolph Petersen,Judgment at Nuremberg
1961,Jackie Gleason,Minnesota Fats,The Hustler
1961,Tony Randall,Peter 'Pete' Ramsey,Lover Come Back
1961,George C. Scott,Bert Gordon,The Hustler
1962,Omar Sharif,Sherif Ali,Lawrence of Arabia
1962,Ed Begley,Tom Boss Finley,Sweet Bird of Youth
1962,Victor Buono,Edwin Flagg,What Ever Happened to Baby Jane?
1962,Harry Guardino,Sgt. Joseph Contini,The Pigeon That Took Rome
1962,Ross Martin,Garland Humphrey 'Red' Lynch,Experiment in Terror
1962,Paul Newman,The Battler,Hemingway's Adventures of a Young Man
1962,Cesar Romero,Robert Swan / Adam Wright,If a Man Answers
1962,Telly Savalas,Feto Gomez,Birdman of Alcatraz
1962,Peter Sellers,Clare Quilty,Lolita
1962,Harold J. Stone,Frank Garnell,The Chapman Report
1963,John Huston,Cardinal Glennon,The Cardinal
1963,Paul Mann,Aleko Sinnikoglou,America America
1963,Gregory Rozakis,Hohannes Gardashian,America America
1963,Lee J. Cobb,Harry R. Baker,Come Blow Your Horn
1963,Bobby Darin,Cpl. Jim Tompkins,"Captain Newman, M.D."
1963,Melvyn Douglas,Homer Bannon,Hud
1963,Hugh Griffith,Squire Western,Tom Jones
1963,Roddy McDowall,"Octavian, alias Augustus",Cleopatra
1964,Edmond O'Brien,Senator Ray Clark,Seven Days in May
1964,Cyril Delevanti,Nonno,The Night of the Iguana
1964,Stanley Holloway,Alfred P. Doolittle,My Fair Lady
1964,Gilbert Roland,Dull Knife,Cheyenne Autumn
1964,Lee Tracy,Art Hockstader,The Best Man
1965,Oskar Werner,Fiedler,The Spy Who Came in from the Cold
1965,Red Buttons,Arthur Landau,Harlow
1965,Frank Finlay,Iago,Othello
1965,Hardy Krüger,Heinrich Dorfmann,The Flight of the Phoenix
1965,Telly Savalas,Sgt. Guffy,Battle of the Bulge
1966,Richard Attenborough,Frenchy Burgoyne,The Sand Pebbles
1966,Mako,Po-han,The Sand Pebbles
1966,John Saxon,Chuy Medina,The Appaloosa
1966,George Segal,Nick,Who's Afraid of Virginia Woolf?
1966,Robert Shaw,Henry VIII,A Man for All Seasons
1967,Richard Attenborough,Albert Blossom,Doctor Dolittle
1967,John Cassavetes,Victor R. Franko,The Dirty Dozen
1967,George Kennedy,Dragline,Cool Hand Luke
1967,Michael J. Pollard,C.W. Moss,Bonnie and Clyde
1967,Efrem Zimbalist Jr.,Sam Hendrix,Wait Until Dark
1968,Daniel Massey,Noël Coward,Star!
1968,Beau Bridges,Tim Austin,For Love of Ivy
1968,Ossie Davis,Joseph Lee,The Scalphunters
1968,Hugh Griffith,The Magistrate,Oliver!
1968,Martin Sheen,Timmy Cleary,The Subject Was Roses
1969,Gig Young,Rocky,"They Shoot Horses, Don't They?"
1969,Red Buttons,Sailor,"They Shoot Horses, Don't They?"
1969,Jack Nicholson,George Hanson,Easy Rider
1969,Anthony Quayle,Cardinal Thomas Wolsey,Anne of the Thousand Days
1969,Mitch Vogel,Lucius McCaslin,The Reivers
