Year,Actor,Character,Film
2020,Sacha Baron Cohen,Borat Sagdiyev,Borat Subsequent Moviefilm
2020,James Corden,Barry Glickman,The Prom
2020,Lin-Manuel Miranda,Alexander Hamilton,Hamilton
2020,Dev Patel,David Copperfield,The Personal History of David Copperfield
2020,Andy Samberg,Nyles,Palm Springs
2021,Andrew Garfield,Jonathan Larson,"Tick, Tick... Boom!"
2021,Leonardo DiCaprio,Randall Mindy,Don't Look Up
2021,Peter Dinklage,Cyrano de Bergerac,Cyrano
2021,Cooper Hoffman,Gary Valentine,Licorice Pizza
2021,Anthony Ramos,Usnavi de la Vega,In the Heights
2022,Colin Farrell,Pádraic Súilleabháin,The Banshees of Inisherin
2022,Diego Calva,Manny Torres,Babylon
2022,Daniel Craig,Benoit Blanc,Glass Onion: A Knives Out Mystery
2022,Adam Driver,Jack Gladney,White Noise
2022,Ralph Fiennes,Julian Slowik,The Menu
2023,Nicolas Cage,Dr. Paul Matthews,Dream Scenario
2023,Timothée Chalamet,Willy Wonka,Wonka
2023,Matt Damon,Sonny Vaccaro,Air
2023,Paul Giamatti,Paul Hunham,The Holdovers
2023,Joaquin Phoenix,Beau Wasserman,Beau Is Afraid
2023,Jeffrey Wright,"Thelonius ""Monk"" Ellis",American Fiction
