Year,Actress,Character,Film
1970,Karen Black,Rayette Dipesto,Five Easy Pieces
1970,Maureen Stapleton,Inez Guerrero,Airport
1970,Tina Chen,Nyuk Tsin,The Hawaiians
1970,Lee Grant,Joyce Enders,The Landlord
1970,Sally Kellerman,Margaret O'Houlihan,M*A*S*H
1971,Ann-Margret,Bobbie,Carnal Knowledge
1971,Ellen Burstyn,Lois Farrow,The Last Picture Show
1971,Cloris Leachman,Ruth Popper,The Last Picture Show
1971,Diana Rigg,Barbara Drummond,The Hospital
1971,Maureen Stapleton,Karen Nash,Plaza Suite
1972,Shelley Winters,Belle Rosen,The Poseidon Adventure
1972,Marisa Berenson,Natalia Landauer,Cabaret
1972,Jeannie Berlin,Lila Kolodny,The Heartbreak Kid
1972,Helena Kallianiotes,Jackie Burdette,Kansas City Bomber
1972,Geraldine Page,Gertrude,Pete 'n' Tillie
1973,Linda Blair,Regan MacNeil,The Exorcist
1973,Valentina Cortese,Severine,Day for Night (La nuit américaine)
1973,Madeline Kahn,Trixie Delight,Paper Moon
1973,Kate Reid,Claire,A Delicate Balance
1973,Sylvia Sidney,Mrs. Pritchett,"Summer Wishes, Winter Dreams"
1974,Karen Black,Myrtle Wilson,The Great Gatsby
1974,Beatrice Arthur,Vera Charles,Mame
1974,Jennifer Jones,Lisolette Mueller,The Towering Inferno
1974,Madeline Kahn,Elizabeth,Young Frankenstein
1974,Diane Ladd,Flo Castleberry,Alice Doesn't Live Here Anymore
1975,Brenda Vaccaro,Linda Riggs,Jacqueline Susann's Once Is Not Enough
1975,Ronee Blakley,Barbara Jean,Nashville
1975,Geraldine Chaplin,Opal,Nashville
1975,Barbara Harris,Albuquerque,Nashville
1975,Lily Tomlin,Linnea Reese,Nashville
1975,Lee Grant,Felicia Karpf,Shampoo
1976,Katharine Ross,Mira Hauser,Voyage of the Damned
1976,Lee Grant,Lili Rosen,Voyage of the Damned
1976,Jodie Foster,Iris Steensma,Taxi Driver
1976,Marthe Keller,Elsa Opel,Marathon Man
1976,Piper Laurie,Margaret White,Carrie
1976,Bernadette Peters,Vilma Kaplan,Silent Movie
1976,Shelley Winters,Fay Lapinsky,"Next Stop, Greenwich Village"
1977,Vanessa Redgrave,Julia,Julia
1977,Ann-Margret,Lady Booby,Joseph Andrews
1977,Joan Blondell,Sarah Goode,Opening Night
1977,Leslie Browne,Emilia Rodgers,The Turning Point
1977,Quinn Cummings,Lucy McFadden,The Goodbye Girl
1977,Lilia Skala,Rosa,Roseland
1978,Dyan Cannon,Julia Farnsworth,Heaven Can Wait
1978,Carol Burnett,Tulip Brenner,A Wedding
1978,Maureen Stapleton,Pearl,Interiors
1978,Meryl Streep,Linda,The Deer Hunter
1978,Mona Washbourne,Aunt,Stevie
1979,Meryl Streep,Joanna Kramer,Kramer vs. Kramer
1979,Jane Alexander,Margaret Phelps,Kramer vs. Kramer
1979,Kathleen Beller,Elizabeth (Buffy) Koenig,Promises in the Dark
1979,Candice Bergen,Jessica Potter,Starting Over
1979,Valerie Harper,Faye Medwick,Chapter Two
