Year,Actor,Character,Film,Ref
2000,Benicio del Toro,Javier Rodriguez,Traffic,
2000,Jeff Bridges,Jackson Evans,The Contender,
2000,Willem Dafoe,Max Schreck,Shadow of the Vampire,
2000,Albert Finney,Edward L. Masry,Erin Brockovich,
2000,Joaquin Phoenix,Commodus,Gladiator,
2001,Jim Broadbent,John Bayley,Iris,
2001,Steve Buscemi,Seymour,Ghost World,
2001,Hayden Christensen,Sam Monroe,Life as a House,
2001,Ben Kingsley,Don Logan,Sexy Beast,
2001,Jude Law,Gigolo Joe,A.I. Artificial Intelligence,
2001,Jon Voight,Howard Cosell,Ali,
2002,Chris Cooper,John Laroche,Adaptation,
2002,Ed Harris,Richard Brown,The Hours,
2002,Paul Newman,John Rooney,Road to Perdition,
2002,Dennis Quaid,Frank Whitaker,Far from Heaven,
2002,John C. Reilly,Amos Hart,Chicago,
2003,Tim Robbins,Dave Boyle,Mystic River,
2003,Alec Baldwin,Shelly Kaplow,The Cooler,
2003,Albert Finney,Ed Bloom (Old),Big Fish,
2003,William H. Macy,"""Tick Tock"" McLaughlin",Seabiscuit,
2003,Peter Sarsgaard,Chuck Lane,Shattered Glass,
2003,Ken Watanabe,Lord Moritsugu Katsumoto,The Last Samurai,
2004,Clive Owen,Larry Gray,Closer,
2004,David Carradine,Bill,Kill Bill: Volume 2,
2004,Jamie Foxx,Max Durocher,Collateral,
2004,Thomas Haden Church,Jack Cole,Sideways,
2004,Morgan Freeman,"Eddie ""Scrap-Iron"" Dupris",Million Dollar Baby,
2005,George Clooney,Bob Barnes,Syriana,
2005,Matt Dillon,John Ryan,Crash,
2005,Will Ferrell,Franz Liebkind,The Producers,
2005,Paul Giamatti,Joe Gould,Cinderella Man,
2005,Bob Hoskins,Vivian Van Damm,Mrs Henderson Presents,
2006,Eddie Murphy,"James ""Thunder"" Early",Dreamgirls,
2006,Jack Nicholson,Frank Costello,The Departed,
2006,Mark Wahlberg,Staff Sgt. Sean Dignam,The Departed,
2006,Ben Affleck,George Reeves,Hollywoodland,
2006,Brad Pitt,Richard Jones,Babel,
2007,Javier Bardem,Anton Chigurh,No Country for Old Men,
2007,Casey Affleck,Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,
2007,Philip Seymour Hoffman,Gust Avrakotos,Charlie Wilson's War,
2007,John Travolta,Edna Turnblad,Hairspray,
2007,Tom Wilkinson,Arthur Edens,Michael Clayton,
2008,Heath Ledger  (posthumous),Joker,The Dark Knight,
2008,Tom Cruise,Les Grossman,Tropic Thunder,
2008,Robert Downey Jr.,Kirk Lazarus,Tropic Thunder,
2008,Ralph Fiennes,William Cavendish,The Duchess,
2008,Philip Seymour Hoffman,Father Brendan Flynn,Doubt,
2009,Christoph Waltz,Col. Hans Landa,Inglourious Basterds,
2009,Matt Damon,Francois Pienaar,Invictus,
2009,Woody Harrelson,Capt. Tony Stone,The Messenger,
2009,Christopher Plummer,Leo Tolstoy,The Last Station,
2009,Stanley Tucci,George Harvey,The Lovely Bones,
