Year,Actress,Character,Film
1980,Mary Steenburgen,Lynda Dummar,Melvin and Howard
1980,Lucie Arnaz,Molly Bell,The Jazz Singer
1980,Beverly D'Angelo,Patsy Cline,Coal Miner's Daughter
1980,Cathy Moriarty,Vicki LaMotta,Raging Bull
1980,Debra Winger,Sissy Davis,Urban Cowboy
1981,Joan Hackett,Toby Landau,Only When I Laugh
1981,Kristy McNichol,Polly Hines,Only When I Laugh
1981,Jane Fonda,Chelsea Thayer Wayne,On Golden Pond
1981,Maureen Stapleton,Emma Goldman,Reds
1981,Mary Steenburgen,Mother,Ragtime
1982,Jessica Lange,Julie Nichols,Tootsie
1982,Cher,Sissy,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean"
1982,Lainie Kazan,Belle Carroca,My Favorite Year
1982,Kim Stanley,Lillian Farmer,Frances
1982,Lesley Ann Warren,Norma Cassady,Victor/Victoria
1983,Cher,Dolly Pelliker,Silkwood
1983,Barbara Carrera,Fatima Blush,Never Say Never Again
1983,Tess Harper,Rosa Lee,Tender Mercies
1983,Linda Hunt,Billy Kwan,The Year of Living Dangerously
1983,Joanna Pacuła,Irina Asanova,Gorky Park
1984,Peggy Ashcroft,Mrs. Moore,A Passage to India
1984,Drew Barrymore,Casey Brodsky,Irreconcilable Differences
1984,Kim Basinger,Memo Paris,The Natural
1984,Jacqueline Bisset,Yvonne Firmin,Under the Volcano
1984,Melanie Griffith,Holly Body,Body Double
1984,Christine Lahti,Hazel Zanussi,Swing Shift
1984,Lesley Ann Warren,Gilda,Songwriter
1985,Meg Tilly,Sister Agnes,Agnes of God
1985,Sônia Braga,Leni Lamaison / Marta / Spider Woman,Kiss of the Spider Woman
1985,Anjelica Huston,Maerose Prizzi,Prizzi's Honor
1985,Amy Madigan,Sunny Mackenzie-Sobel,Twice in a Lifetime
1985,Kelly McGillis,Rachel Lapp,Witness
1985,Oprah Winfrey,Sofia Johnson,The Color Purple
1986,Maggie Smith,Charlotte Bartlett,A Room with a View
1986,Linda Kozlowski,Sue Charlton,Crocodile Dundee
1986,Mary Elizabeth Mastrantonio,Carmen,The Color of Money
1986,Cathy Tyson,Simone,Mona Lisa
1986,Dianne Wiest,Holly,Hannah and Her Sisters
1987,Olympia Dukakis,Rose Castorini,Moonstruck
1987,Norma Aleandro,Florencia,Gaby: A True Story
1987,Anne Archer,Beth Gallagher,Fatal Attraction
1987,Anne Ramsey,Mrs. Lift,Throw Momma from the Train
1987,Vanessa Redgrave,Peggy Ramsay,Prick Up Your Ears
1988,Sigourney Weaver,Katharine Parker,Working Girl
1988,Sônia Braga,Madonna Mendez,Moon Over Parador
1988,Barbara Hershey,Mary Magdalene,The Last Temptation of Christ
1988,Lena Olin,Sabina,The Unbearable Lightness of Being
1988,Diane Venora,Chan Parker,Bird
1989,Julia Roberts,Shelby Eatenton Latcherie,Steel Magnolias
1989,Bridget Fonda,Mandy Rice-Davies,Scandal
1989,Brenda Fricker,Mrs. Brown,My Left Foot
1989,Laura San Giacomo,Cynthia Bishop,"Sex, Lies, and Videotape"
1989,Dianne Wiest,Helen Buckman,Parenthood
