Year,Actress,Character,Film
1970,Carrie Snodgress,Tina Balser,Diary of a Mad Housewife
1970,Julie Andrews,Lili Smith,Darling Lili
1970,Sandy Dennis,Gwen Kellerman,The Out-of-Towners
1970,Angela Lansbury,Countess Erthe Van Orstein,Something for Everyone
1970,Barbra Streisand,Doris,The Owl and the Pussycat
1971,Twiggy,Polly Browne,The Boy Friend
1971,Sandy Duncan,Amy Cooper,Star Spangled Girl
1971,Ruth Gordon,Maude Chardin,Harold and Maude
1971,Angela Lansbury,Eglantine Price,Bedknobs and Broomsticks
1971,Elaine May,Henrietta Lowell,A New Leaf
1972,Liza Minnelli,Sally Bowles,Cabaret
1972,Carol Burnett,Tillie Schlaine,Pete 'n' Tillie
1972,Goldie Hawn,Jill Tanner,Butterflies Are Free
1972,Juliet Mills,Pamela Piggott,Avanti!
1972,Maggie Smith,Augusta Bertram,Travels with My Aunt
1973,Glenda Jackson,Vicky Allesio,A Touch of Class
1973,Yvonne Elliman,Mary Magdalene,Jesus Christ Superstar
1973,Cloris Leachman,Nettie Appleby,Charley and the Angel
1973,Tatum O'Neal,Addie Loggins,Paper Moon
1973,Liv Ullmann,Ann Stanley,40 Carats
1974,Raquel Welch,Constance Bonacieux,The Three Musketeers
1974,Lucille Ball,Mame Dennis,Mame
1974,Diahann Carroll,Claudine Price,Claudine
1974,Helen Hayes,Mrs. Steinmetz,Herbie Rides Again
1974,Cloris Leachman,Frau Blücher,Young Frankenstein
1975,Ann-Margret,Nora Walker,Tommy
1975,Julie Christie,Jackie Shawn,Shampoo
1975,Goldie Hawn,Jill Haynes,Shampoo
1975,Liza Minnelli,Claire,Lucky Lady
1975,Barbra Streisand,Fanny Brice,Funny Lady
1976,Barbra Streisand,Esther Hoffman,A Star Is Born
1976,Barbara Harris,Blanche Tyler,Family Plot
1976,Barbara Harris,Ellen Andrews,Freaky Friday
1976,Jodie Foster,Annabelle Andrews,Freaky Friday
1976,Goldie Hawn,"Amanda ""Duchess"" Quaid",The Duchess and the Dirtwater Fox
1976,Rita Moreno,Googie Gomez,The Ritz
1977,Diane Keaton,Annie Hall,Annie Hall
1977,Marsha Mason,Paula McFadden,The Goodbye Girl
1977,Sally Field,"Carrie (""Frog"")",Smokey and the Bandit
1977,Liza Minnelli,Francine Evans,"New York, New York"
1977,Lily Tomlin,Margo Sperling,The Late Show
1978,Ellen Burstyn,Doris,"Same Time, Next Year"
1978,Maggie Smith,Diana Barrie,California Suite
1978,Jacqueline Bisset,Natasha O'Brien,Who Is Killing the Great Chefs of Europe?
1978,Goldie Hawn,Gloria Mundy,Foul Play
1978,Olivia Newton-John,Sandy Olsson,Grease
1979,Bette Midler,Mary Rose Foster,The Rose
1979,Julie Andrews,Samantha Taylor,10
1979,Jill Clayburgh,Marilyn Holmberg,Starting Over
1979,Shirley MacLaine,Eve Rand,Being There
1979,Marsha Mason,Jennie MacLaine,Chapter Two
