Year,Actress,Character,Film
2010,Melissa Leo,Alice Eklund-Ward,The Fighter
2010,Amy Adams,Charlene Fleming,The Fighter
2010,Helena Bonham Carter,Queen Elizabeth,The King's Speech
2010,Mila Kunis,Lily / The Black Swan,Black Swan
2010,Jacki Weaver,"Janine ""Smurf"" Cody",Animal Kingdom
2011,Octavia Spencer,Minny Jackson,The Help
2011,Jessica Chastain,Celia Foote,The Help
2011,Bérénice Bejo,Peppy Miller,The Artist
2011,Janet McTeer,Hubert Page,Albert Nobbs
2011,Shailene Woodley,Alexandra King,The Descendants
2012,Anne Hathaway,Fantine,Les Misérables
2012,Amy Adams,Peggy Dodd,The Master
2012,Sally Field,Mary Todd Lincoln,Lincoln
2012,Helen Hunt,Cheryl Cohen-Greene,The Sessions
2012,Nicole Kidman,Charlotte Bless,The Paperboy
2013,Jennifer Lawrence,Rosalyn Rosenfeld,American Hustle
2013,Sally Hawkins,Ginger,Blue Jasmine
2013,Lupita Nyong'o,Patsey,12 Years a Slave
2013,Julia Roberts,Barbara Weston-Fordham,August: Osage County
2013,June Squibb,Kate Grant,Nebraska
2014,Patricia Arquette,Olivia Evans,Boyhood
2014,Jessica Chastain,Anna Morales,A Most Violent Year
2014,Keira Knightley,Joan Clarke,The Imitation Game
2014,Emma Stone,Sam Thomson,Birdman
2014,Meryl Streep,The Witch,Into the Woods
2015,Kate Winslet,Joanna Hoffman,Steve Jobs
2015,Jane Fonda,Brenda Morel,Youth
2015,Jennifer Jason Leigh,Daisy Domergue,The Hateful Eight
2015,Helen Mirren,Hedda Hopper,Trumbo
2015,Alicia Vikander,Ava,Ex Machina
2016,Viola Davis,Rose Maxson,Fences
2016,Naomie Harris,Paula Harris,Moonlight
2016,Nicole Kidman,Sue Brierley,Lion
2016,Octavia Spencer,Dorothy Vaughan,Hidden Figures
2016,Michelle Williams,Randi Chandler,Manchester by the Sea
2017,Allison Janney,LaVona Golden,"I, Tonya"
2017,Mary J. Blige,Florence Jackson,Mudbound
2017,Hong Chau,Ngoc Lan Tran,Downsizing
2017,Laurie Metcalf,Marion McPherson,Lady Bird
2017,Octavia Spencer,Zelda Delilah Fuller,The Shape of Water
2018,Regina King,Sharon Rivers,If Beale Street Could Talk
2018,Emma Stone,Abigail,The Favourite
2018,Rachel Weisz,Lady Sarah,The Favourite
2018,Amy Adams,Lynne Cheney,Vice
2018,Claire Foy,Janet Shearon Armstrong,First Man
2019,Laura Dern,Nora Fanshaw,Marriage Story
2019,Kathy Bates,"Barbara ""Bobi"" Jewell",Richard Jewell
2019,Annette Bening,Dianne Feinstein,The Report
2019,Jennifer Lopez,Ramona Vega,Hustlers
2019,Margot Robbie,Kayla Pospisil,Bombshell
