Year,Actress,Character,Film
2000,Kate Hudson,Penny Lane,Almost Famous
2000,Judi Dench,Armande Voizin,Chocolat
2000,Frances McDormand,Elaine Miller,Almost Famous
2000,Julie Walters,Sandra Wilkinson,Billy Elliot
2000,Catherine Zeta-Jones,Helena Ayala,Traffic
2001,Jennifer Connelly,Alicia Nash,A Beautiful Mind
2001,Helen Mirren,Mrs. Wilson,Gosford Park
2001,Maggie Smith,Constance Trentham,Gosford Park
2001,Cameron Diaz,Julie Gianni,Vanilla Sky
2001,Marisa Tomei,Natalie Strout,In the Bedroom
2001,Kate Winslet,Iris Murdoch,Iris
2002,Meryl Streep,Susan Orlean,Adaptation.
2002,Kathy Bates,Roberta Hertzel,About Schmidt
2002,Cameron Diaz,Jenny Everdeane,Gangs of New York
2002,Queen Latifah,"Matron ""Mama"" Morton",Chicago
2002,Susan Sarandon,Mimi Slocumb,Igby Goes Down
2003,Renée Zellweger,Ruby Thewes,Cold Mountain
2003,Maria Bello,Natalie Belisario,The Cooler
2003,Patricia Clarkson,Joy Burns,Pieces of April
2003,Hope Davis,Joyce Brabner,American Splendor
2003,Holly Hunter,Melanie Freeland,Thirteen
2004,Natalie Portman,Alice Ayres / Jane Jones,Closer
2004,Cate Blanchett,Katharine Hepburn,The Aviator
2004,Laura Linney,Clara McMillen,Kinsey
2004,Virginia Madsen,Maya Randall,Sideways
2004,Meryl Streep,Eleanor Shaw,The Manchurian Candidate
2005,Rachel Weisz,Tessa Quayle,The Constant Gardener
2005,Scarlett Johansson,Nola Rice,Match Point
2005,Shirley MacLaine,Ella Hirsch,In Her Shoes
2005,Frances McDormand,Glory Dodge,North Country
2005,Michelle Williams,Alma Beers Del Mar,Brokeback Mountain
2006,Jennifer Hudson,Effie White,Dreamgirls
2006,Adriana Barraza,Amelia Hernandez,Babel
2006,Rinko Kikuchi,Chieko Wataya,Babel
2006,Cate Blanchett,Sheba Hart,Notes on a Scandal
2006,Emily Blunt,Emily Charlton,The Devil Wears Prada
2007,Cate Blanchett,Jude Quinn,I'm Not There
2007,Julia Roberts,Joanne Herring,Charlie Wilson's War
2007,Saoirse Ronan,Briony Tallis,Atonement
2007,Amy Ryan,Helene McCready,Gone Baby Gone
2007,Tilda Swinton,Karen Crowder,Michael Clayton
2008,Kate Winslet,Hanna Schmitz,The Reader
2008,Amy Adams,Sister James,Doubt
2008,Viola Davis,Mrs. Miller,Doubt
2008,Penélope Cruz,María Elena,Vicky Cristina Barcelona
2008,Marisa Tomei,Cassidy / Pam,The Wrestler
2009,Mo'Nique,Mary Lee Johnston,Precious
2009,Vera Farmiga,Alex Goran,Up in the Air
2009,Anna Kendrick,Natalie Keener,Up in the Air
2009,Penélope Cruz,Carla Albanese,Nine
2009,Julianne Moore,Charley Miller,A Single Man
