Year,Actor,Character,Film
2010,Paul Giamatti,Barney Panofsky,Barney's Version
2010,Johnny Depp,The Mad Hatter,Alice in Wonderland
2010,Johnny Depp,Frank Tupelo,The Tourist
2010,Jake Gyllenhaal,Jamie Randall,Love & Other Drugs
2010,Kevin Spacey,Jack Abramoff,Casino Jack
2011,Jean Dujardin,George Valentin,The Artist
2011,Brendan Gleeson,Sgt. Gerry Boyle,The Guard
2011,Joseph Gordon-Levitt,Adam Lerner,50/50
2011,Ryan Gosling,Jacob Palmer,"Crazy, Stupid, Love."
2011,Owen Wilson,Gil Pender,Midnight in Paris
2012,Hugh Jackman,Jean Valjean,Les Misérables
2012,Jack Black,Bernie Tiede,Bernie
2012,Bradley Cooper,"Patrizio ""Pat"" Solitano Jr.",Silver Linings Playbook
2012,Ewan McGregor,Dr. Alfred Jones,Salmon Fishing in the Yemen
2012,Bill Murray,Franklin D. Roosevelt,Hyde Park on Hudson
2013,Leonardo DiCaprio,Jordan Belfort,The Wolf of Wall Street
2013,Christian Bale,Irving Rosenfeld,American Hustle
2013,Bruce Dern,"Woodrow ""Woody"" Grant",Nebraska
2013,Oscar Isaac,Llewyn Davis,Inside Llewyn Davis
2013,Joaquin Phoenix,Theodore Twombly,Her
2014,Michael Keaton,Riggan Thomson,Birdman
2014,Ralph Fiennes,Monsieur Gustave H.,The Grand Budapest Hotel
2014,Bill Murray,Vincent MacKenna,St. Vincent
2014,Joaquin Phoenix,"Larry ""Doc"" Sportello",Inherent Vice
2014,Christoph Waltz,Walter Keane,Big Eyes
2015,Matt Damon,Mark Watney,The Martian
2015,Christian Bale,Michael Burry,The Big Short
2015,Steve Carell,Mark Baum,The Big Short
2015,Al Pacino,Danny Collins,Danny Collins
2015,Mark Ruffalo,Cameron Stuart,Infinitely Polar Bear
2016,Ryan Gosling,Sebastian Wilder,La La Land
2016,Colin Farrell,David Matthews,The Lobster
2016,Hugh Grant,St. Clair Bayfield,Florence Foster Jenkins
2016,Jonah Hill,Efraim Diveroli,War Dogs
2016,Ryan Reynolds,Wade Wilson / Deadpool,Deadpool
2017,James Franco,Tommy Wiseau,The Disaster Artist
2017,Steve Carell,Bobby Riggs,Battle of the Sexes
2017,Ansel Elgort,"Miles ""Baby""",Baby Driver
2017,Hugh Jackman,P.T. Barnum,The Greatest Showman
2017,Daniel Kaluuya,Chris Washington,Get Out
2018,Christian Bale,Dick Cheney,Vice
2018,Lin-Manuel Miranda,Jack,Mary Poppins Returns
2018,Viggo Mortensen,"Frank ""Tony Lip"" Vallelonga",Green Book
2018,Robert Redford,Forrest Tucker,The Old Man & the Gun
2018,John C. Reilly,Oliver Hardy,Stan & Ollie
2019,Taron Egerton,Elton John,Rocketman
2019,Daniel Craig,Benoit Blanc,Knives Out
2019,Roman Griffin Davis,"Johannes ""Jojo"" Betzler",Jojo Rabbit
2019,Leonardo DiCaprio,Rick Dalton,Once Upon a Time in Hollywood
2019,Eddie Murphy,Rudy Ray Moore,Dolemite Is My Name
