Year,Actor,Character,Film,Ref
2010,Christian Bale,Dicky Eklund,The Fighter,
2010,Michael Douglas,Gordon Gekko,Wall Street: Money Never Sleeps,
2010,Andrew Garfield,Eduardo Saverin,The Social Network,
2010,Jeremy Renner,"James ""Jem"" Coughlin",The Town,
2010,Geoffrey Rush,Lionel Logue,The King's Speech,
2011,Christopher Plummer,Hal Fields,Beginners,
2011,Kenneth Branagh,Laurence Olivier,My Week with Marilyn,
2011,Albert Brooks,Bernie Rose,Drive,
2011,Jonah Hill,Peter Brand,Moneyball,
2011,Viggo Mortensen,Sigmund Freud,A Dangerous Method,
2012,Christoph Waltz,Dr. King Schultz,Django Unchained,
2012,Alan Arkin,Lester Siegel,Argo,
2012,Leonardo DiCaprio,Calvin J. Candie,Django Unchained,
2012,Philip Seymour Hoffman,Lancaster Dodd,The Master,
2012,Tommy Lee Jones,Thaddeus Stevens,Lincoln,
2013,Jared Leto,Rayon,Dallas Buyers Club,
2013,Barkhad Abdi,Abduwali Muse,Captain Phillips,
2013,Daniel Brühl,Niki Lauda,Rush,
2013,Bradley Cooper,"Richard ""Richie"" DiMaso",American Hustle,
2013,Michael Fassbender,Edwin Epps,12 Years a Slave,
2014,J. K. Simmons,Terence Fletcher,Whiplash,
2014,Edward Norton,Mike Shiner,Birdman,
2014,Robert Duvall,Judge Joseph Palmer,The Judge,
2014,Ethan Hawke,"Mason Evans, Sr.",Boyhood,
2014,Mark Ruffalo,Dave Schultz,Foxcatcher,
2015,Sylvester Stallone,Rocky Balboa,Creed,
2015,Paul Dano,Brian Wilson,Love & Mercy,
2015,Idris Elba,The Commandant,Beasts of No Nation,
2015,Mark Rylance,Rudolf Abel,Bridge of Spies,
2015,Michael Shannon,Rick Carver,99 Homes,
2016,Aaron Taylor-Johnson,Ray Marcus,Nocturnal Animals,
2016,Mahershala Ali,Juan,Moonlight,
2016,Jeff Bridges,Marcus Hamilton,Hell or High Water,
2016,Simon Helberg,Cosmé McMoon,Florence Foster Jenkins,
2016,Dev Patel,Saroo Brierley,Lion,
2017,Sam Rockwell,Jason Dixon,"Three Billboards Outside Ebbing, Missouri",
2017,Willem Dafoe,Bobby Hicks,The Florida Project,
2017,Armie Hammer,Oliver,Call Me by Your Name,
2017,Richard Jenkins,Giles,The Shape of Water,
2017,Christopher Plummer,J. Paul Getty,All the Money in the World,
2018,Mahershala Ali,Don Shirley,Green Book,
2018,Timothée Chalamet,Nic Sheff,Beautiful Boy,
2018,Adam Driver,Flip Zimmerman,BlacKkKlansman,
2018,Richard E. Grant,Jack Hock,Can You Ever Forgive Me?,
2018,Sam Rockwell,George W. Bush,Vice,
2019,Brad Pitt,Cliff Booth,Once Upon a Time in Hollywood,
2019,Al Pacino,Jimmy Hoffa,The Irishman,
2019,Joe Pesci,Russell Bufalino,The Irishman,
2019,Tom Hanks,Fred Rogers,A Beautiful Day in the Neighborhood,
2019,Anthony Hopkins,Pope Benedict XVI,The Two Popes,
