Year,Actress,Character,Film
1950,Judy Holliday,"Emma ""Billie"" Dawn",Born Yesterday
1950,Spring Byington,Louisa Norton,Louisa
1950,Betty Hutton,Annie Oakley,Annie Get Your Gun
1951,June Allyson,Cynthia Potter,Too Young to Kiss
1952,Susan Hayward,Jane Froman,With a Song in My Heart
1952,Katharine Hepburn,Pat Pemberton,Pat and Mike
1952,Ginger Rogers,Edwina Fulton,Monkey Business
1953,Ethel Merman,Sally Adams,Call Me Madam
1954,Judy Garland,Esther Blodgett / Vicki Lester,A Star Is Born
1955,Jean Simmons,Sarah Brown,Guys and Dolls
1956,Deborah Kerr,Anna Leonowens,The King and I
1956,Judy Holliday,Laura Partridge,The Solid Gold Cadillac
1956,Machiko Kyō,Lotus Blossom,The Teahouse of the August Moon
1956,Marilyn Monroe,Chérie,Bus Stop
1956,Debbie Reynolds,Polly Parish,Bundle of Joy
1957,Taina Elg,Angele Ducros,Les Girls
1957,Kay Kendall,Sybil Wren,Les Girls
1957,Cyd Charisse,"Nina ""Ninotchka"" Yoschenko",Silk Stockings
1957,Audrey Hepburn,Ariane Chavasse,Love in the Afternoon
1957,Jean Simmons,Anne Leeds,This Could Be the Night
1958,Rosalind Russell,Mame Dennis,Auntie Mame
1958,Ingrid Bergman,Anna Kalman,Indiscreet
1958,Leslie Caron,Gigi,Gigi
1958,Doris Day,Isolde Poole,The Tunnel of Love
1958,Mitzi Gaynor,Nellie Forbush,South Pacific
1959,Marilyn Monroe,"Sugar ""Kane"" Kowalczyk",Some Like It Hot
1959,Dorothy Dandridge,Bess,Porgy and Bess
1959,Doris Day,Jan Morrow,Pillow Talk
1959,Shirley MacLaine,Meg Wheeler,Ask Any Girl
1959,Lilli Palmer,Kathryn Ward,But Not for Me
