Year,Actor,Character,Film
1960,Jack Lemmon,C. C. Baxter,The Apartment
1960,Dirk Bogarde,Franz Liszt,Song Without End
1960,Cantinflas,Pepe,Pepe
1960,Cary Grant,"Victor, Earl of Rhyall",The Grass Is Greener
1960,Bob Hope,Larry Gilbert,The Facts of Life
1961,Glenn Ford,"Dave, the Dude",Pocketful of Miracles
1961,Fred Astaire,Pogo Poole,The Pleasure of His Company
1961,Richard Beymer,Tony,West Side Story
1961,Bob Hope,Adam Niles,Bachelor in Paradise
1961,Fred MacMurray,Ned Brainard,The Absent-Minded Professor
1962,Marcello Mastroianni,Ferdinando Cefalù,Divorce Italian Style
1962,Stephen Boyd,Sam Rawlins,Billy Rose's Jumbo
1962,Jimmy Durante,Anthony Wonder / Pop,Billy Rose's Jumbo
1962,Cary Grant,Philip Shayne,That Touch of Mink
1962,Charlton Heston,"Captain Paul MacDougall / 
Benny the Snatch / Narrator",The Pigeon That Took Rome
1962,Karl Malden,Herbie Sommers,Gypsy
1962,Robert Preston,Harold Hill,The Music Man
1962,James Stewart,Roger Hobbs,Mr. Hobbs Takes a Vacation
1963,Alberto Sordi,Amedeo Ferretti,To Bed or Not to Bed
1963,Albert Finney,Tom Jones,Tom Jones
1963,James Garner,Henry Tyroon,The Wheeler Dealers
1963,Cary Grant,Brian Cruikshank,Charade
1963,Jack Lemmon,Nestor Paptu / Lord X,Irma la Douce
1963,Jack Lemmon,Mr. Hogan,Under the Yum Yum Tree
1963,Frank Sinatra,Alan Barker,Come Blow Your Horn
1963,Jonathan Winters,Lennie Pike,"It's a Mad, Mad, Mad, Mad World"
1964,Rex Harrison,Henry Higgins,My Fair Lady
1964,Marcello Mastroianni,Domenico Soriano,Marriage Italian-Style
1964,Peter Sellers,Inspector Jacques Clouseau,The Pink Panther
1964,Peter Ustinov,Arthur Simpson,Topkapi
1964,Dick Van Dyke,Bert / Mr. Dawes Sr.,Mary Poppins
1965,Lee Marvin,Kid Shelleen / Tim Strawn,Cat Ballou
1965,Jack Lemmon,Professor Fate / Prince Hapnick,The Great Race
1965,Jerry Lewis,Robert Reed,Boeing Boeing
1965,Jason Robards,Murray Burns,A Thousand Clowns
1965,Alberto Sordi,Count Emilio Ponticelli,Those Magnificent Men in their Flying Machines
1966,Alan Arkin,Lt. Yuri Rozanov,"The Russians Are Coming, the Russians Are Coming"
1966,Alan Bates,Jos Jones,Georgy Girl
1966,Michael Caine,Harry Dean,Gambit
1966,Lionel Jeffries,Stanley Farquhar,The Spy with a Cold Nose
1966,Walter Matthau,Willie Gingrich,The Fortune Cookie
1967,Richard Harris,King Arthur,Camelot
1967,Richard Burton,Petruchio,The Taming of the Shrew
1967,Rex Harrison,Doctor John Dolittle,Doctor Dolittle
1967,Dustin Hoffman,Benjamin Braddock,The Graduate
1967,Ugo Tognazzi,Sergio Masini,L'immorale
1968,Ron Moody,Fagin,Oliver!
1968,Jack Lemmon,Felix Ungar,The Odd Couple
1968,Walter Matthau,Oscar Madison,The Odd Couple
1968,Fred Astaire,Finian McLonergan,Finian's Rainbow
1968,Zero Mostel,Max Bialystock,The Producers
1969,Peter O'Toole,Arthur Chipping,"Goodbye, Mr. Chips"
1969,Dustin Hoffman,John,John and Mary
1969,Lee Marvin,Ben Rumson,Paint Your Wagon
1969,Steve McQueen,Boon Hogganbeck,The Reivers
1969,Anthony Quinn,Italo Bombolini,The Secret of Santa Vittoria
