Year,Actress,Character,Film
2020,Jodie Foster,Nancy Hollander,The Mauritanian
2020,Glenn Close,"Bonnie ""Mamaw"" Vance",Hillbilly Elegy
2020,Olivia Colman,Anne,The Father
2020,Amanda Seyfried,Marion Davies,Mank
2020,Helena Zengel,Johanna Leonberger,News of the World
2021,Ariana DeBose,Anita,West Side Story
2021,Caitríona Balfe,Ma,Belfast
2021,Kirsten Dunst,Rose Burbank,The Power of the Dog
2021,Aunjanue Ellis,"Oracene ""Brandy"" Price",King Richard
2021,Ruth Negga,Clare Bellew,Passing
2022,Angela Bassett,Queen Ramonda,Black Panther: Wakanda Forever
2022,Jamie Lee Curtis,Deirdre Beaubeirdre,Everything Everywhere All at Once
2022,Kerry Condon,Siobhán Súilleabháin,The Banshees of Inisherin
2022,Dolly de Leon,Abigail,Triangle of Sadness
2022,Carey Mulligan,Megan Twohey,She Said
2023
2023,Emily Blunt,"Katherine ""Kitty"" Oppenheimer",Oppenheimer
2023,Danielle Brooks,Sofia Johnson,The Color Purple
2023,Jodie Foster,Bonnie Stoll,Nyad
2023,Julianne Moore,Gracie Atherton-Yoo,May December
2023,Rosamund Pike,Lady Elspeth Catton,Saltburn
2023,Da’Vine Joy Randolph,Mary Lamb,The Holdovers
