Year,Actor,Character,Film
2020,Chadwick Boseman (posthumous),Levee Green,Ma Rainey's Black Bottom
2020,Riz Ahmed,Ruben Stone,Sound of Metal
2020,Anthony Hopkins,Anthony,The Father
2020,Gary Oldman,Herman J. Mankiewicz,Mank
2020,Tahar Rahim,Mohamedou Ould Salahi,The Mauritanian
2021,Will Smith,Richard Williams,King Richard
2021,Mahershala Ali,Cameron Turner,Swan Song
2021,Javier Bardem,Desi Arnaz,Being the Ricardos
2021,Benedict Cumberbatch,Phil Burbank,The Power of the Dog
2021,Denzel Washington,Lord Macbeth,The Tragedy of Macbeth
2022,Austin Butler,Elvis Presley,Elvis
2022,Brendan Fraser,Charlie,The Whale
2022,Hugh Jackman,Peter Miller,The Son
2022,Bill Nighy,Mr. Williams,Living
2022,Jeremy Pope,Ellis French,The Inspection
2023,Bradley Cooper,Leonard Bernstein,Maestro
2023,Leonardo DiCaprio,Ernest Burkhart,Killers of the Flower Moon
2023,Colman Domingo,Bayard Rustin,Rustin
2023,Barry Keoghan,Oliver Quick,Saltburn
2023,Cillian Murphy,J. Robert Oppenheimer,Oppenheimer
2023,Andrew Scott,Adam,All of Us Strangers
