name,popularity,career_length,number_of_movies,avg_revenue_0,avg_budget_0,std_budget_0,avg_imdb_rating_0,avg_order_0,std_order_0,avg_popularity_0,Popularity (%),interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_1,std_budget_1,avg_revenue_1,avg_imdb_rating_1,avg_order_1,std_order_1,avg_popularity_1,start_date_3,end_date_3,count_interval_3,avg_budget_2,std_budget_2,avg_revenue_2,avg_imdb_rating_2,avg_order_2,std_order_2,avg_popularity_2
Jennifer Lawrence,61.082,15,39,157311846.2820513,46439743.58974359,66462700.33508786,6.715384615384616,1.8205128205128205,2.6877861910520324,44.610333333333344,92.0,,,,,,,,,,,,,,,,,,,,,,,,
Channing Tatum,58.692,18,50,132790363.6,46076000.06,47116483.7354283,6.392,8.1,15.92262541165872,51.68596,90.0,,,,,,,,,,,,,,,,,,,,,,,,
Larry the Cable Guy,36.933,18,44,33176409.795454547,12719318.454545457,42705893.188784406,5.956818181818182,4.545454545454546,21.62643011083529,16.1475,89.0,,,,,,,,,,,,,,,,,,,,,,,,
Jaden Smith,28.473,16,17,73667076.64705883,18882352.94117647,36007976.81713967,6.1764705882352935,6.235294117647059,9.50250376767467,18.077823529411763,88.0,,,,,,,,,,,,,,,,,,,,,,,,
Zac Efron,38.964,19,43,56528963.27906977,17540697.674418606,25343556.255965676,6.34418604651163,2.4186046511627906,5.751572315420649,43.27990697674418,85.0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Hemsworth,54.904,14,45,291978279.53333336,76044444.44444445,99752127.36368205,6.64888888888889,5.622222222222222,10.469615060076128,43.16386666666667,84.0,,,,,,,,,,,,,,,,,,,,,,,,
Liam Hemsworth,28.461,13,26,154367342.92307693,36189615.384615384,52820971.24909977,6.461538461538462,4.076923076923077,5.0300869920836355,23.216115384615385,84.0,,,,,,,,,,,,,,,,,,,,,,,,
Eva Mendes,61.907,17,40,64313246.0,24391250.0,32796874.636731777,6.029999999999999,6.075,10.42925572608132,33.75727500000001,82.0,,,,,,,,,,,,,,,,,,,,,,,,
Jonah Hill,27.443,19,54,129659685.74074076,42222222.222222224,48451738.747482754,6.7,6.925925925925926,12.651821493588354,23.264370370370376,81.0,,,,,,,,,,,,,,,,,,,,,,,,
Amber Heard,41.67,19,39,65336518.35897436,24426923.076923076,52939855.62512868,5.605128205128205,3.641025641025641,3.9967113371074294,30.206743589743585,81.0,,,,,,,,,,,,,,,,,,,,,,,,
Cody Runnels,21.909,16,121,1228688.524590164,0.0,0.0,7.13360655737705,15.237704918032788,11.067640972664943,5.282016393442625,80.72163664715637,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Farrelly,14.721,15,124,2390590.983870968,1190322.5806451612,12106006.369506102,6.590322580645162,13.39516129032258,9.57467977093338,3.7311048387096784,80.04900731016988,,,,,,,,,,,,,,,,,,,,,,,,
Rebel Wilson,25.872,19,26,123018106.84615384,32206476.5,36377923.02930867,5.988461538461539,7.384615384615385,8.062624706617772,39.80023076923077,80.0,,,,,,,,,,,,,,,,,,,,,,,,
John Hennigan,15.652,18,108,78348.94444444444,547685.1851851852,5272769.777177253,6.336111111111112,16.50925925925926,13.292643029531876,13.937925925925926,79.3397443987665,,,,,,,,,,,,,,,,,,,,,,,,
Jim Parsons,23.93,18,25,33206038.28,10982000.0,28268459.03122418,6.484,6.44,5.831500664494517,18.12408,79.0,,,,,,,,,,,,,,,,,,,,,,,,
Blake Lively,32.017,17,22,42224386.0,24850000.0,41302979.75163095,6.368181818181819,3.3181818181818183,3.8421864470916662,24.365727272727273,78.0,,,,,,,,,,,,,,,,,,,,,,,,
Olivia Wilde,33.373,18,51,37393005.803921565,21455882.352941178,36916504.42188774,6.484313725490196,7.078431372549019,11.08583823191164,35.311882352941176,78.0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Schwartz,27.173,16,44,133374631.97777778,30640000.0,58406355.81852372,6.362222222222221,14.577777777777778,30.23573227446029,13.806533333333336,77.04491784873215,,,,,,,,,,,,,,,,,,,,,,,,
Adam Driver,26.992,13,47,114458272.23404256,30923744.680851065,59803872.02951032,6.68936170212766,6.25531914893617,14.530185872654508,34.77734042553191,77.0,,,,,,,,,,,,,,,,,,,,,,,,
Donald Glover,29.181,17,26,190588174.84615383,42138461.538461536,76299834.04016167,7.153846153846155,11.538461538461538,11.695596703397426,25.633346153846155,77.0,,,,,,,,,,,,,,,,,,,,,,,,
Chadwick Boseman,16.904,19,27,318317441.8148148,64122222.222222224,105128543.30429938,6.855555555555558,9.62962962962963,17.524899002505293,31.567851851851856,77.0,,,,,,,,,,,,,,,,,,,,,,,,
Robert Pattinson,50.608,18,39,144070129.17948717,29864574.35897436,51659337.80026021,6.292307692307693,2.871794871794872,5.8361362665744005,44.24335897435897,77.0,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Iglesias,18.499,15,33,72804949.96969697,27887878.78787879,44814119.511842154,6.045454545454547,8.090909090909092,11.8535601003387,17.15442424242424,77.0,,,,,,,,,,,,,,,,,,,,,,,,
Margot Robbie,53.03,15,29,168983932.72413793,49768965.51724138,57351872.791766346,6.358620689655171,8.482758620689655,20.196655048513172,72.13472413793104,77.0,,,,,,,,,,,,,,,,,,,,,,,,
Colby Lopez,16.979,11,126,1531988.440944882,229454.937007874,2563114.067791462,6.539370078740157,9.661417322834646,10.945980797945484,6.718299212598425,76.9495517280543,,,,,,,,,,,,,,,,,,,,,,,,
Ken Jeong,26.13,18,62,156322161.53225806,33767096.77419355,58080285.15623304,6.043548387096773,9.274193548387096,13.264273328391608,20.022322580645156,75.6179261234337,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Bynes,43.05,9,13,44553785.538461536,17653846.153846152,25660044.228771027,6.130769230769231,3.230769230769231,3.682679754949485,37.35376923076923,75.0,,,,,,,,,,,,,,,,,,,,,,,,
Zendaya,54.861,12,20,257331114.85,50825000.0,73399127.20870733,6.5649999999999995,5.8,5.732364259186605,50.537699999999994,75.0,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Dunham,18.861,17,27,18436250.703703705,8444444.888888888,19330140.027467124,6.448148148148149,3.962962962962963,5.446585620786125,8.422185185185183,74.0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Pine,54.657,19,44,100634208.38636364,43477272.72727273,61644320.18234772,6.543181818181821,3.409090909090909,5.420156748061233,50.39511363636363,74.0,,,,,,,,,,,,,,,,,,,,,,,,
Elle Fanning,31.308,19,48,59057086.1875,25125000.0,45653986.22610443,6.497916666666666,5.5,11.33026919362466,34.087875,70.0,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Seyfried,66.118,19,50,59665237.16,19565000.0,31168912.86201686,6.339999999999999,2.82,3.5025133832720754,53.12799999999999,69.0,,,,,,,,,,,,,,,,,,,,,,,,
Zoë Kravitz,27.66,15,37,132713319.45945944,45235135.13513514,63493890.81579176,6.35945945945946,5.486486486486487,5.740428563065237,29.143324324324333,69.0,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Sabongui,21.757,19,49,90460996.87755102,40512244.89795918,59494152.11410916,5.759183673469387,17.93877551020408,15.127226654470633,19.117020408163267,68.69323590012888,,,,,,,,,,,,,,,,,,,,,,,,
Millie Bobby Brown,65.21,4,7,122388033.14285716,55857142.85714286,82376190.33855522,6.142857142857143,2.7142857142857144,3.7688302737922625,69.15757142857143,68.0,,,,,,,,,,,,,,,,,,,,,,,,
Gina Rodriguez,48.586,13,26,28463180.0,18171153.846153848,35335230.22172751,5.946153846153846,5.153846153846154,5.5518001771588095,33.22538461538461,68.0,,,,,,,,,,,,,,,,,,,,,,,,
Gal Gadot,80.094,14,23,316238489.34782606,130108695.6521739,98677555.32230029,6.3,12.782608695652174,16.245284323763755,69.16352173913045,68.0,,,,,,,,,,,,,,,,,,,,,,,,
Will.i.am,18.205,18,32,69039919.03125,21540625.0,44111271.655999385,6.646875,13.3125,27.59238742388922,11.0055625,67.42974525376093,,,,,,,,,,,,,,,,,,,,,,,,
