name,popularity,career_length,number_of_movies,interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_0,avg_budget_1,std_budget_0,std_budget_1,avg_revenue_0,avg_revenue_1,avg_imdb_rating_0,avg_imdb_rating_1,avg_order_0,avg_order_1,std_order_0,std_order_1,avg_popularity_0,avg_popularity_1,Popularity (%)
Matthew McConaughey,39.731,29,75,5110,1993,2007,2007,2022,35,40,37715811.13801452,34813644.06779661,25177481.673000116,31629319.66597319,64765532.11707023,106957495.10889833,6.262857142857144,6.8625,4.285714285714286,5.0,8.154127538760193,13.751363568752009,35.84888571428572,35.242399999999996,93.0
Ryan Reynolds,86.535,30,73,5475,1993,2008,2008,2023,28,45,30764205.638471182,68865223.68576999,14569825.54908304,51265910.51334868,73369097.15241227,187696064.87329435,6.075,6.671111111111112,3.678571428571429,6.4222222222222225,5.0571983451354585,13.829901403824474,61.0547857142857,62.381355555555565,93.0
Julie Michaels,36.865,31,16,5475,1989,2004,2004,2020,12,4,29895833.333333332,17937500.0,32920213.41651492,0.0,67673272.953125,38670441.6875,5.2749999999999995,4.975,26.5,30.0,33.66130320313421,34.70590727815655,19.355499999999996,18.48175,92.31773067075443
Queen Latifah,30.054,32,68,5840,1990,2006,2006,2022,28,40,28182177.197802193,29154266.826923084,20113086.027335897,23642304.222184107,92180260.11675824,142988802.71971154,6.064285714285714,6.2075000000000005,7.785714285714286,8.5,10.798006240760849,15.479018056711478,36.29699999999999,25.87515,92.0
Macaulay Culkin,27.638,37,34,6570,1985,2003,2003,2022,21,13,14837301.58730159,10124999.999999998,9200099.008978453,11658877.321851486,65794065.12996032,19550547.836538456,6.7285714285714295,6.169230769230769,10.476190476190476,13.846153846153848,17.236779744596113,25.812478061368672,26.93228571428572,28.80169230769231,92.0
Tim Allen,39.097,35,58,6205,1988,2005,2005,2023,26,32,29950264.824175827,39411018.85491072,17651982.240845747,51212024.30123115,107618452.010989,170660325.66889882,6.334615384615384,6.278125,2.8846153846153846,6.53125,4.2906600090906135,11.019824111005583,36.659230769230774,36.43321875,92.0
Ben Stiller,33.191,36,110,6570,1987,2004,2004,2023,49,61,23949739.470256187,35662364.84129753,16688556.93584353,39370740.52760806,73236968.4310139,104696437.63097316,6.310204081632653,6.398360655737704,14.122448979591836,10.327868852459016,21.95043828585831,13.866720760098184,28.338408163265303,28.02281967213115,92.0
Scarlett Johansson,156.46,29,78,5110,1994,2008,2008,2023,28,50,34954538.52880184,87162308.4632258,25980183.963857234,86795052.72296178,105366739.94110024,433110465.41580653,6.45,7.08,5.964285714285714,6.34,17.15784315211714,11.129438440460506,88.07653571428571,93.578,92.0
Megan Fox,46.729,22,34,4015,2001,2012,2012,2023,16,18,54945486.111111104,43020061.72839506,53725581.06021305,36041793.020016335,165157403.94661456,89481535.19598764,5.8625,5.0777777777777775,9.625,3.5,22.94252329191364,4.362084109434134,36.123875,37.50305555555555,91.0
Ashton Kutcher,41.122,24,36,4380,1999,2011,2011,2023,24,11,25639583.333333332,18672727.272727273,20712315.07243269,19828450.217213877,85588169.03020833,44173545.91818182,5.941666666666666,6.527272727272727,7.25,9.181818181818182,12.258500452067263,7.321427851527594,36.035374999999995,31.14809090909091,91.0
Kevin Spacey,26.006,37,89,6570,1986,2004,2004,2023,46,43,23939312.835020848,25061329.244982477,19893452.33673534,40619780.748673186,68782874.79172869,58678182.61737415,6.895652173913043,6.553488372093025,5.195652173913044,9.0,7.415083233334463,22.400166112340887,16.614913043478257,15.343441860465116,91.0
Jada Pinkett Smith,19.353,28,47,5110,1993,2007,2007,2021,32,15,37666658.26612903,65063346.774193555,36932031.14212302,70594776.63344498,128341099.9780116,222199780.88830644,6.478125,6.260000000000001,6.96875,10.0,10.384737523765343,15.80717136829568,21.355031250000003,22.78526666666667,91.0
Ryan Gosling,67.217,27,41,4745,1996,2009,2009,2023,14,26,32696964.285714287,33854182.692307696,35579005.27006978,36927513.193310276,74565735.38857143,94922538.1446154,6.95,6.819230769230769,1.8571428571428572,1.8846153846153848,3.46115469702449,3.029685475893535,68.09728571428572,65.14315384615385,91.0
David Schwimmer,35.283,33,34,5840,1989,2005,2005,2022,17,17,29388480.39215687,53334763.07189543,16214822.602915073,64130523.9356105,63516267.83006536,166171763.2091503,5.623529411764705,6.623529411764706,10.764705882352942,4.764705882352941,11.363146890999694,7.581164055928784,32.10523529411765,29.883411764705883,91.0
Tyler Perry,34.926,21,50,3650,2002,2012,2012,2023,18,32,23890522.87581699,26017578.125,30787099.237120863,25452561.331567142,68177982.34068626,58221317.98828125,5.083333333333333,5.96875,3.2777777777777777,6.0625,12.082151921811295,13.207331060816186,27.23361111111111,26.1578125,90.0
Hugh Jackman,43.741,27,76,4745,1995,2008,2008,2022,29,47,60095693.99784484,68379802.41799645,47037185.97541743,51883378.9901032,140983838.8327586,190251384.5521277,6.748275862068965,6.953191489361703,3.724137931034482,12.95744680851064,9.36573561270987,28.9636290241256,43.878000000000014,45.143297872340426,90.0
Anne Hathaway,106.183,22,63,4015,2001,2012,2012,2023,30,33,35790868.79432624,40197614.44229529,36281915.7261285,53625187.43078413,151808960.6699468,154685877.22952935,6.4366666666666665,6.618181818181818,2.6,5.96969696969697,4.309679029038396,11.97847779190674,92.7606666666667,94.62072727272728,90.0
Gwyneth Paltrow,30.384,31,66,5475,1991,2006,2006,2022,38,28,30995848.94736842,80340855.0,19005840.93989928,92989033.27320984,110714361.91269736,422992201.0291071,6.3578947368421055,6.853571428571429,5.631578947368421,9.964285714285714,8.838971875886623,15.24439508910252,37.74399999999999,36.46160714285714,90.0
Steven Seagal,54.763,31,75,5475,1988,2003,2003,2019,21,54,25239514.665052462,10337704.856246077,19165701.038805783,3380489.199706973,38726389.79872881,10189518.349713588,5.690476190476191,4.503703703703703,2.952380952380953,0.7592592592592593,5.472669675641387,2.379971873356873,40.399619047619055,42.694685185185186,90.0
Hilary Duff,28.932,25,33,4380,1998,2010,2010,2023,25,8,13907294.11764706,11779411.76470588,12414895.120148646,20175274.14562714,30884032.20102941,199268.36764705885,6.184,3.9875,3.08,2.25,7.369776116002439,2.537222891273055,19.786479999999997,21.027749999999997,90.0
Emma Watson,73.564,22,32,4015,2001,2012,2012,2023,16,16,92286718.75,46292187.5,78436728.7647281,42938352.40124606,530695182.890625,229337522.578125,7.325,6.856249999999999,2.625,10.4375,2.7357585785299112,22.852704298397597,46.308499999999995,41.753875,90.0
Kate Hudson,46.998,24,38,4380,1999,2011,2011,2023,22,16,32170454.545454547,31093750.0,21651309.057059284,38018999.67039506,43527796.051652886,53346205.57670455,5.986363636363637,6.225,2.409090909090909,2.875,3.961853226929985,3.2572035551988456,41.33013636363636,39.19275,90.0
Vince Vaughn,45.776,30,62,5475,1991,2006,2006,2021,33,29,30831587.61528327,31175712.143928036,23414431.536482964,24812655.744633164,97492067.01449277,64415526.07571215,6.127272727272727,6.344827586206897,12.272727272727272,6.517241379310345,26.0782885747172,14.050698079737638,39.816757575757585,39.726551724137934,89.0
Kirstie Alley,19.923,38,50,6935,1982,2001,2001,2020,39,11,6924302.413273,5904077.540106952,7026474.553308195,6403876.485007715,24032503.166666657,9568290.127673795,5.871794871794871,5.745454545454546,4.589743589743589,3.727272727272727,10.18726693606099,6.66184398565864,16.850615384615388,15.947727272727276,89.0
Christina Applegate,30.012,36,50,6570,1981,1999,1999,2017,16,34,20840992.647058822,30883434.256055366,13462552.432876453,21297242.319406364,40184272.4765625,84175230.5514706,5.393750000000001,5.9676470588235295,9.0,4.294117647058823,16.639561292293738,5.360692513234954,23.390187500000003,27.636470588235294,89.0
Eva Longoria,37.813,20,39,3650,2003,2013,2013,2023,17,22,17428941.452685423,12850227.367588935,21091214.398667708,18033583.120723262,23432818.660006393,23214121.398468383,4.988235294117647,6.104545454545454,5.117647058823529,4.318181818181818,8.435794554029007,2.8023750257815188,34.275,31.51127272727273,89.0
Jennifer Garner,49.382,27,44,4745,1995,2008,2008,2022,18,26,38439484.12698412,30582417.58241758,30386442.524170075,24158323.812346153,115318381.38541669,57201157.60817308,6.138888888888889,6.465384615384616,5.222222222222222,2.3846153846153846,7.8920181587021165,3.4870852174286577,32.932500000000005,32.95430769230769,89.0
Natalie Portman,55.763,29,53,5110,1994,2007,2007,2023,25,28,41621807.39351352,59421514.911196925,33898627.990715675,78108004.36292866,160194769.78608108,244579456.6640927,6.956,6.3428571428571425,4.2,3.5714285714285716,5.059644256269407,7.770955867976656,52.02752,53.29014285714287,89.0
Kate Winslet,49.157,29,65,5110,1994,2008,2008,2023,27,38,36969028.722600155,41763174.00644468,42573515.649291165,71011832.46123727,142893390.0975057,158127071.16219115,6.711111111111112,6.713157894736842,2.814814814814815,10.578947368421051,6.986956297204082,40.72864734657217,43.27274074074074,41.56942105263157,89.0
Russell Crowe,61.606,33,72,5840,1990,2006,2006,2023,30,42,40931933.8,53399873.434523806,30747846.89588289,54762661.29432716,84542246.61964287,120846265.40178572,6.616666666666666,6.676190476190476,1.4666666666666666,6.928571428571429,3.0521395046025583,15.45868973863484,58.885466666666666,60.65911904761905,89.0
Emma Stone,94.758,29,43,5110,1994,2008,2008,2023,2,41,19925000.0,48678500.45167118,75000.0,49002073.81114438,121659775.90625,150067356.75321817,6.5,6.639024390243902,17.0,6.878048780487805,11.0,15.061168163082332,38.763,73.04985365853658,89.0
Katie Holmes,34.681,26,40,4745,1997,2010,2010,2023,15,25,25492083.333333332,16412000.0,34643375.42393768,18356249.326410156,51712734.1,43327817.18833334,6.433333333333334,5.824,6.133333333333334,8.92,13.260802724152445,25.085326388149703,33.24493333333334,28.79084,89.0
