name,gender,career_length,number_of_movies,avg_revenue_0,avg_budget_0,std_budget_0,avg_imdb_rating_0,avg_order_0,std_order_0,avg_popularity_0,n_genres_0,main_genre_0,interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_1,std_budget_1,avg_revenue_1,avg_imdb_rating_1,avg_order_1,std_order_1,avg_popularity_1,n_genres_1,main_genre_1,start_date_3,end_date_3,count_interval_3,avg_budget_2,std_budget_2,avg_revenue_2,avg_imdb_rating_2,avg_order_2,std_order_2,avg_popularity_2,n_genres_2,main_genre_2,success,avg_scaled_portion_0_x,avg_scaled_portion_1_x,avg_scaled_portion_2_x,avg_scaled_portion_0_y,avg_scaled_portion_1_y,avg_scaled_portion_2_y,std_scaled_portion_0,std_scaled_portion_1,std_scaled_portion_2
Jennifer Lawrence,1,15,39,157311846.28205132,46439743.58974359,66462700.33508786,6.7153846153846155,1.8205128205128205,2.6877861910520324,44.61033333333334,15.0,Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74286393179194,5.2041103035330645,,,5.2041103035330645,,,,,
Channing Tatum,2,18,50,132790363.6,46076000.06,47116483.735428296,6.392,8.1,15.92262541165872,51.685959999999994,17.0,Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2751598505647217,7.775922196621946,,,7.775922196621946,,,,,
Larry the Cable Guy,2,18,44,33176409.79545455,12719318.454545457,42705893.18878441,5.956818181818183,4.545454545454546,21.62643011083529,16.1475,10.0,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0481085060152335,4.450931853271828,,,4.450931853271828,,,,,
Jaden Smith,2,16,17,73667076.64705883,18882352.94117647,36007976.81713967,6.1764705882352935,6.235294117647059,9.50250376767467,18.077823529411766,12.0,Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0126474222823845,6.987303854596145,,,6.987303854596145,,,,,
Zac Efron,2,19,43,56528963.27906977,17540697.674418606,25343556.25596568,6.34418604651163,2.4186046511627906,5.751572315420648,43.27990697674417,18.0,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0153888609321902,7.616601498518497,,,7.616601498518497,,,,,
Chris Hemsworth,2,14,45,291978279.53333336,76044444.44444445,99752127.36368205,6.64888888888889,5.622222222222222,10.469615060076126,43.16386666666667,14.0,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0792703237244436,2.5933055869705086,,,2.5933055869705086,,,,,
Liam Hemsworth,2,13,26,154367342.92307693,36189615.38461538,52820971.24909977,6.461538461538463,4.076923076923077,5.030086992083636,23.21611538461539,14.0,Thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9652902356936134,2.6781503534071076,,,2.6781503534071076,,,,,
Eva Mendes,1,17,40,64313246.0,24391250.0,32796874.63673177,6.0299999999999985,6.075,10.42925572608132,33.75727500000001,14.0,Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1446948492423918,7.234790973092065,,,7.234790973092065,,,,,
Jonah Hill,2,19,54,129659685.74074076,42222222.222222224,48451738.74748275,6.7,6.925925925925926,12.651821493588354,23.264370370370372,16.0,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1632557698125432,5.214472577564332,,,5.214472577564332,,,,,
Amber Heard,1,19,39,65336518.35897436,24426923.07692308,52939855.62512868,5.605128205128205,3.641025641025641,3.996711337107429,30.206743589743585,13.0,Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0115385235180303,5.524312182191983,,,5.524312182191983,,,,,
