name,popularity,career_length,number_of_movies,avg_revenue_0,avg_budget_0,std_budget_0,avg_imdb_rating_0,avg_order_0,std_order_0,avg_popularity_0,Popularity (%)
Douglas Tait,15.757,17,31,41003802.12903226,17638225.80645161,41341317.0379571,5.2,14.419354838709678,26.1518816858902,8.562935483870966,64.36679841416895
Javier Botet,21.094,18,56,54616220.321428575,11137987.5,27613643.067746047,5.882142857142857,9.857142857142858,11.674802799540696,12.480928571428572,64.35818431133139
Chloë Grace Moretz,54.804,18,61,41644671.7704918,16566639.147540985,35236253.85554222,6.098360655737704,4.950819672131147,9.580421000209352,46.72160655737706,64.02250458522104
Joel McHale,39.369,19,37,48291363.05405405,14189189.18918919,34210665.19166353,6.218918918918918,9.567567567567568,13.716316069400884,25.230135135135136,64.0
David Dastmalchian,29.635,15,56,82609601.67857143,26020998.69642857,55696820.541384585,6.5321428571428575,6.625,7.10272206370809,23.31105357142857,63.99565530441073
Kanye West,27.362,19,50,4591971.48,2316500.0,11032007.534895904,6.820000000000001,12.8,18.210985695453175,20.947940000000003,63.788802978186965
Anton Yelchin,15.811,19,52,54721782.26415094,25253773.58490566,50919005.09730802,6.30943396226415,4.9245283018867925,7.533194608127152,21.89716981132075,63.663834855246584
Travis Van Winkle,15.18,17,24,38567564.0,10414583.333333334,30401170.067828897,5.704166666666667,13.375,30.693121514980085,12.40125,63.41986247405244
Michael Smiley,14.851,19,52,34108928.76923077,9364061.384615384,30180832.36636004,6.301923076923076,8.038461538461538,11.788132132428682,9.107115384615383,63.25385084429931
Lee Pace,33.369,19,31,201482350.0,50000000.0,79368068.65850173,6.512903225806452,6.064516129032258,6.520120144702302,29.710774193548392,63.13381568053369
Ed Helms,25.618,18,51,74104116.07843137,24441176.470588237,42384616.96746429,6.086274509803921,9.137254901960784,14.5292397650638,26.434529411764707,63.0
Scott Eastwood,36.529,17,33,120293468.12121212,42824554.63636363,77366252.01183835,6.078787878787879,7.03030303030303,10.302941176085088,29.040969696969697,63.0
Lena Dunham,21.714,17,35,13379495.6,4198571.085714285,16809517.6082542,5.8028571428571425,8.771428571428572,14.634764314146375,13.029571428571428,63.0
Paul Scheer,17.523,19,57,10904686.89473684,5944298.245614035,14393126.266314317,5.982456140350876,11.333333333333334,12.220680391850776,11.70077192982456,62.77041591525787
John Legend,32.377,18,51,9424451.156862743,3294117.6470588236,13706008.5831097,7.176470588235294,12.901960784313726,16.052920938730395,8.457117647058823,62.70971707140092
Asif Ali,16.753,14,91,1626939.923076923,837218.7582417582,4158854.443258725,5.8538461538461535,3.318681318681319,5.623496860708491,14.6031978021978,62.30766822335656
Rafe Spall,31.777,19,46,71670249.80434783,20056391.304347824,42311099.82769876,6.723913043478262,6.217391304347826,8.059326337901572,20.999934782608698,62.242456576084365
Booboo Stewart,19.498,18,54,55498816.03703704,11215462.962962965,40281934.95330087,5.477777777777777,6.574074074074074,8.514914696625524,17.648777777777777,62.23338785222444
Maisie Williams,26.307,8,18,5712562.555555556,6636261.5,18558373.746540293,6.127777777777777,1.6666666666666667,2.134374745810949,40.35788888888889,62.0
Pauley Perrette,41.349,18,14,39123430.21428572,17483571.42857143,35904992.809823394,6.192857142857143,8.642857142857142,7.696076392340106,22.171785714285715,62.0
Tessa Thompson,38.874,17,38,149322940.84210527,37157894.7368421,84060493.98022503,6.239473684210526,4.684210526315789,6.653472631712093,30.4148947368421,62.0
Yuki Kaji,51.017,13,77,7638121.389610389,2684681.4545454546,17320552.89852331,6.801298701298702,4.766233766233766,4.93568007102721,37.10351948051947,61.866220745974246
Randall Park,30.671,18,49,73672301.2244898,23006123.265306123,41988474.20151107,6.073469387755103,11.20408163265306,8.118961408990872,31.00979591836735,61.8392508931701
Ma Dong-seok,27.053,19,62,18013828.774193548,4852208.338709678,25366079.155676786,6.351612903225806,5.241935483870968,6.517186915085392,26.75477419354839,61.82454883011818
Jill Morrison,28.82,19,51,31956157.2745098,10411764.705882354,36350783.61514141,5.801960784313725,13.215686274509803,16.362695167865173,9.95856862745098,61.1423006590281
Dan Stevens,50.001,16,33,55802239.878787875,14975757.575757576,38239048.979417905,6.239393939393939,5.515151515151516,16.900997302689802,55.62139393939393,61.02897271810706
Mamoru Miyano,19.308,17,80,4061710.3,40002.125,257691.54110434896,6.68125,4.25,5.043560250458004,17.2956,61.00569241739341
Emilia Clarke,56.402,14,18,65817073.38888889,26611111.111111112,64728611.98787245,5.927777777777778,0.9444444444444444,1.1772011166898384,68.49349999999998,61.0
Constance Wu,27.11,16,26,24968045.923076924,7501153.846153846,17242669.41829597,5.853846153846154,5.8076923076923075,5.857403144537103,27.849923076923083,61.0
Bobby Moynihan,24.931,13,52,73253112.07692307,18355769.230769232,40996169.67784232,6.276923076923077,11.923076923076923,10.966463131268323,23.87700000000001,60.98260711509407
Damion Poitier,15.38,15,18,197713231.0,45406944.44444445,78995203.70705512,5.527777777777778,27.0,36.80730603803785,13.080222222222222,60.53895986356794
Selena Gomez,31.304,19,40,66598234.625,23105000.0,37540111.54751674,6.215,10.7,18.910579049833455,29.217600000000004,60.51036464195176
Justin Bieber,24.181,12,33,24905916.727272727,9696971.969696969,39209989.5444213,4.930303030303031,13.212121212121213,25.07897534971013,11.708696969696968,60.41503316612499
Léa Seydoux,24.185,18,49,70650731.08163266,22495918.36734694,58548556.36758288,6.546938775510204,4.959183673469388,8.376252105423463,25.6629387755102,60.24932966801713
Go Ayano,14.526,19,55,1694582.3636363635,300000.0,1602838.3914452852,6.25090909090909,4.3090909090909095,10.9840756258946,8.149672727272726,60.064965298548344
Christopher Mintz-Plasse,24.942,16,34,103266406.64705884,32588235.29411765,45156829.75316582,6.529411764705883,8.294117647058824,11.64052104090733,16.88708823529412,60.06377406678898
David Harbour,28.02,19,36,101206105.05555557,40777777.777777776,56523402.77910023,6.18611111111111,5.0,4.760952285695233,25.371222222222222,60.048864667291646
Harry Shum Jr.,31.192,19,26,28475963.576923076,7292307.692307692,10627139.533974146,6.150000000000001,10.538461538461538,21.5196346287806,19.051384615384617,60.007460827283296
Florence Pugh,176.589,8,23,101218416.86956522,22432726.391304348,46836292.943402074,6.830434782608696,5.086956521739131,9.559484447979038,107.3967391304348,60.0
Dan Levy,17.113,16,18,11038142.368421054,11084210.52631579,35139380.564859055,5.842105263157894,11.0,10.632621105773843,12.319421052631576,60.0
Jake Johnson,34.371,17,38,131878571.23684213,23456578.94736842,37928131.78106275,6.276315789473684,7.684210526315789,7.897718735105509,25.742236842105267,59.95914992924514
Andrew Rogers,17.055,15,18,11764630.444444444,5555600.0,15976433.26236074,5.005555555555556,15.833333333333334,33.775813173860904,11.225944444444444,59.853632156997634
Steve Agee,14.788,18,43,28238611.023255818,12104837.209302325,44091760.93944243,6.069767441860465,9.69767441860465,11.029632146601518,13.064604651162789,59.85261364074226
Dan Fogler,14.756,17,36,92446223.52777778,35475713.527777776,59841473.63062296,5.955555555555557,6.777777777777778,8.17554317295429,13.810611111111111,59.687447406977576
Roger Craig Smith,19.474,16,38,53884569.45,18165500.0,47781415.00363923,6.2075000000000005,10.6,12.784365451597507,10.851000000000004,59.554503839910105
Toby Kebbell,24.321,16,37,108509058.1081081,50932432.432432435,65940612.32308001,6.38918918918919,4.513513513513513,4.024396020634459,22.983837837837836,59.552959566282894
Tim McGraw,22.658,19,22,44048973.54545455,20590909.09090909,43000696.707790345,6.736363636363635,10.545454545454543,20.61933618702087,18.709636363636363,59.232457290169926
Marin Ireland,19.764,19,45,23668209.28888889,12555222.222222222,34113841.60189976,6.155555555555556,7.288888888888889,15.615693277700158,21.132133333333336,59.229289012065536
Shane Dawson,16.376,15,14,128406556.42857143,12414285.714285716,30159145.903567176,5.1571428571428575,16.785714285714285,29.657999574743915,7.8762857142857134,59.22581488028015
Dave Franco,30.833,15,34,82020376.08823529,24906617.647058822,32809223.11862815,6.394117647058824,8.852941176470589,19.35296352582296,28.9655,59.0
Kit Harington,30.806,11,18,102158445.44444443,40944444.44444445,61603095.36074216,6.766666666666667,4.0,4.702245326555294,35.608000000000004,59.0
Yvette Nicole Brown,19.876,18,42,102637854.90476193,24712952.14285714,60776936.97434044,6.300000000000001,11.071428571428571,14.18817894476622,11.504833333333332,58.978745976881214
Olga Kurylenko,33.067,18,47,37094070.38297872,18805646.80851064,43287093.77644306,6.010638297872339,3.4893617021276597,6.324125842966933,47.383191489361714,58.97477443045878
Peyton List,35.195,19,36,42111654.13513514,15985135.135135137,40112064.076050706,5.781081081081081,10.756756756756756,18.439683126499155,33.943702702702694,58.81618602234688
Caleb Landry Jones,14.795,16,32,47104913.96875,13325000.0,29210582.414597623,6.475,8.4375,17.37803480690495,18.286812499999996,58.810966847701025
Massi Furlan,18.327,14,21,185897986.57142857,46142880.952380955,70446374.50063308,6.147619047619047,26.238095238095237,30.91448229260036,12.14657142857143,58.77766196406988
Jai Courtney,18.86,18,25,126716389.84,47380000.0,63874451.85674786,6.335999999999999,4.48,8.154115525303771,23.52028,58.7507654456808
Ed Sheeran,46.866,11,29,47719415.10344828,16950000.0,53197553.09384459,7.248275862068966,27.275862068965516,39.50547456756545,21.35762068965517,58.52577722651408
Peyton List,27.299,19,36,42111654.13513514,15985135.135135137,40112064.076050706,5.781081081081081,10.756756756756756,18.439683126499155,33.943702702702694,58.42927440924008
Katherine Waterston,18.974,18,42,57204589.952380955,22780194.23809524,51500104.54577654,6.371428571428572,5.714285714285714,9.28974271591475,33.91542857142857,58.25995643666247
Alan Ritchson,72.984,17,21,114250471.52380952,37270496.23809524,81102992.95805067,5.971428571428571,7.523809523809524,8.64990529878822,55.77809523809523,58.179259472851086
Pierre Boulanger,19.407,19,18,132267007.5,26916666.666666668,105139886.97603464,6.122222222222222,11.5,16.22840445364581,14.633833333333332,58.15550301059993
Peter Sohn,19.139,19,16,205647063.25,69812500.0,84264626.88311152,7.012499999999999,11.6875,12.403219088204482,16.319125,58.12929695824107
Aubrey Plaza,61.36,18,45,25680180.755555555,10653333.333333334,33875811.42939605,6.202222222222224,3.8222222222222224,4.078610269245527,56.24986666666667,58.11429762144411
Jack Huston,17.147,18,34,40305253.205882356,19596515.352941178,34345568.244813636,6.026470588235293,6.235294117647059,11.03486139876552,18.91614705882353,58.081988311482846
T.I.,20.079,18,22,93453501.45454544,30772727.272727273,41184652.72203604,5.972727272727272,10.636363636363637,14.710989876296424,14.59681818181818,58.07423831296803
Hannibal Buress,41.377,13,34,167643480.8529412,28800000.0,47980290.070966825,6.535294117647059,9.029411764705882,7.812076978166739,32.533558823529404,58.05858471006547
Tamannaah Bhatia,24.67,18,72,6624940.152777778,1580576.5277777778,4970439.293371856,5.479166666666668,3.4305555555555554,5.567331269929588,25.64754166666667,58.05394504720607
Jenna Ortega,139.009,10,21,81117968.1904762,13428571.42857143,42652048.94154049,6.266666666666667,7.952380952380952,15.752478838873614,182.00038095238097,58.051430628889676
Pom Klementieff,39.341,16,34,245668509.6470588,56904411.76470588,107582961.3994591,6.429411764705883,9.411764705882351,11.389152855597562,40.129,58.04431323440025
Will Poulter,48.023,16,21,132598912.33333331,37186352.38095238,64343135.434411846,6.690476190476189,5.809523809523809,11.048029549023653,41.800095238095246,58.02881029013002
Jonathan Majors,15.638,6,16,52881100.5,32437500.0,52085229.13216376,6.293749999999999,5.75,7.119515432949071,32.1851875,58.0
Awkwafina,38.204,7,27,119004870.37037036,42712974.074074075,65964724.71603228,6.5703703703703695,6.814814814814815,10.968091893329545,42.064962962962966,58.0
Brad Renfro,21.626,16,24,14494675.5,7816666.666666667,13261116.92966404,6.258333333333333,6.875,21.670472422169297,13.770875000000002,57.964977080712025
Brandon T. Jackson,18.581,17,22,79741128.4090909,31185782.318181816,39540789.29824701,5.486363636363635,9.545454545454543,14.9475667607178,9.841136363636362,57.85790325416065
Sam Claflin,35.018,12,30,143112052.03333333,41933195.9,81137207.89760306,6.430000000000001,4.733333333333333,6.697926710723417,34.81946666666666,57.78509997647822
Jacob Blair,17.706,15,28,60703485.75,23392857.14285714,46642515.3126831,5.885714285714287,13.535714285714286,17.00941366012434,15.9145,57.695092202784934
Dax Shepard,18.349,18,27,44435512.62962963,18622222.222222224,18559001.67600285,5.825925925925925,12.25925925925926,17.097958709854687,23.516037037037034,57.62175253760372
Lars Eidinger,47.012,18,47,7932032.425531914,6821987.234042553,28251838.07763565,6.4063829787234035,3.234042553191489,4.998777578046953,26.77278723404256,57.571231620994396
Jeremy Shada,39.134,14,22,18228876.681818184,8954561.363636363,24200815.42332976,6.722727272727273,12.227272727272728,25.38777769318038,16.92922727272727,57.56517085492359
Kumail Nanjiani,17.928,13,43,42355265.0,19355813.953488372,43435048.019203365,6.202325581395349,11.13953488372093,11.388654891987162,28.120976744186045,57.54019078190477
Wendi McLendon-Covey,20.694,18,53,29287556.301886793,10343396.226415094,30933089.74699803,5.843396226415095,5.7924528301886795,6.766617534008302,13.222452830188674,57.537502242995515
John Mulaney,14.64,13,18,97934916.3888889,35000000.0,83881530.2144108,6.95,12.38888888888889,27.335648050137532,18.042666666666666,57.53295583262684
Evan Peters,36.851,16,25,101844601.64,32532000.0,69621437.61802107,6.507999999999999,8.36,11.095512606454918,33.02204,57.464610287236965
Vanessa Kirby,61.98,13,23,122331977.95652172,40521739.26086956,81599163.45034331,6.660869565217391,4.565217391304348,4.240858064903147,108.7882608695652,57.441081552013706
Lucas Till,15.287,19,31,76108965.35483871,31353064.51612903,60812550.814585,5.719354838709678,5.451612903225806,5.912472926637432,23.500516129032253,57.41591671761645
Desmond Harrington,16.223,17,23,62434552.0,23026086.95652174,53966080.066385865,5.952173913043478,8.695652173913043,15.09516128234099,17.51956521739131,57.357892911271065
Thomas Middleditch,21.373,13,31,70698180.22580644,29580645.16129032,50362251.732659526,6.367741935483872,11.0,14.291888066876574,17.381548387096775,57.34029710932775
Jackson Rathbone,23.532,18,37,99498162.1081081,15243243.243243244,36423303.652206406,5.305405405405405,4.594594594594595,5.77721273606993,24.231567567567566,57.321764119982745
Matt Jones,22.81,17,32,17342098.15625,6100000.0,24740099.02971287,6.1875,8.46875,14.378769886102914,10.2650625,57.24049643022053
Gemma Chan,33.92,17,29,127472210.68965515,39227586.20689655,65200501.88378723,6.210344827586206,5.724137931034483,6.942604856094835,58.588344827586205,57.23627507951777
Jefferson Hall,30.872,16,10,416811627.5,65000000.0,88317608.66327848,6.779999999999999,20.9,25.28022942933865,15.187,57.20774937323042
Brett Gelman,23.068,19,40,11396635.2,6737750.0,18840408.101670727,6.2125,7.25,10.199877450244191,26.41055,57.165537872269475
Jack McBrayer,19.244,17,36,63725341.25,23848611.111111112,44481777.61440807,6.252777777777777,12.27777777777778,8.827391432703822,16.002,57.06580844484061
Elon Musk,14.633,18,24,47448653.541666664,19468750.0,47711825.518112734,6.545833333333333,10.583333333333334,16.075127440310457,13.54275,57.055779524017694
Corey Stoll,30.563,18,36,70829827.25,31994444.444444444,46797684.798172824,6.608333333333333,7.444444444444445,5.024630690931117,35.16027777777777,57.04478950208614
Drew Waters,14.306,17,25,24336274.28,8968000.0,42480967.22062717,5.6400000000000015,9.96,16.288597238559248,6.658280000000001,57.02292665849116
Scott Haze,14.366,15,29,75247497.44827586,14982758.620689657,35917645.9270612,5.724137931034482,10.0,14.098177920910745,9.507275862068964,57.00124354267613
Brittany Snow,42.695,18,30,32504614.433333337,8533333.333333334,18431374.21777214,5.959999999999999,2.0,2.280350850198276,32.87626666666667,57.0
Gabourey Sidibe,20.9,13,14,21001365.64285714,10714285.714285716,20341472.665568773,6.178571428571429,7.428571428571429,6.411087334947679,24.255857142857145,57.0
Hailee Steinfeld,67.742,14,30,90003606.0,32076666.666666668,58128855.045397975,6.7633333333333345,11.466666666666669,20.05115679677581,55.19366666666666,57.0
Armie Hammer,19.495,16,31,52349570.548387095,27023225.80645161,50900648.857458614,6.506451612903224,4.774193548387097,11.235627887530592,18.9518064516129,57.0
Alexandra Daddario,57.47,18,31,41125080.03225806,15296870.967741936,31074789.027121738,5.538709677419356,4.387096774193548,6.870589115722637,56.28667741935483,57.0
Alison Brie,41.949,16,34,37854074.0882353,12941176.470588235,22959928.233735178,6.029411764705881,3.3529411764705883,2.68856350165328,34.306,57.0
Ezra Miller,34.115,15,21,219664130.95238096,82857142.85714285,108616531.9848142,6.419047619047619,5.0,6.07100838882165,31.742523809523803,57.0
Nelson Franklin,25.812,18,26,59950354.0,14596153.846153846,33638353.57684658,6.019230769230769,14.576923076923077,14.148044379465086,6.422192307692305,56.982476639998914
Pete Davidson,20.248,9,33,76861562.93939394,34168181.81818182,81389992.51469864,6.221212121212121,9.515151515151516,14.386696742437485,30.6370303030303,56.92103076712667
Takayuki Yamada,14.745,18,55,2471077.363636364,1250367.2363636363,8410069.45657381,6.16181818181818,3.4363636363636365,6.178448279341333,7.35961818181818,56.91111344682716
Adam Pally,23.997,16,33,63288250.06060606,15648484.848484848,40194558.060816094,6.121212121212121,7.909090909090909,9.906727546909991,15.302333333333335,56.867170281177216
Brian Tee,15.642,17,21,148089911.42857143,38314285.71428572,51084051.05420716,5.7666666666666675,12.571428571428571,12.284606816086969,19.592571428571425,56.83631290094226
Jason Mantzoukas,27.122,17,29,78078762.68965517,25922416.55172414,45850256.188301854,6.251724137931036,12.586206896551724,11.757659987046186,28.191068965517243,56.785357275161566
Kellan Lutz,21.24,17,35,118215795.14285716,21843571.42857143,34125103.52828731,5.191428571428572,5.0285714285714285,5.283319921011324,16.42045714285714,56.71749291492969
Skyler Gisondo,32.575,15,28,84325616.82142857,28285714.285714287,57132588.363045685,5.739285714285714,8.892857142857142,10.92944674365766,43.92928571428571,56.58100743402914
Gillian Jacobs,60.15,18,48,5220461.5,4339062.5,9429284.374150231,5.856249999999999,5.0,6.652067347825035,34.886895833333334,56.506654685321294
Gabriel Mann,16.969,19,40,17160357.275,10605000.0,17713765.12771918,5.82,6.025,7.834179918791756,12.14735,56.48463935834866
Danny Pudi,22.611,14,30,43694041.93333333,16166666.666666666,45234266.755291715,6.333333333333332,8.333333333333334,13.765496318291213,18.32326666666666,56.4699840666901
Nick Jonas,38.314,15,26,95304863.07692309,25346153.846153848,46972121.27969944,6.484615384615385,7.653846153846154,10.557324499688164,28.302423076923073,56.43525728699306
Alex Wolff,28.861,18,32,97019081.09375,13496875.0,31272246.924939293,6.334375,5.125,7.012266038877875,29.675593749999997,56.431381094933954
Mckenna Grace,79.365,10,26,126898258.53846154,34538461.538461536,53230435.74817727,5.992307692307692,7.961538461538462,9.38280247306319,76.23265384615384,56.42020267072677
Aaron Abrams,14.583,17,32,9727649.84375,7656250.0,19035918.96750719,6.059374999999999,9.03125,14.092294825098572,9.07059375,56.3955887840645
Brian Geraghty,18.348,18,39,13471685.102564102,6356410.256410256,15747731.53988226,5.874358974358974,6.923076923076923,9.90049109215688,17.41307692307692,56.36372386654704
Sebastian Stankiewicz,15.177,14,34,45053.85294117647,333659.0,1547361.7325978738,5.526470588235293,14.147058823529411,20.183179299694057,16.961558823529415,56.35321523205542
Diora Baird,18.901,19,33,28116345.303030305,9544393.93939394,26838373.244676538,5.221212121212121,7.9393939393939394,18.242373905095153,18.267454545454545,56.33848852510826
Dominic Scott Kay,18.243,19,18,89806322.94444445,32277777.777777776,72791029.32791433,6.066666666666666,11.833333333333334,12.641422212534298,10.685055555555556,56.32273263228419
Walt Dohrn,14.707,16,21,180131781.14285713,56142857.14285714,62936313.776997894,6.085714285714285,13.19047619047619,9.63929975533714,18.03409523809524,56.32222089396414
Matt Bomer,43.748,18,30,36686042.666666664,12593333.333333334,23534569.372638952,6.339999999999999,5.5,10.304529748287075,38.06566666666667,56.28878931189524
Jennifer Hudson,16.553,16,41,34452910.487804875,9743902.43902439,23098707.056841925,6.414634146341464,10.975609756097562,17.165603447049808,12.115048780487804,56.232941461508766
