name,popularity,career_length,number_of_movies,start_date_1,end_date_1,start_date_2,end_date_2,start_date_3,end_date_3,count_interval_1,count_interval_2,count_interval_3,avg_budget_0,avg_budget_1,avg_budget_2,std_budget_0,std_budget_1,std_budget_2,avg_revenue_0,avg_revenue_1,avg_revenue_2,avg_imdb_rating_0,avg_imdb_rating_1,avg_imdb_rating_2,avg_order_0,avg_order_1,avg_order_2,std_order_0,std_order_1,std_order_2,avg_popularity_0,avg_popularity_1,avg_popularity_2,Popularity (%)
Jim Carrey,43.59,42,82,1981,1994,1994,2008,2008,2023,21,29,32,19262717.09285714,46522623.40000001,30500745.54166667,13699711.089749336,36470158.680974744,37409539.89888345,78726165.98214288,133481981.62068962,82813274.54752603,5.6000000000000005,6.617241379310346,6.8999999999999995,5.190476190476191,4.931034482758621,9.0,7.762050831228559,11.682379996307317,15.801503093060482,34.97519047619047,35.20962068965516,36.54387499999999,98.0
Morgan Freeman,91.283,59,180,1964,1983,1983,2002,2002,2023,14,47,119,17604204.339963827,26163674.92593589,37224812.51994468,6322561.873531002,14822344.515569534,38514138.052993365,55664994.88912749,75356574.08820361,109152897.90746105,6.335714285714287,6.614893617021276,6.790756302521008,6.5,5.340425531914893,5.4033613445378155,5.395103600223341,10.768900447130113,15.682414991380218,108.60614285714288,100.50236170212764,103.31518487394958,98.0
Denzel Washington,77.941,46,76,1977,1992,1992,2007,2007,2023,20,31,25,19353240.740740735,40784348.86499404,42834814.81481481,9801010.678179368,21780307.59511262,28274457.79341595,31210211.1,92497745.48387095,95076303.92,6.4350000000000005,6.9,6.92,1.75,4.483870967741935,12.56,2.754541704167864,12.641128389154687,47.6504606483505,72.3162,74.95625806451612,72.8822,97.0
Whoopi Goldberg,36.576,41,216,1982,1994,1994,2007,2007,2023,53,80,82,9563228.28729819,13971121.11791237,10833524.75169726,8227262.435228144,15726322.50828574,25165246.970716026,38346475.500121586,31812354.634020627,41014493.7169506,6.462264150943395,6.132499999999999,6.691463414634145,8.226415094339623,7.5125,7.7073170731707314,15.863380768695,13.464763040989618,8.56750498000389,27.726301886792456,29.466550000000005,26.559500000000003,97.0
Marilyn Monroe,16.013,75,86,1947,1971,1971,1996,1996,2022,37,16,33,621735.8003941443,58633.642578125,65036.639835858594,864370.3262734092,15010.041970630167,27496.57387527028,3290264.6396396393,128125.0,167171.71717171717,6.659459459459461,7.01875,7.1060606060606055,8.324324324324325,19.5,16.21212121212121,16.865211361651895,25.387004549572207,18.992434818867853,14.266108108108108,13.44975,14.70778787878788,97.0
Bruce Lee,40.491,82,63,1941,1968,1968,1995,1995,2023,12,26,25,230881.6056910569,550413.9305816136,183734.75609756092,93470.59561433952,1898413.750687056,126052.0167521148,985468.8211382116,2501574.699812383,709537.5512195122,7.158333333333332,6.369230769230769,6.832000000000001,0.75,1.7692307692307692,5.28,1.479019945774904,2.777764628502737,11.625902115534949,23.616250000000004,24.74138461538462,26.06852,97.0
Tom Cruise,56.208,42,86,1981,1995,1995,2009,2009,2023,20,33,33,27216718.75,59580208.333333336,75855303.03030303,18054535.74619802,33606517.0830211,60501847.40149963,132912391.34375,215397317.22916663,270252955.56060606,6.535000000000001,6.99090909090909,7.157575757575758,3.85,3.909090909090909,15.12121212121212,7.970414041942864,8.073013917924845,36.53537727285919,39.6682,45.84657575757576,46.46090909090909,97.0
Jackie Chan,156.714,61,180,1962,1982,1982,2002,2002,2023,50,64,66,10636283.41544304,14402054.0364913,32409055.082853857,3755199.079529566,13085488.18387057,35105571.39500025,28994999.19670886,37421994.61708861,83899240.99290372,5.964000000000001,6.465624999999999,6.146969696969696,5.98,2.53125,4.666666666666667,7.404025931883275,4.676967333379612,8.956685895029603,99.36156,106.118375,114.13336363636364,97.0
Samuel L. Jackson,55.855,51,222,1972,1988,1988,2005,2005,2023,10,98,114,31831050.0,35024305.272108845,60396088.26754386,610350.0,23430427.589053754,71451872.98139016,136314506.42000002,130361645.43069728,240435082.98070177,6.390000000000001,6.589795918367346,6.609649122807019,9.8,6.091836734693878,10.350877192982455,7.613146524269712,8.904351991105681,17.552418964667925,50.29,52.940663265306114,52.90401754385964,96.0
Michael J. Fox,22.837,44,73,1979,1993,1993,2007,2007,2023,32,23,18,15982479.319852944,30607618.286445014,12964215.686274512,12716679.672896467,39958256.625502616,14120019.873103565,61090185.07337622,58332103.61162615,30854130.418300655,6.6375,6.717391304347825,6.805555555555555,6.28125,4.913043478260869,10.833333333333334,16.18879700402411,7.546453491704396,24.815429787846828,21.5535625,22.675913043478257,20.265055555555552,96.0
Robert Downey Jr.,48.725,53,110,1970,1987,1987,2004,2004,2023,11,42,57,27398588.15426997,31838293.650793653,77506778.30940987,12871909.557320604,11278805.439490642,84206210.61745971,94300324.07747932,80043124.24936867,352078707.19776714,5.818181818181818,6.054761904761904,7.063157894736841,10.636363636363637,2.9761904761904763,9.912280701754383,6.285231279070403,3.744762025868331,21.879479051621164,60.87654545454545,54.664476190476186,56.61750877192982,96.0
George Clooney,46.683,41,87,1982,1995,1995,2008,2008,2023,9,40,38,22592300.225641027,39575034.80974359,37925550.19595142,109460.28927997616,30293822.720218107,52808711.08128703,66724687.15128206,101807757.70198718,100854765.34190284,4.766666666666667,6.597499999999999,6.5815789473684205,5.111111111111111,6.95,6.842105263157895,5.384018417593652,12.375277774660251,11.449031942045243,35.06666666666667,30.8271,31.710736842105263,96.0
Robin Williams,26.447,46,153,1977,1992,1992,2007,2007,2023,42,64,46,15348864.958197018,28797090.887404576,21882361.710366186,11158589.956877626,27913577.60753655,31417286.67900192,46376481.7751954,85146479.24048783,55122932.65296909,6.857142857142857,6.504687499999999,7.019565217391304,10.214285714285714,12.265625,19.934782608695652,30.09392891968626,19.997063993481017,42.03383842547368,27.957309523809528,29.105656250000003,27.485956521739137,96.0
Chuck Norris,34.132,55,58,1968,1986,1986,2004,2004,2023,23,26,9,2656727.053140096,2605181.6239316235,11822716.049382716,3334188.524135389,4789511.354462561,31230387.32965459,11947837.076992756,14448414.794070514,37908348.54320988,5.6173913043478265,5.665384615384615,6.655555555555555,5.086956521739131,2.0,24.88888888888889,10.150660905783258,3.5409690112258168,29.741271154349526,40.8064347826087,30.25515384615385,30.93622222222222,96.0
Ben Affleck,26.499,42,86,1981,1995,1995,2009,2009,2023,8,39,39,30642708.364583332,36950854.718482904,62442788.59134615,18033390.652690098,31218204.822710175,71138431.9280662,50641393.078125,92895837.87793805,134344504.75160256,6.0875,6.297435897435897,6.7205128205128215,15.375,3.2564102564102564,5.948717948717949,14.308542029151678,5.280432911147113,11.082322995280776,23.095249999999997,21.492461538461537,22.313102564102564,95.0
