name,oscar_total,gg_total,cc_total,awards_total
Gary Oldman,5.0,4.0,4.0,13.0
Jason Statham,0.0,0.0,0.0,0.0
Jackie Chan,0.0,0.0,0.0,0.0
Scarlett Johansson,2.0,9.0,5.0,16.0
Josh Hutcherson,0.0,0.0,0.0,0.0
Brie Larson,3.0,2.0,4.0,9.0
Nicolas Cage,4.0,10.0,2.0,16.0
Michael Fassbender,2.0,5.0,5.0,12.0
Kevin Costner,1.0,6.0,1.0,8.0
Jennifer Connelly,3.0,1.0,3.0,7.0
Emily Blunt,0.0,10.0,5.0,15.0
Anne Hathaway,4.0,5.0,1.0,10.0
Owen Wilson,0.0,2.0,0.0,2.0
Matthew Lillard,0.0,0.0,0.0,0.0
Emma Stone,5.0,12.0,6.0,23.0
Matthew Perry,0.0,0.0,0.0,0.0
Morgan Freeman,7.0,8.0,3.0,18.0
Liam Neeson,1.0,6.0,0.0,7.0
Cillian Murphy,0.0,4.0,2.0,6.0
Lena Headey,0.0,0.0,0.0,0.0
Kelly Reilly,0.0,0.0,0.0,0.0
Ryan Reynolds,0.0,2.0,0.0,2.0
Hayley Atwell,0.0,0.0,0.0,0.0
Mark Hamill,0.0,0.0,0.0,0.0
Will Smith,5.0,8.0,6.0,19.0
Zoe Saldaña,0.0,0.0,0.0,0.0
Pedro Pascal,0.0,0.0,0.0,0.0
Mel Gibson,0.0,4.0,0.0,4.0
Gal Gadot,0.0,0.0,0.0,0.0
Kristen Stewart,1.0,2.0,2.0,5.0
Denzel Washington,13.0,19.0,6.0,38.0
Joseph Gordon-Levitt,0.0,4.0,0.0,4.0
Val Kilmer,0.0,0.0,0.0,0.0
Nicole Kidman,7.0,21.0,14.0,42.0
Vin Diesel,0.0,0.0,0.0,0.0
Matt Damon,3.0,11.0,3.0,17.0
Elizabeth Mitchell,0.0,0.0,0.0,0.0
Rachel Griffiths,1.0,0.0,0.0,1.0
Taylor Swift,0.0,0.0,0.0,0.0
James Spader,0.0,0.0,0.0,0.0
John Krasinski,0.0,0.0,0.0,0.0
Emma Watson,0.0,0.0,0.0,0.0
Alan Ritchson,0.0,0.0,0.0,0.0
Daniel Radcliffe,0.0,0.0,0.0,0.0
Rachael Harris,0.0,0.0,0.0,0.0
Judd Nelson,0.0,0.0,0.0,0.0
Dakota Fanning,0.0,0.0,0.0,0.0
Annette Bening,4.0,17.0,6.0,27.0
Keanu Reeves,0.0,0.0,0.0,0.0
Bruce Dern,2.0,4.0,2.0,8.0
January Jones,0.0,0.0,0.0,0.0
Colin Farrell,1.0,6.0,2.0,9.0
Harrison Ford,1.0,8.0,0.0,9.0
Elizabeth Olsen,0.0,0.0,2.0,2.0
Sylvester Stallone,2.0,3.0,1.0,6.0
Rupert Friend,0.0,0.0,0.0,0.0
Charlize Theron,5.0,10.0,10.0,25.0
Diane Lane,1.0,4.0,2.0,7.0
Tom Hanks,10.0,19.0,9.0,38.0
Tyrese Gibson,0.0,0.0,0.0,0.0
Katheryn Winnick,0.0,0.0,0.0,0.0
Hailee Steinfeld,1.0,2.0,1.0,4.0
Leonardo DiCaprio,8.0,26.0,14.0,48.0
Tom Hiddleston,0.0,0.0,0.0,0.0
Ryan Gosling,2.0,11.0,13.0,26.0
Maggie Lawson,0.0,0.0,0.0,0.0
John Travolta,2.0,11.0,0.0,13.0
Amanda Seyfried,1.0,1.0,1.0,3.0
Tom Holland,0.0,0.0,0.0,0.0
Tom Hardy,1.0,0.0,1.0,2.0
Josh Holloway,0.0,0.0,0.0,0.0
Timothy Olyphant,0.0,0.0,0.0,0.0
Austin Butler,1.0,2.0,2.0,5.0
Carla Gugino,0.0,0.0,0.0,0.0
Pierce Brosnan,0.0,2.0,0.0,2.0
Clancy Brown,0.0,0.0,0.0,0.0
Gina Gershon,0.0,0.0,0.0,0.0
Cole Hauser,0.0,0.0,0.0,0.0
Mila Kunis,0.0,1.0,1.0,2.0
Tara Strong,0.0,0.0,0.0,0.0
Eva Mendes,0.0,0.0,0.0,0.0
Russell Crowe,5.0,10.0,10.0,25.0
Rosario Dawson,0.0,0.0,0.0,0.0
Aubrey Plaza,0.0,0.0,0.0,0.0
Jennifer Lawrence,6.0,11.0,7.0,24.0
Kevin Bacon,0.0,1.0,2.0,3.0
Gerard Butler,0.0,0.0,0.0,0.0
Isabelle Adjani,2.0,0.0,0.0,2.0
Gillian Jacobs,0.0,0.0,0.0,0.0
Christian Bale,6.0,9.0,5.0,20.0
Sam Elliott,1.0,0.0,1.0,2.0
Rhys Ifans,0.0,0.0,0.0,0.0
Benedict Cumberbatch,2.0,4.0,4.0,10.0
Christina Ricci,0.0,2.0,0.0,2.0
Channing Tatum,0.0,0.0,0.0,0.0
Ashley Jensen,0.0,0.0,0.0,0.0
Patrick Wilson,0.0,0.0,0.0,0.0
Sydney Sweeney,0.0,0.0,0.0,0.0
Adam Sandler,0.0,2.0,2.0,4.0
Rick Hoffman,0.0,0.0,0.0,0.0
Mads Mikkelsen,0.0,0.0,0.0,0.0
Evangeline Lilly,0.0,0.0,0.0,0.0
Leslie Mann,0.0,0.0,0.0,0.0
Johnny Depp,3.0,20.0,8.0,31.0
